Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0.00373405,0.0002856
9,0.07723355,0.0020808,0.00183345,0.0774384,0.0515032
10,0.2069971,0.01824015,0.02092275,0.19600065,0.1345975
11,0.30890275,0.0388994,0.0568072,0.2919563,0.1894514
12,0.3633359,0.05322615,0.09606615,0.3425721,0.2107439
13,0.3652484,0.056168,0.1249687,0.346358,0.1950937
14,0.3180972,0.04673045,0.1223966,0.29643665,0.14021175
15,0.21388125,0.03070625,0.0960126,0.21167805,0.0650488
16,0.07494535,0.0099008,0.05608045,0.09853285,0.00421175
17,0.000391,0.00001785,0.0153391,0.0091103,0
18,0,0,0.00000255,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0.003944,0.0000578
33,0.0069717,0.0025653,0.0036312,0.0433432,0.0078863
34,0.0346579,0.0338147,0.0371671,0.10300045,0.0283815
35,0.0808724,0.081634,0.09960215,0.15741065,0.05147175
36,0.14447535,0.1314117,0.1677305,0.1909695,0.0711127
37,0.1956768,0.15505445,0.21478735,0.199325,0.0737664
38,0.1886558,0.14606315,0.2261714,0.18200625,0.05711065
39,0.1224935,0.0941698,0.19012375,0.13177125,0.02488035
40,0.03776975,0.02962845,0.1176281,0.06071295,0.0013668
41,0.00042755,0.0002737,0.03292985,0.0069751,0
42,0,0,0.00007565,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0.00230605,0.00002125
57,0.0763691,0.0016949,0.0068476,0.0662507,0.0108086
58,0.2239631,0.01129735,0.0573682,0.17880175,0.03528435
59,0.3012859,0.0227341,0.1177794,0.2693378,0.05501625
60,0.3052622,0.0316863,0.1629484,0.3253052,0.0522699
61,0.2578747,0.0313395,0.18028245,0.3376506,0.03413515
62,0.1712478,0.02483615,0.16970505,0.31028315,0.0144075
63,0.086394,0.01393065,0.13655505,0.24378595,0.0033932
64,0.02991915,0.0026741,0.08646795,0.13326555,0.0000017
65,0.0002414,0,0.02837725,0.01807525,0
66,0,0,0.0002312,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0.0039134,0
81,0.01054425,0.00016915,0.00423385,0.07801895,0.00407235
82,0.0529703,0.0067422,0.0317628,0.19907935,0.01956105
83,0.1050957,0.01797495,0.0716346,0.29810435,0.0356337
84,0.11141375,0.0239768,0.11672795,0.3599682,0.046325
85,0.11254935,0.0244324,0.1495643,0.3736158,0.04312985
86,0.1104626,0.02224705,0.15840685,0.33849975,0.0285294
87,0.08999545,0.0137615,0.1377391,0.25328725,0.01085365
88,0.02663475,0.00302345,0.0903958,0.13114565,0.00015725
89,0.0000884,0,0.0308465,0.0191964,0
90,0,0,0.00023205,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0.00229415,0
105,0.0314381,0.00002295,0.007633,0.0609756,0.01020255
106,0.0914464,0.00592365,0.0524994,0.1698895,0.04411585
107,0.1411799,0.01869745,0.11808795,0.2528444,0.0835346
108,0.16663485,0.02883965,0.1743384,0.31458925,0.1125519
109,0.1720536,0.02995315,0.2095845,0.3429546,0.12009905
110,0.14786855,0.02518805,0.2121379,0.3213476,0.0898705
111,0.0913257,0.0149481,0.1856723,0.25843655,0.0354501
112,0.0269212,0.003315,0.1249534,0.1454826,0.00148325
113,0.0001581,0,0.0448205,0.0202215,0
114,0,0,0.00027625,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0.0079985,0.000119
129,0.02262275,0.0004777,0.0084524,0.1104609,0.0150824
130,0.08149545,0.01109845,0.0525691,0.24337285,0.0411128
131,0.13265185,0.02747795,0.10797975,0.34093585,0.05791305
132,0.15476715,0.04293775,0.1549448,0.4049621,0.0627351
133,0.15285465,0.04567475,0.18245165,0.4153814,0.05555345
134,0.1300381,0.03594565,0.18496085,0.3697857,0.0362015
135,0.0879393,0.02186795,0.1620984,0.27837075,0.01419755
136,0.03519595,0.00460955,0.1101991,0.14295895,0.00008585
137,0.0004182,0.00000425,0.03890705,0.0211548,0
138,0,0,0.00037315,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0.00311185,0.0001377
153,0.02617065,0.00052955,0.00994925,0.0851972,0.05067105
154,0.089114,0.01385415,0.0702916,0.22507065,0.14676525
155,0.152303,0.0356235,0.15167315,0.3370318,0.2180794
156,0.20077595,0.0604843,0.22327715,0.39231155,0.2569431
157,0.22125245,0.0802689,0.27057795,0.4020568,0.24731685
158,0.2017645,0.076347,0.28119445,0.36677755,0.187612
159,0.1488486,0.05244075,0.2450363,0.28791625,0.09105115
160,0.068119,0.0184841,0.1645583,0.16588515,0.00892245
161,0.0022848,0.0004148,0.05695595,0.026435,0
162,0,0,0.0003723,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0.00851615,0.0006817
177,0.0307734,0.0044234,0.01269985,0.08961125,0.04134485
178,0.07568145,0.0294542,0.09451745,0.1896673,0.0908973
179,0.0953717,0.05877835,0.1810143,0.27568135,0.1222266
180,0.1223286,0.07996375,0.24848305,0.3305276,0.12809415
181,0.1581068,0.08876635,0.28524895,0.3356446,0.10768055
182,0.16737265,0.07843375,0.2891598,0.30732175,0.0685508
183,0.1232908,0.04481625,0.251073,0.2393991,0.025177
184,0.04828085,0.0141474,0.1694203,0.1298766,0.0006324
185,0.00188785,0.0004114,0.0602837,0.0204561,0
186,0,0,0.0003298,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0.00281095,0.00072845
201,0.03484575,0.0025143,0.0096237,0.06147795,0.05394525
202,0.1217013,0.02038555,0.06736335,0.1591761,0.1258221
203,0.22642555,0.04484005,0.13474455,0.2595628,0.175814
204,0.29069745,0.0595782,0.1910698,0.3148281,0.18723035
205,0.29883025,0.05933085,0.21918015,0.32731035,0.16329095
206,0.2534887,0.04498965,0.2113559,0.30074105,0.1098591
207,0.1593104,0.0276573,0.1656565,0.230095,0.0449378
208,0.0547111,0.01059015,0.0940593,0.12206085,0.00172805
209,0.00158525,0.0003128,0.02531725,0.0162129,0
210,0,0,0.0001054,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0.0016728,0
225,0.0323646,0.00159715,0.0048994,0.0304827,0.00519095
226,0.10092645,0.0177735,0.0318206,0.0905352,0.0230945
227,0.1758701,0.0433959,0.0674577,0.1566006,0.04472105
228,0.2039575,0.07157765,0.1032274,0.1888853,0.05971505
229,0.19493475,0.0876911,0.12856165,0.1877327,0.0612051
230,0.16179835,0.0981019,0.13368035,0.16298495,0.0443666
231,0.0989706,0.0660195,0.112676,0.11688095,0.01869915
232,0.03195235,0.0215288,0.0695759,0.05714295,0.0011237
233,0.0004641,0.00023035,0.02218075,0.0081974,0
234,0,0,0.0000748,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,0.0000017,0,0,0.00357255,0.00036125
249,0.02968795,0.0114716,0.00468775,0.05151595,0.0220456
250,0.0897158,0.0947733,0.05435495,0.135201,0.06430505
251,0.17559045,0.18127695,0.1302387,0.22123035,0.10136675
252,0.2652561,0.22448415,0.2036005,0.27103865,0.11739775
253,0.2894556,0.2315349,0.24826715,0.28493955,0.10859345
254,0.2584187,0.1950155,0.2568836,0.2666637,0.07641925
255,0.18055275,0.1272025,0.2193442,0.2092139,0.0321266
256,0.06478615,0.04638025,0.1421727,0.1162511,0.0019567
257,0.0010353,0.00117725,0.0476952,0.02082415,0
258,0,0,0.00055505,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,0.00009435,0,0,0.0053244,0.00014705
273,0.0499001,0.01041165,0.0059823,0.1007063,0.01183115
274,0.13091955,0.08564515,0.0458286,0.2237081,0.0397239
275,0.19991745,0.16874285,0.09232615,0.3149556,0.062696
276,0.24394915,0.2078335,0.12585185,0.3657567,0.0678453
277,0.23779175,0.21033505,0.13867155,0.3645582,0.05834145
278,0.20182825,0.1832107,0.13201265,0.31570105,0.04048295
279,0.136731,0.12951365,0.1014254,0.2316488,0.01743605
280,0.0573155,0.0515015,0.05530865,0.1190119,0.0007599
281,0.0028798,0.00138635,0.01533995,0.0178296,0
282,0,0,0.0001105,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,0,0,0,0,0
294,0,0,0,0,0
295,0,0,0,0,0
296,0.00000935,0,0,0.00559725,0.00019465
297,0.0192763,0.00726155,0.00191675,0.04939945,0.0315724
298,0.0700009,0.0689843,0.0324734,0.10627125,0.1011466
299,0.12042375,0.152643,0.08237095,0.15362135,0.17141355
300,0.15750415,0.2066486,0.12974315,0.17765,0.2082449
301,0.16896215,0.21068525,0.1545997,0.177038,0.1967988
302,0.15730185,0.17527085,0.15845955,0.15189925,0.14557525
303,0.11590175,0.112659,0.13441985,0.11054845,0.0668576
304,0.0508912,0.0397341,0.08393325,0.0604367,0.00632995
305,0.0027778,0.0013498,0.02226745,0.00867595,0
306,0,0,0.00009605,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0.0022593,0.0009503
321,0.00571625,0.0111877,0.00644555,0.0292434,0.046274
322,0.0277967,0.0767142,0.0674271,0.08149885,0.1297049
323,0.0550715,0.1525342,0.1575407,0.14359985,0.21453235
324,0.0880413,0.19930035,0.2315315,0.1904748,0.2719966
325,0.1057825,0.1929874,0.2639539,0.2104362,0.2389911
326,0.0941749,0.15002925,0.2535856,0.1977355,0.15627165
327,0.07149605,0.08765115,0.2052104,0.1490781,0.0605812
328,0.0310726,0.0304674,0.1298919,0.07986855,0.00243695
329,0.0013022,0.00079305,0.0409547,0.01224255,0
330,0,0,0.00014365,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0.00147645,0.0000136
345,0.03684155,0.01372665,0.00279905,0.03676505,0.03137945
346,0.10955565,0.08443815,0.0324156,0.0987224,0.10388785
347,0.18316395,0.17168555,0.09562245,0.16184,0.18858015
348,0.24004425,0.2276776,0.1625268,0.20836985,0.2426359
349,0.2616742,0.23710665,0.20493755,0.2148426,0.2392206
350,0.2389163,0.2054586,0.2191266,0.18683085,0.1788077
351,0.1695427,0.1344649,0.1929789,0.1405951,0.07830965
352,0.06588265,0.0440912,0.1240371,0.0745739,0.0077945
353,0.0014416,0.000442,0.03710335,0.01225275,0
354,0,0,0.00026605,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0.0002448,0,0,0.00324445,0.0000068
369,0.0395777,0.005083,0.01159315,0.04450515,0.01613045
370,0.09954775,0.04558125,0.07563725,0.11166535,0.059789
