Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0.0030751,0.0002352
9,0.0636041,0.0017136,0.0015099,0.0637728,0.0424144
10,0.1704682,0.0150213,0.0172305,0.1614123,0.110845
11,0.2543905,0.0320348,0.0467824,0.2404346,0.1560188
12,0.2992178,0.0438333,0.0791133,0.2821182,0.1735538
13,0.3007928,0.046256,0.1029154,0.285236,0.1606654
14,0.2619624,0.0384839,0.1007972,0.2441243,0.1154685
15,0.1761375,0.0252875,0.0790692,0.1743231,0.0535696
16,0.0617197,0.0081536,0.0461839,0.0811447,0.0034685
17,0.000322,0.0000147,0.0126322,0.0075026,0
18,0,0,0.0000021,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0.003248,0.0000476
33,0.0057414,0.0021126,0.0029904,0.0356944,0.0064946
34,0.0285418,0.0278474,0.0306082,0.0848239,0.023373
35,0.0666008,0.067228,0.0820253,0.1296323,0.0423885
36,0.1189797,0.1082214,0.138131,0.157269,0.0585634
37,0.1611456,0.1276919,0.1768837,0.16415,0.0607488
38,0.1553636,0.1202873,0.1862588,0.1498875,0.0470323
39,0.100877,0.0775516,0.1565725,0.1085175,0.0204897
40,0.0311045,0.0243999,0.0968702,0.0499989,0.0011256
41,0.0003521,0.0002254,0.0271187,0.0057442,0
42,0,0,0.0000623,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0.0018991,0.0000175
57,0.0628922,0.0013958,0.0056392,0.0545594,0.0089012
58,0.1844402,0.0093037,0.0472444,0.1472485,0.0290577
59,0.2481178,0.0187222,0.0969948,0.2218076,0.0453075
60,0.2513924,0.0260946,0.1341928,0.2678984,0.0430458
61,0.2123674,0.025809,0.1484679,0.2780652,0.0281113
62,0.1410276,0.0204533,0.1397571,0.2555273,0.011865
63,0.071148,0.0114723,0.1124571,0.2007649,0.0027944
64,0.0246393,0.0022022,0.0712089,0.1097481,0.0000014
65,0.0001988,0,0.0233695,0.0148855,0
66,0,0,0.0001904,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0.0032228,0
81,0.0086835,0.0001393,0.0034867,0.0642509,0.0033537
82,0.0436226,0.0055524,0.0261576,0.1639477,0.0161091
83,0.0865494,0.0148029,0.0589932,0.2454977,0.0293454
84,0.0917525,0.0197456,0.0961289,0.2964444,0.03815
85,0.0926877,0.0201208,0.1231706,0.3076836,0.0355187
86,0.0909692,0.0183211,0.1304527,0.2787645,0.0234948
87,0.0741139,0.011333,0.1134322,0.2085895,0.0089383
88,0.0219345,0.0024899,0.0744436,0.1080023,0.0001295
89,0.0000728,0,0.025403,0.0158088,0
90,0,0,0.0001911,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0.0018893,0
105,0.0258902,0.0000189,0.006286,0.0502152,0.0084021
106,0.0753088,0.0048783,0.0432348,0.139909,0.0363307
107,0.1162658,0.0153979,0.0972489,0.2082248,0.0687932
108,0.1372287,0.0237503,0.1435728,0.2590735,0.0926898
109,0.1416912,0.0246673,0.172599,0.2824332,0.0989051
110,0.1217741,0.0207431,0.1747018,0.2646392,0.074011
111,0.0752094,0.0123102,0.1529066,0.2128301,0.0291942
112,0.0221704,0.00273,0.1029028,0.1198092,0.0012215
113,0.0001302,0,0.036911,0.016653,0
114,0,0,0.0002275,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0.006587,0.000098
129,0.0186305,0.0003934,0.0069608,0.0909678,0.0124208
130,0.0671139,0.0091399,0.0432922,0.2004247,0.0338576
131,0.1092427,0.0226289,0.0889245,0.2807707,0.0476931
132,0.1274553,0.0353605,0.1276016,0.3334982,0.0516642
133,0.1258803,0.0376145,0.1502543,0.3420788,0.0457499
134,0.1070902,0.0296023,0.1523207,0.3045294,0.029813
135,0.0724206,0.0180089,0.1334928,0.2292465,0.0116921
136,0.0289849,0.0037961,0.0907522,0.1177309,0.0000707
137,0.0003444,0.0000035,0.0320411,0.0174216,0
138,0,0,0.0003073,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0.0025627,0.0001134
153,0.0215523,0.0004361,0.0081935,0.0701624,0.0417291
154,0.073388,0.0114093,0.0578872,0.1853523,0.1208655
155,0.125426,0.029337,0.1249073,0.2775556,0.1795948
156,0.1653449,0.0498106,0.1838753,0.3230801,0.2116002
157,0.1822079,0.0661038,0.2228289,0.3311056,0.2036727
158,0.166159,0.062874,0.2315719,0.3020521,0.154504
159,0.1225812,0.0431865,0.2017946,0.2371075,0.0749833
160,0.056098,0.0152222,0.1355186,0.1366113,0.0073479
161,0.0018816,0.0003416,0.0469049,0.02177,0
162,0,0,0.0003066,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0.0070133,0.0005614
177,0.0253428,0.0036428,0.0104587,0.0737975,0.0340487
178,0.0623259,0.0242564,0.0778379,0.1561966,0.0748566
179,0.0785414,0.0484057,0.1490706,0.2270317,0.1006572
180,0.1007412,0.0658525,0.2046331,0.2721992,0.1054893
181,0.1302056,0.0731017,0.2349109,0.2764132,0.0886781
182,0.1378363,0.0645925,0.2381316,0.2530885,0.0564536
183,0.1015336,0.0369075,0.206766,0.1971522,0.020734
184,0.0397607,0.0116508,0.1395226,0.1069572,0.0005208
185,0.0015547,0.0003388,0.0496454,0.0168462,0
186,0,0,0.0002716,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0.0023149,0.0005999
201,0.0286965,0.0020706,0.0079254,0.0506289,0.0444255
202,0.1002246,0.0167881,0.0554757,0.1310862,0.1036182
203,0.1864681,0.0369271,0.1109661,0.2137576,0.144788
204,0.2393979,0.0490644,0.1573516,0.2592702,0.1541897
205,0.2460955,0.0488607,0.1805013,0.2695497,0.1344749
206,0.2087554,0.0370503,0.1740578,0.2476691,0.0904722
207,0.1311968,0.0227766,0.136423,0.18949,0.0370076
208,0.0450562,0.0087213,0.0774606,0.1005207,0.0014231
209,0.0013055,0.0002576,0.0208495,0.0133518,0
210,0,0,0.0000868,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0.0013776,0
225,0.0266532,0.0013153,0.0040348,0.0251034,0.0042749
226,0.0831159,0.014637,0.0262052,0.0745584,0.019019
227,0.1448342,0.0357378,0.0555534,0.1289652,0.0368291
228,0.167965,0.0589463,0.0850108,0.1555526,0.0491771
229,0.1605345,0.0722162,0.1058743,0.1546034,0.0504042
230,0.1332457,0.0807898,0.1100897,0.1342229,0.0365372
231,0.0815052,0.054369,0.092792,0.0962549,0.0153993
232,0.0263137,0.0177296,0.0572978,0.0470589,0.0009254
233,0.0003822,0.0001897,0.0182665,0.0067508,0
234,0,0,0.0000616,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,0.0000014,0,0,0.0029421,0.0002975
249,0.0244489,0.0094472,0.0038605,0.0424249,0.0181552
250,0.0738836,0.0780486,0.0447629,0.111342,0.0529571
251,0.1446039,0.1492869,0.1072554,0.1821897,0.0834785
252,0.2184462,0.1848693,0.167671,0.2232083,0.0966805
253,0.2383752,0.1906758,0.2044553,0.2346561,0.0894299
254,0.2128154,0.160601,0.2115512,0.2196054,0.0629335
255,0.1486905,0.104755,0.1806364,0.1722938,0.0264572
256,0.0533533,0.0381955,0.1170834,0.0957362,0.0016114
257,0.0008526,0.0009695,0.0392784,0.0171493,0
258,0,0,0.0004571,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,0.0000777,0,0,0.0043848,0.0001211
273,0.0410942,0.0085743,0.0049266,0.0829346,0.0097433
274,0.1078161,0.0705313,0.0377412,0.1842302,0.0327138
275,0.1646379,0.1389647,0.0760333,0.2593752,0.051632
276,0.2008993,0.171157,0.1036427,0.3012114,0.0558726
277,0.1958285,0.1732171,0.1142001,0.3002244,0.0480459
278,0.1662115,0.1508794,0.1087163,0.2599891,0.0333389
279,0.112602,0.1066583,0.0835268,0.1907696,0.0143591
280,0.047201,0.042413,0.0455483,0.0980098,0.0006258
281,0.0023716,0.0011417,0.0126329,0.0146832,0
282,0,0,0.000091,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,0,0,0,0,0
294,0,0,0,0,0
295,0,0,0,0,0
296,0.0000077,0,0,0.0046095,0.0001603
297,0.0158746,0.0059801,0.0015785,0.0406819,0.0260008
298,0.0576478,0.0568106,0.0267428,0.0875175,0.0832972
299,0.0991725,0.125706,0.0678349,0.1265117,0.1411641
300,0.1297093,0.1701812,0.1068473,0.1463,0.1714958
301,0.1391453,0.1735055,0.1273174,0.145796,0.1620696
302,0.1295427,0.1443407,0.1304961,0.1250935,0.1198855
303,0.0954485,0.092778,0.1106987,0.0910399,0.0550592
304,0.0419104,0.0327222,0.0691215,0.0497714,0.0052129
305,0.0022876,0.0011116,0.0183379,0.0071449,0
306,0,0,0.0000791,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0.0018606,0.0007826
321,0.0047075,0.0092134,0.0053081,0.0240828,0.038108
322,0.0228914,0.0631764,0.0555282,0.0671167,0.1068158
323,0.045353,0.1256164,0.1297394,0.1182587,0.1766737
324,0.0725046,0.1641297,0.190673,0.1568616,0.2239972
325,0.087115,0.1589308,0.2173738,0.1733004,0.1968162
326,0.0775558,0.1235535,0.2088352,0.162841,0.1286943
327,0.0588791,0.0721833,0.1689968,0.1227702,0.0498904
328,0.0255892,0.0250908,0.1069698,0.0657741,0.0020069
329,0.0010724,0.0006531,0.0337274,0.0100821,0
330,0,0,0.0001183,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0.0012159,0.0000112
345,0.0303401,0.0113043,0.0023051,0.0302771,0.0258419
346,0.0902223,0.0695373,0.0266952,0.0813008,0.0855547
347,0.1508409,0.1413881,0.0787479,0.13328,0.1553013
348,0.1976835,0.1874992,0.1338456,0.1715987,0.1998178
349,0.2154964,0.1952643,0.1687721,0.1769292,0.1970052
350,0.1967546,0.1692012,0.1804572,0.1538607,0.1472534
351,0.1396234,0.1107358,0.1589238,0.1157842,0.0644903
352,0.0542563,0.0363104,0.1021482,0.0614138,0.006419
353,0.0011872,0.000364,0.0305557,0.0100905,0
354,0,0,0.0002191,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0.0002016,0,0,0.0026719,0.0000056
369,0.0325934,0.004186,0.0095473,0.0366513,0.0132839
370,0.0819805,0.0375375,0.0622895,0.0919597,0.049238
371,0.1250956,0.0742875,0.1335523,0.1390907,0.0845362
