Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0.0000007,0,0,0,0,0,0,0,0.0000084,1.14E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62E-06,0.0000084,0,0,0,0,0
8,0,0,0.0640395,0,0,0,0,0,0,0,0.0339262,0.012245713,0.0009471,0,0.0030751,0,0,0,0.0002352,0,0.0532644,0,0,0.0000154,0,0,0,0,0.04066573,0.0339262,0,0,0,0.0030751,0.0002352
9,0.0636041,0,0.1873123,0.012033,0.0217308,0.0017136,0,0.0002226,0,0.0015099,0.1066289,0.0659043,0.0398216,0,0.0637728,0,0,0,0.0424144,0,0.1756013,0,0.0388822,0.0389438,0,0,0.0046676,0.0004984,0.129582483,0.1066289,0.0636041,0.0017136,0.0015099,0.0637728,0.0424144
10,0.1704682,0.0066808,0.28938,0.07462,0.0845677,0.0150213,0.0093527,0.0234675,0.0001197,0.0172305,0.1763986,0.155354675,0.1116066,0,0.1614123,0.0005523,0.0038374,0.0000756,0.110845,0.0314888,0.2728096,0.0007091,0.1295098,0.1300047,0.0025249,0.0017465,0.0262584,0.0055328,0.215244167,0.1763986,0.1704682,0.0150213,0.0172305,0.1614123,0.110845
11,0.2543905,0.0395143,0.3499573,0.1345099,0.1313025,0.0320348,0.0415254,0.0809074,0.0004893,0.0467824,0.2199722,0.232896563,0.1877589,0.0109228,0.2404346,0.004375,0.0336931,0.0106925,0.1560188,0.1095738,0.3310405,0.0065247,0.2155405,0.2143785,0.0342545,0.0048804,0.0561302,0.0114401,0.272447233,0.2199722,0.2543905,0.0320348,0.0467824,0.2404346,0.1560188
12,0.2992178,0.0819518,0.3675252,0.1815016,0.1426257,0.0438333,0.0675465,0.1628368,0.0005299,0.0791133,0.2375331,0.294829763,0.2479911,0.0374325,0.2821182,0.0095725,0.0846279,0.0282506,0.1735538,0.1997296,0.3464167,0.0142163,0.2922633,0.2612827,0.0825097,0.0048391,0.0714476,0.0151746,0.298625997,0.2375331,0.2992178,0.0438333,0.0791133,0.2821182,0.1735538
13,0.3007928,0.1233848,0.3464314,0.1999536,0.1363243,0.046256,0.0808703,0.2313465,0.0003052,0.1029154,0.2342557,0.311535963,0.2836687,0.0774522,0.285236,0.0102522,0.135583,0.0337183,0.1606654,0.2994544,0.3218152,0.0168252,0.3186001,0.2539327,0.1140216,0.0025053,0.0707042,0.0120344,0.29295273,0.2342557,0.3007928,0.046256,0.1029154,0.285236,0.1606654
14,0.2619624,0.144774,0.2834258,0.1555141,0.0995736,0.0384839,0.0742322,0.2643963,0.000028,0.1007972,0.2011317,0.275414388,0.2429217,0.128835,0.2441243,0.0082593,0.1529682,0.022323,0.1154685,0.3277764,0.2551689,0.0108682,0.2864596,0.2114623,0.1233526,0.0002961,0.0410074,0.0046935,0.246227473,0.2011317,0.2619624,0.0384839,0.1007972,0.2441243,0.1154685
15,0.1761375,0.1251943,0.1760262,0.0745353,0.0517573,0.0252875,0.0405902,0.2544444,0,0.0790692,0.1278347,0.195088338,0.151571,0.1372399,0.1743231,0.0229614,0.1088808,0.0041083,0.0535696,0.3237934,0.1445983,0.0019726,0.2094743,0.113344,0.1040445,0,0.0065793,0,0.15636887,0.1278347,0.1761375,0.0252875,0.0790692,0.1743231,0.0535696
16,0.0617197,0.0532287,0.0390187,0.0222446,0.0095032,0.0081536,0.0054019,0.1970829,0,0.0461839,0.0342944,0.067749413,0.0328685,0.0782614,0.0811447,0.0208229,0.0414673,0,0.0034685,0.2505461,0.0204323,0,0.0781137,0.0161336,0.0576695,0,0,0,0.039389373,0.0342944,0.0617197,0.0081536,0.0461839,0.0811447,0.0034685
17,0.000322,0.002975,0,0.0003465,0,0.0000147,0,0.108024,0,0.0126322,0,0.0000504,0,0.0206913,0.0075026,0.0019348,0.0003619,0,0,0.148106,0,0,0.0000672,0,0.0096628,0,0,0,0.00000672,0,0.000322,0.0000147,0.0126322,0.0075026,0
18,0,0,0,0,0,0,0,0.0184681,0,0.0000021,0,0,0,0,0,0,0,0,0,0.0430773,0,0,0,0,0,0,0,0,0,0,0,0,0.0000021,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
