Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0.004393,0.000336
9,0.090863,0.002448,0.002157,0.091104,0.060592
10,0.243526,0.021459,0.024615,0.230589,0.15835
11,0.363415,0.045764,0.066832,0.343478,0.222884
12,0.427454,0.062619,0.113019,0.403026,0.247934
13,0.429704,0.06608,0.147022,0.40748,0.229522
14,0.374232,0.054977,0.143996,0.348749,0.164955
15,0.251625,0.036125,0.112956,0.249033,0.076528
16,0.088171,0.011648,0.065977,0.115921,0.004955
17,0.00046,0.000021,0.018046,0.010718,0
18,0,0,0.000003,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0.00464,0.000068
33,0.008202,0.003018,0.004272,0.050992,0.009278
34,0.040774,0.039782,0.043726,0.121177,0.03339
35,0.095144,0.09604,0.117179,0.185189,0.060555
36,0.169971,0.154602,0.19733,0.22467,0.083662
37,0.230208,0.182417,0.252691,0.2345,0.086784
38,0.221948,0.171839,0.266084,0.214125,0.067189
39,0.14411,0.110788,0.223675,0.155025,0.029271
40,0.044435,0.034857,0.138386,0.071427,0.001608
41,0.000503,0.000322,0.038741,0.008206,0
42,0,0,0.000089,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0.002713,0.000025
57,0.089846,0.001994,0.008056,0.077942,0.012716
58,0.263486,0.013291,0.067492,0.210355,0.041511
59,0.354454,0.026746,0.138564,0.316868,0.064725
60,0.359132,0.037278,0.191704,0.382712,0.061494
61,0.303382,0.03687,0.212097,0.397236,0.040159
62,0.201468,0.029219,0.199653,0.365039,0.01695
63,0.10164,0.016389,0.160653,0.286807,0.003992
64,0.035199,0.003146,0.101727,0.156783,0.000002
65,0.000284,0,0.033385,0.021265,0
66,0,0,0.000272,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0.004604,0
81,0.012405,0.000199,0.004981,0.091787,0.004791
82,0.062318,0.007932,0.037368,0.234211,0.023013
83,0.123642,0.021147,0.084276,0.350711,0.041922
84,0.131075,0.028208,0.137327,0.423492,0.0545
85,0.132411,0.028744,0.175958,0.439548,0.050741
86,0.129956,0.026173,0.186361,0.398235,0.033564
87,0.105877,0.01619,0.162046,0.297985,0.012769
88,0.031335,0.003557,0.106348,0.154289,0.000185
89,0.000104,0,0.03629,0.022584,0
90,0,0,0.000273,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0.002699,0
105,0.036986,0.000027,0.00898,0.071736,0.012003
106,0.107584,0.006969,0.061764,0.19987,0.051901
107,0.166094,0.021997,0.138927,0.297464,0.098276
108,0.196041,0.033929,0.205104,0.370105,0.132414
109,0.202416,0.035239,0.24657,0.403476,0.141293
110,0.173963,0.029633,0.249574,0.378056,0.10573
111,0.107442,0.017586,0.218438,0.304043,0.041706
112,0.031672,0.0039,0.147004,0.171156,0.001745
113,0.000186,0,0.05273,0.02379,0
114,0,0,0.000325,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0.00941,0.00014
129,0.026615,0.000562,0.009944,0.129954,0.017744
130,0.095877,0.013057,0.061846,0.286321,0.048368
131,0.156061,0.032327,0.127035,0.401101,0.068133
132,0.182079,0.050515,0.182288,0.476426,0.073806
133,0.179829,0.053735,0.214649,0.488684,0.065357
134,0.152986,0.042289,0.217601,0.435042,0.04259
135,0.103458,0.025727,0.190704,0.327495,0.016703
136,0.041407,0.005423,0.129646,0.168187,0.000101
137,0.000492,0.000005,0.045773,0.024888,0
138,0,0,0.000439,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0.003661,0.000162
153,0.030789,0.000623,0.011705,0.100232,0.059613
154,0.10484,0.016299,0.082696,0.264789,0.172665
155,0.17918,0.04191,0.178439,0.396508,0.256564
156,0.236207,0.071158,0.262679,0.461543,0.302286
157,0.260297,0.094434,0.318327,0.473008,0.290961
158,0.23737,0.08982,0.330817,0.431503,0.22072
159,0.175116,0.061695,0.288278,0.338725,0.107119
160,0.08014,0.021746,0.193598,0.195159,0.010497
161,0.002688,0.000488,0.067007,0.0311,0
162,0,0,0.000438,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0.010019,0.000802
177,0.036204,0.005204,0.014941,0.105425,0.048641
178,0.089037,0.034652,0.111197,0.223138,0.106938
179,0.112202,0.069151,0.212958,0.324331,0.143796
180,0.143916,0.094075,0.292333,0.388856,0.150699
181,0.186008,0.104431,0.335587,0.394876,0.126683
182,0.196909,0.092275,0.340188,0.361555,0.080648
183,0.145048,0.052725,0.29538,0.281646,0.02962
184,0.056801,0.016644,0.199318,0.152796,0.000744
185,0.002221,0.000484,0.070922,0.024066,0
186,0,0,0.000388,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0.003307,0.000857
201,0.040995,0.002958,0.011322,0.072327,0.063465
202,0.143178,0.023983,0.079251,0.187266,0.148026
203,0.266383,0.052753,0.158523,0.305368,0.20684
204,0.341997,0.070092,0.224788,0.370386,0.220271
205,0.351565,0.069801,0.257859,0.385071,0.192107
206,0.298222,0.052929,0.248654,0.353813,0.129246
207,0.187424,0.032538,0.19489,0.2707,0.052868
208,0.064366,0.012459,0.110658,0.143601,0.002033
209,0.001865,0.000368,0.029785,0.019074,0
210,0,0,0.000124,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0.001968,0
225,0.038076,0.001879,0.005764,0.035862,0.006107
226,0.118737,0.02091,0.037436,0.106512,0.02717
227,0.206906,0.051054,0.079362,0.184236,0.052613
228,0.23995,0.084209,0.121444,0.222218,0.070253
229,0.229335,0.103166,0.151249,0.220862,0.072006
230,0.190351,0.115414,0.157271,0.191747,0.052196
231,0.116436,0.07767,0.13256,0.137507,0.021999
232,0.037591,0.025328,0.081854,0.067227,0.001322
233,0.000546,0.000271,0.026095,0.009644,0
234,0,0,0.000088,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,0.000002,0,0,0.004203,0.000425
249,0.034927,0.013496,0.005515,0.060607,0.025936
250,0.105548,0.111498,0.063947,0.15906,0.075653
251,0.206577,0.213267,0.153222,0.260271,0.119255
252,0.312066,0.264099,0.23953,0.318869,0.138115
253,0.340536,0.272394,0.292079,0.335223,0.127757
254,0.304022,0.22943,0.302216,0.313722,0.089905
255,0.212415,0.14965,0.258052,0.246134,0.037796
256,0.076219,0.054565,0.167262,0.136766,0.002302
257,0.001218,0.001385,0.056112,0.024499,0
258,0,0,0.000653,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,0.000111,0,0,0.006264,0.000173
273,0.058706,0.012249,0.007038,0.118478,0.013919
274,0.154023,0.100759,0.053916,0.263186,0.046734
275,0.235197,0.198521,0.108619,0.370536,0.07376
276,0.286999,0.24451,0.148061,0.430302,0.079818
277,0.279755,0.247453,0.163143,0.428892,0.068637
278,0.237445,0.215542,0.155309,0.371413,0.047627
279,0.16086,0.152369,0.119324,0.272528,0.020513
280,0.06743,0.06059,0.065069,0.140014,0.000894
281,0.003388,0.001631,0.018047,0.020976,0
282,0,0,0.00013,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,0,0,0,0,0
294,0,0,0,0,0
295,0,0,0,0,0
296,0.000011,0,0,0.006585,0.000229
297,0.022678,0.008543,0.002255,0.058117,0.037144
298,0.082354,0.081158,0.038204,0.125025,0.118996
299,0.141675,0.17958,0.096907,0.180731,0.201663
300,0.185299,0.243116,0.152639,0.209,0.244994
301,0.198779,0.247865,0.181882,0.20828,0.231528
302,0.185061,0.206201,0.186423,0.178705,0.171265
303,0.136355,0.13254,0.158141,0.130057,0.078656
304,0.059872,0.046746,0.098745,0.071102,0.007447
305,0.003268,0.001588,0.026197,0.010207,0
306,0,0,0.000113,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0.002658,0.001118
321,0.006725,0.013162,0.007583,0.034404,0.05444
322,0.032702,0.090252,0.079326,0.095881,0.152594
323,0.06479,0.179452,0.185342,0.168941,0.252391
324,0.103578,0.234471,0.27239,0.224088,0.319996
325,0.12445,0.227044,0.310534,0.247572,0.281166
326,0.110794,0.176505,0.298336,0.23263,0.183849
327,0.084113,0.103119,0.241424,0.175386,0.071272
328,0.036556,0.035844,0.152814,0.093963,0.002867
329,0.001532,0.000933,0.048182,0.014403,0
330,0,0,0.000169,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0.001737,0.000016
345,0.043343,0.016149,0.003293,0.043253,0.036917
346,0.128889,0.099339,0.038136,0.116144,0.122221
347,0.215487,0.201983,0.112497,0.1904,0.221859
348,0.282405,0.267856,0.191208,0.245141,0.285454
349,0.307852,0.278949,0.241103,0.252756,0.281436
350,0.281078,0.241716,0.257796,0.219801,0.210362
351,0.199462,0.158194,0.227034,0.165406,0.092129
352,0.077509,0.051872,0.145926,0.087734,0.00917
353,0.001696,0.00052,0.043651,0.014415,0
354,0,0,0.000313,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0.000288,0,0,0.003817,0.000008
369,0.046562,0.00598,0.013639,0.052359,0.018977
370,0.117115,0.053625,0.088985,0.131371,0.07034
371,0.178708,0.106125,0.190789,0.198701,0.120766
372,0.213353,0.139833,0.266399,0.245057,0.147802
373,0.195185,0.14723,0.298409,0.254914,0.129238
374,0.144057,0.125229,0.295569,0.228762,0.08522
375,0.079327,0.077456,0.256539,0.170116,0.038024
376,0.024498,0.025908,0.172028,0.088834,0.003693
377,0.00007,0.00059,0.05595,0.016087,0
378,0,0,0.000129,0,0
379,0,0,0,0,0
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0.000932,0.000422
393,0.012292,0.003159,0.018173,0.045592,0.042402
394,0.043098,0.03934,0.147841,0.128309,0.115419
395,0.070632,0.083951,0.293506,0.216338,0.178838
396,0.086098,0.122387,0.392942,0.27345,0.206537
397,0.089174,0.139464,0.435361,0.294995,0.197264
398,0.079787,0.126741,0.423167,0.260778,0.145661
399,0.06023,0.085595,0.361654,0.183646,0.06934
400,0.024539,0.030675,0.250379,0.088715,0.007756
401,0.000621,0.000409,0.099683,0.013253,0
402,0,0,0.002972,0,0
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
