Source: sourcetag ;timestamp;name<email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,ES,FR,DE,GR,NL,HR,HU,IE,IT,PL,PT,RO,SK,SI,UK,NONEU_Balkan,DK,FI,LU,NO,SE,EE,LT,LV,TR
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0.04266038,0,0,0,0,0,0.04468367,0,0,0.000739762,0,0.000218204,0,0,0.022430376,0,0,0,0.006608086,0,0,0,0,0,0,0,0,0
8,0.030029332,0,0.532260797,0.00333433,0.021765696,0.000452975,0.000378148,0.002399709,0.53332986,0,0.053579583,0.2324763,0,0.137203518,0.023662427,0,0.487131786,0.197009491,0.04582429,0,0.423166124,0,0,0,0,0,0,0.024353709,0,0
9,0.438004618,0.005341918,0.570963937,0.395680209,0.388949029,0.116140655,0.089070268,0.224614639,0.527256166,0.006495607,0.458836324,0.467384295,0,0.50734197,0.351882764,0.014510705,0.549844415,0.439892129,0.455843787,0.000543866,0.551165958,0,0,0,0,0,0,0.066593078,0,0
10,0.445339618,0.016544819,0.535893889,0.419644502,0.393490334,0.112801057,0.243904089,0.191834562,0.503308797,0.047857218,0.443947371,0.445111622,0.007607051,0.480767963,0.318896608,0.123745765,0.52099304,0.423053595,0.445483067,0.012160046,0.512746398,0,0,0.00067065,0,0,0,0.108730041,0,0
11,0.37488342,0.025396928,0.496826353,0.309447561,0.316362374,0.116365465,0.188408832,0.150878081,0.481740734,0.043971803,0.382566706,0.392746203,0.019871272,0.411204138,0.263914477,0.104200424,0.476682128,0.366762447,0.378293076,0.078818602,0.458060748,0,0,0.0053125,0,0,0,0.153253486,0,0
12,0.335952906,0.034285596,0.45999942,0.251847107,0.256278575,0.141603385,0.170083093,0.129952958,0.460132276,0.053226698,0.353213214,0.365017831,0.025322245,0.378967917,0.206766107,0.129047863,0.432506014,0.341538201,0.343775022,0.056485685,0.425615041,0,0,0.01162375,0,0,0,0.136464041,0,0
13,0.335474133,0.032016865,0.385296938,0.237941743,0.197342046,0.153275267,0.166110028,0.099374077,0.41190327,0.042086584,0.334438038,0.320920951,0.025441296,0.373701678,0.140891383,0.160537991,0.342631077,0.306502778,0.332859245,0.049089236,0.378328757,0,0,0.0124491,0,0,0,0.077982064,0,0
14,0.269612604,0.024502929,0.210038987,0.189287775,0.112569288,0.133704139,0.133963122,0.055193604,0.286948054,0.026169152,0.249175512,0.18444715,0.021889834,0.329578366,0.051951557,0.143570064,0.141312436,0.171544294,0.26432658,0.06296783,0.257000614,0,0,0.01002915,0,0,0,0.0189139,0,0
15,0.074999152,0.013852077,0.010970788,0.074663628,0.008444583,0.102224567,0.085707648,0.014629972,0.042047169,0.010195792,0.045521091,0.009153123,0.015147957,0.174622787,0.000440989,0.110617729,0.001350929,0.009225028,0.067996043,0.051923209,0.038504462,0,0,0.0278817,0,0,0,0,0,0
16,0,0.000400548,0,0.001543255,0,0.048217294,0.021521458,0,0,1.13E-05,0,0,0.005248372,0.00897742,0,0.069516875,0,0,0,0.00780761,0,0,0,0.02528495,0,0,0,0,0,0
17,0,0,0,0,0,0.005151752,0,0,0,0,0,0,0,0,0,0.02478355,0,0,0,0,0,0,0,0.0023494,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0.042728984,0,0,0,0,0,0.054522232,0,0,0.00073893,0,0.000224112,0,0,0.018547122,0,0,0,0.003320899,0,0,0,0,0,0,0,0,0
32,0.030639466,0,0.531415017,0.003022802,0.017116372,0.000540675,0.000447147,0.002149846,0.563180475,0,0.033283245,0.242004268,0,0.149579775,0.010252541,0,0.350336287,0.17047311,0.039049552,0,0.367507677,0,0,0,0,0,0,0.015947203,0,0
33,0.435563003,0.013892838,0.536277642,0.403132989,0.367795996,0.104878446,0.123788452,0.208111763,0.608746027,0.001797268,0.3338079,0.445233884,0,0.472132045,0.117297614,0.026750111,0.32910229,0.304283289,0.439874609,0.000504461,0.340680333,0,0,0,0,0,0,0.036919212,0,0
