Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.361,1,0.721691311,0.087658073,0.513394149
2,0.346,0.968963804,0.667041235,0.096854935,0.514759941
3,0.327,0.891549737,0.609883694,0.08527785,0.518078938
4,0.314,0.787946589,0.575051586,0.07532989,0.521104602
5,0.279,0.678798646,0.569605514,0.066946368,0.524611372
6,0.28,0.573234477,0.590479707,0.060059652,0.528353739
7,0.326,0.476571802,0.6359002,0.054586867,0.532327028
8,0.372,0.388347633,0.69716485,0.050402795,0.536525972
9,0.281,0.413932446,0.680726496,0.040892178,0.539766087
10,0.236,0.44739223,0.666041459,0.033079575,0.543200039
11,0.289,0.488446899,0.651678889,0.026827534,0.546827005
12,0.348,0.536450466,0.639351293,0.022084668,0.549258896
13,0.443,0.590585064,0.629187847,0.018723949,0.552032593
14,0.458,0.649807716,0.616868367,0.018606193,0.554959016
15,0.373,0.635757459,0.618007367,0.014216376,0.525061281
16,0.433,0.628363429,0.619906223,0.009920242,0.49557557
17,0.48,0.628153874,0.625244518,0.009099643,0.466925804
18,0.456,0.641483843,0.628013752,0.008786288,0.440341408
19,0.455,0.648459863,0.631569245,0.009266361,0.415621483
20,0.49,0.662734316,0.635950833,0.011671545,0.392955811
21,0.482,0.66490695,0.63724026,0.016379798,0.360801485
22,0.51,0.670525489,0.637361903,0.024652951,0.334069229
23,0.507,0.685984428,0.642135453,0.037447181,0.313808083
24,0.477,0.708945778,0.648674252,0.055431875,0.300410998
25,0.432,0.733253237,0.656100151,0.078956924,0.29411017
26,0.412,0.753553026,0.662861766,0.110165475,0.295031017
27,0.376,0.744595397,0.644838698,0.103379632,0.275376104
28,0.393,0.734061126,0.627391224,0.100417237,0.261705653
29,0.395,0.725935594,0.610572302,0.101215005,0.253997202
30,0.425,0.718299528,0.594427362,0.105806234,0.252136282
31,0.421,0.712622941,0.578997953,0.1142951,0.255912464
32,0.453,0.705639542,0.564321209,0.126830851,0.265023252
33,0.475,0.701344107,0.527834531,0.13419777,0.280938314
34,0.506,0.700880469,0.499990307,0.143441098,0.30064957
35,0.556,0.704372375,0.483984768,0.154741773,0.323729259
36,0.608,0.70987774,0.469379674,0.168179546,0.350662863
37,0.615,0.719503332,0.465824591,0.183750504,0.380961098
38,0.579,0.731232955,0.473390206,0.201388489,0.414379363
39,0.578,0.704614411,0.541676233,0.146343887,0.405558537
40,0.603,0.694650385,0.61658214,0.101651507,0.398968061
41,0.562,0.691861261,0.694797857,0.06774608,0.394557318
42,0.534,0.688552086,0.77167741,0.044343771,0.392005954
43,0.549,0.691764364,0.828083055,0.030232524,0.390937447
44,0.526,0.701412883,0.850435416,0.023205493,0.388370855
45,0.511,0.737134988,0.845110523,0.022432084,0.411263647
46,0.459,0.775197686,0.816248211,0.022490258,0.435785393
47,0.405,0.812238524,0.778046649,0.023265214,0.460700457
48,0.381,0.843843644,0.733117713,0.024622542,0.485513117
49,0.351,0.875884953,0.685277195,0.017152242,0.511082869
50,0.335,0.90792865,0.634640583,0.017925285,0.537711167
51,0.325,0.887968359,0.641947419,0.011473071,0.54227704
52,0.383,0.872959586,0.64973615,0.014782647,0.550117833
53,0.445,0.859440612,0.657968184,0.011234137,0.560782898
54,0.488,0.846046832,0.669600969,0.010441097,0.575122194
55,0.549,0.845248999,0.672737887,0.010149885,0.59098473
56,0.572,0.855322975,0.676419482,0.013798602,0.60921866
57,0.553,0.861815688,0.649028072,0.011481157,0.622653015
58,0.536,0.868511004,0.615054863,0.011037797,0.643928351
59,0.543,0.875392954,0.582141695,0.012610901,0.672543868
60,0.521,0.882448503,0.55107146,0.017018339,0.70705485
61,0.463,0.889663953,0.522127171,0.027759961,0.742558046
62,0.405,0.89702495,0.495572181,0.04314022,0.782315293
63,0.377,0.864889375,0.478718667,0.031235602,0.788678231
64,0.388,0.833376216,0.462786658,0.021935917,0.800506571
65,0.383,0.803120337,0.446213029,0.015277079,0.817306514
66,0.373,0.77469685,0.430621847,0.01125399,0.839019295
67,0.368,0.748613511,0.415640665,0.009802417,0.862700642
68,0.378,0.725295363,0.400879697,0.010366224,0.881195411
69,0.37,0.69857917,0.39187726,0.009891355,0.87198085
70,0.368,0.668626655,0.383030776,0.008666072,0.867814922
71,0.355,0.645936749,0.374304255,0.011548863,0.868081773
72,0.37,0.623124212,0.365732788,0.01865209,0.872514619
73,0.341,0.606280561,0.357324444,0.025391158,0.880784134
74,0.324,0.598133066,0.349087118,0.034329071,0.892350026
75,0.352,0.63271196,0.36496552,0.044120349,0.870718925
76,0.415,0.668367369,0.381753446,0.058917773,0.846604738
77,0.46,0.704994452,0.399407523,0.07929741,0.823509175
78,0.461,0.73808621,0.417882398,0.10555586,0.794243809
79,0.501,0.759942767,0.438266618,0.137746039,0.765681169
80,0.547,0.77913089,0.458525644,0.175722411,0.736207224
81,0.534,0.795998792,0.431827253,0.187040718,0.713547589
82,0.624,0.814912968,0.406201517,0.199190707,0.691920556
83,0.769,0.832598872,0.381872615,0.212153961,0.667537986
84,0.886,0.852151436,0.359000823,0.225922119,0.644285215
85,0.932,0.87347061,0.337763146,0.240484918,0.622933789
86,0.942,0.89649036,0.318326375,0.255830048,0.6029316
87,0.954,0.876562472,0.316914434,0.245803072,0.552669167
88,0.96,0.85917178,0.315753465,0.237108619,0.506596334
89,0.96,0.84443544,0.314848949,0.229743321,0.465694762
90,0.957,0.832439165,0.314201158,0.223703116,0.430716506
91,0.958,0.82311712,0.313809762,0.218983109,0.402183432
92,0.948,0.816246554,0.313673864,0.215578507,0.380399628
93,0.939,0.808890246,0.29508808,0.231551817,0.350696465
94,0.904,0.801690303,0.277570557,0.248891458,0.328580889
95,0.852,0.794513118,0.261194072,0.267555553,0.314296531
96,0.815,0.78773458,0.24602608,0.287495005,0.307437853
97,0.75,0.781381367,0.232103433,0.30865129,0.308956989
98,0.609,0.775534307,0.219495678,0.330957166,0.317430769
99,0.467,0.729836134,0.226762376,0.362742093,0.29946285
100,0.373,0.675792163,0.234955871,0.396113947,0.288843445
101,0.313,0.587127464,0.243987761,0.430806148,0.284837667
102,0.286,0.494019233,0.254410838,0.466555149,0.288734586
103,0.282,0.403930748,0.262214148,0.503089269,0.299991029
104,0.275,0.319619746,0.270778112,0.54013018,0.318866731
105,0.257,0.327771301,0.279916649,0.60802653,0.339876408
106,0.274,0.338667996,0.288779648,0.67682589,0.364029385
107,0.375,0.352244201,0.299751766,0.745392261,0.391059385
108,0.455,0.368405928,0.311594073,0.834240269,0.420637775
109,0.506,0.387048136,0.324246094,0.851803992,0.45238519
110,0.511,0.4080182,0.337767456,0.870359712,0.485880615
111,0.504,0.330662096,0.352368747,0.859386486,0.408272661
112,0.475,0.263245935,0.368785989,0.848834533,0.334303921
113,0.444,0.208182166,0.386922405,0.81324147,0.266231519
114,0.444,0.165383172,0.40667796,0.768603653,0.206837512
115,0.433,0.134965567,0.428071125,0.723100842,0.157657538
116,0.412,0.116261235,0.45373996,0.677078882,0.119571189
117,0.377,0.140234079,0.390238919,0.648375437,0.104691322
118,0.317,0.16723946,0.3343121,0.620042466,0.093647224
119,0.255,0.198198359,0.2846462,0.592245321,0.084369594
120,0.208,0.231666175,0.242594218,0.565193912,0.079595963
121,0.159,0.269867919,0.210360224,0.539046485,0.079197899
122,0.103,0.312244458,0.185858861,0.513945194,0.084748961
123,0.065,0.329946423,0.189922253,0.490994697,0.080329928
124,0.047,0.358802117,0.193868275,0.468334229,0.076892975
125,0.038,0.397869455,0.198874138,0.446045515,0.074569779
126,0.031,0.44580102,0.204872089,0.424156605,0.07316361
127,0.028,0.500805292,0.20959667,0.402862716,0.072992273
128,0.025,0.565477483,0.216316736,0.382105949,0.074229673
129,0.02,0.585367983,0.194347803,0.386192036,0.061180811
130,0.007,0.61189555,0.174432046,0.39229878,0.056374997
131,0.014,0.64105555,0.156678991,0.400196437,0.057882008
132,0.066,0.676584099,0.14116233,0.409611085,0.065108558
133,0.122,0.710788733,0.12791227,0.420247939,0.078629994
134,0.164,0.747378166,0.116903539,0.431720587,0.101270713
135,0.186,0.68162755,0.115631551,0.377462119,0.085641246
