Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0,0.422,0.524,0,0,1,0.997101113,0.361,0.371,0.721691311,0.99,0.579,0,0.964189521,0.091,0,0.969683855,0.675,0.484,0.222,0.166,0.965949468,0.482094761,0,0.778650199,0.999502839,1,1,0.953,0.931,0.361,1,0.721691311,0.087658073,0.513394149
2,0,0.405,0.506,0,0,0.968963804,0.982227491,0.346,0.341,0.667041235,0.992,0.559,0,0.966577137,0.081,0,0.903028695,0.644,0.485,0.259,0.168,0.967011894,0.483288568,0,0.738370494,0.999537859,1,1,0.947,0.919,0.346,0.968963804,0.667041235,0.096854935,0.514759941
3,0,0.405,0.49,0,0,0.891549737,0.966344093,0.327,0.355,0.609883694,0.993,0.528,0,0.965343642,0.074,0,0.755562904,0.6,0.475,0.213,0.176,0.962634262,0.482671821,0,0.761093111,0.999620309,1,1,0.941,0.912,0.327,0.891549737,0.609883694,0.08527785,0.518078938
4,0,0.416,0.48,0,0,0.787946589,0.930741576,0.314,0.352,0.575051586,0.992,0.583,0,0.964282312,0.066,0,0.610813813,0.603,0.472,0.157,0.181,0.954677638,0.482141156,0,0.780873421,0.999702466,1,1,0.933,0.913,0.314,0.787946589,0.575051586,0.07532989,0.521104602
5,0,0.441,0.474,0,0,0.678798646,0.885404432,0.279,0.324,0.569605514,0.987,0.699,0,0.963397885,0.059,0,0.484760083,0.62,0.475,0.144,0.165,0.937244467,0.481698943,0,0.795925131,0.999783301,1,1,0.929,0.913,0.279,0.678798646,0.569605514,0.066946368,0.524611372
6,0,0.447,0.459,0,0,0.573234477,0.828722166,0.28,0.294,0.590479707,0.976,0.791,0,0.962694282,0.055,0,0.388136613,0.653,0.488,0.184,0.144,0.921174486,0.481347141,0,0.80649822,0.999861797,1,1,0.921,0.906,0.28,0.573234477,0.590479707,0.060059652,0.528353739
7,0,0.438,0.408,0,0,0.476571802,0.770577297,0.326,0.291,0.6359002,0.951,0.834,0,0.962174448,0.053,0,0.327397464,0.658,0.516,0.261,0.108,0.905700641,0.481087224,0,0.820292203,0.99993693,1,1,0.908,0.897,0.326,0.476571802,0.6359002,0.054586867,0.532327028
8,0,0.454,0.336,0,0,0.388347633,0.697262688,0.372,0.258,0.69716485,0.899,0.843,0,0.961840463,0.054,0,0.304755073,0.662,0.54,0.322,0.074,0.891275035,0.485739583,0,0.836512649,1,1,1,0.876,0.892,0.372,0.388347633,0.69716485,0.050402795,0.536525972
9,0,0.479,0.324,0,0,0.413932446,0.663962171,0.281,0.181,0.680726496,0.809,0.82,0,0.964530422,0.055,0,0.363741651,0.694,0.589,0.38,0.05,0.843979411,0.487145466,0,0.856214534,0.999964886,1,1,0.85,0.89,0.281,0.413932446,0.680726496,0.040892178,0.539766087
10,0,0.477,0.274,0,0,0.44739223,0.629920045,0.236,0.15,0.666041459,0.68,0.782,0,0.967264961,0.059,0,0.430896976,0.709,0.546,0.276,0.029,0.781709792,0.489201557,0,0.880317226,0.999920411,1,1,0.787,0.915,0.236,0.44739223,0.666041459,0.033079575,0.543200039
