Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.868,0.572,0.538,0.993,0.992
2,0.85,0.53,0.501,0.993,0.989
3,0.818,0.522,0.371,0.992,0.982
4,0.772,0.539,0.221,0.99,0.977
5,0.719,0.49,0.089,0.988,0.973
6,0.667,0.441,0.024,0.987,0.968
7,0.609,0.405,0.016,0.985,0.961
8,0.513,0.38,0.04,0.982,0.947
9,0.439,0.342,0.074,0.977,0.924
10,0.376,0.31,0.077,0.963,0.891
11,0.361,0.301,0.098,0.943,0.856
12,0.373,0.308,0.157,0.919,0.84
13,0.393,0.29,0.205,0.901,0.853
14,0.449,0.298,0.196,0.887,0.89
15,0.531,0.285,0.199,0.884,0.923
16,0.573,0.278,0.224,0.881,0.946
17,0.577,0.284,0.253,0.85,0.951
18,0.555,0.329,0.234,0.815,0.945
19,0.53,0.39,0.169,0.783,0.933
20,0.516,0.438,0.136,0.766,0.913
21,0.499,0.419,0.083,0.749,0.883
22,0.501,0.379,0.094,0.758,0.861
23,0.537,0.337,0.119,0.772,0.853
24,0.591,0.3,0.12,0.791,0.855
25,0.655,0.287,0.128,0.807,0.861
26,0.719,0.285,0.138,0.813,0.872
27,0.76,0.299,0.155,0.818,0.886
28,0.774,0.29,0.183,0.805,0.893
29,0.758,0.282,0.221,0.779,0.897
30,0.728,0.266,0.281,0.733,0.901
31,0.686,0.254,0.369,0.661,0.896
32,0.647,0.241,0.452,0.569,0.864
33,0.637,0.209,0.529,0.486,0.786
34,0.649,0.168,0.581,0.417,0.703
35,0.662,0.143,0.63,0.34,0.649
36,0.681,0.142,0.702,0.242,0.652
37,0.689,0.161,0.794,0.177,0.671
38,0.699,0.2,0.868,0.15,0.692
39,0.727,0.252,0.9,0.141,0.73
40,0.769,0.306,0.931,0.122,0.767
41,0.792,0.358,0.955,0.105,0.782
42,0.802,0.392,0.961,0.089,0.779
43,0.802,0.405,0.967,0.069,0.753
44,0.805,0.393,0.972,0.053,0.72
45,0.81,0.367,0.974,0.045,0.694
46,0.812,0.328,0.975,0.053,0.689
47,0.82,0.289,0.976,0.063,0.704
48,0.825,0.265,0.975,0.063,0.71
49,0.819,0.26,0.971,0.065,0.698
50,0.793,0.263,0.966,0.074,0.684
51,0.747,0.274,0.958,0.109,0.697
52,0.727,0.289,0.951,0.124,0.711
53,0.69,0.307,0.945,0.071,0.738
54,0.564,0.316,0.935,0.03,0.784
55,0.533,0.313,0.924,0.031,0.827
56,0.613,0.3,0.92,0.054,0.823
57,0.655,0.278,0.917,0.084,0.786
58,0.646,0.253,0.911,0.131,0.774
59,0.625,0.231,0.907,0.183,0.75
60,0.576,0.211,0.914,0.224,0.723
61,0.543,0.208,0.919,0.215,0.727
62,0.584,0.233,0.911,0.19,0.741
63,0.679,0.274,0.912,0.163,0.754
64,0.769,0.306,0.931,0.146,0.751
65,0.797,0.352,0.948,0.135,0.709
66,0.769,0.407,0.963,0.122,0.637
67,0.706,0.48,0.971,0.126,0.577
68,0.609,0.563,0.978,0.145,0.569
69,0.533,0.639,0.977,0.155,0.608
70,0.484,0.703,0.978,0.175,0.665
71,0.446,0.758,0.98,0.255,0.698
72,0.415,0.793,0.981,0.347,0.698
73,0.361,0.825,0.983,0.449,0.694
74,0.332,0.86,0.985,0.52,0.727
75,0.336,0.895,0.988,0.548,0.842
76,0.317,0.919,0.987,0.53,0.919
77,0.349,0.937,0.985,0.496,0.949
78,0.409,0.951,0.982,0.456,0.952
79,0.442,0.961,0.979,0.409,0.947
80,0.449,0.966,0.977,0.389,0.945
81,0.433,0.968,0.976,0.483,0.944
82,0.406,0.968,0.984,0.67,0.937
83,0.356,0.965,0.991,0.803,0.92
84,0.306,0.963,0.993,0.875,0.893
85,0.319,0.962,0.993,0.884,0.832
86,0.415,0.959,0.993,0.873,0.738
87,0.59,0.957,0.993,0.875,0.619
88,0.699,0.958,0.993,0.906,0.521
89,0.738,0.959,0.993,0.922,0.458
90,0.753,0.959,0.99,0.914,0.444
91,0.758,0.957,0.986,0.889,0.473
92,0.805,0.953,0.981,0.87,0.603
93,0.847,0.949,0.971,0.868,0.788
94,0.863,0.946,0.951,0.875,0.886
95,0.831,0.944,0.905,0.873,0.927
96,0.774,0.944,0.817,0.858,0.962
97,0.684,0.946,0.604,0.82,0.963
98,0.584,0.948,0.476,0.772,0.917
99,0.546,0.952,0.42,0.764,0.897
100,0.573,0.949,0.339,0.786,0.948
101,0.604,0.942,0.261,0.823,0.963
102,0.61,0.936,0.2,0.862,0.961
103,0.601,0.935,0.167,0.898,0.955
104,0.597,0.932,0.131,0.911,0.95
105,0.626,0.924,0.095,0.898,0.95
106,0.713,0.918,0.072,0.878,0.96
107,0.832,0.916,0.059,0.858,0.969
108,0.893,0.913,0.059,0.837,0.975
109,0.907,0.91,0.07,0.82,0.979
110,0.918,0.9,0.084,0.826,0.98
111,0.931,0.886,0.097,0.844,0.981
112,0.935,0.848,0.107,0.848,0.983
113,0.928,0.791,0.112,0.811,0.985
114,0.905,0.727,0.109,0.727,0.985
115,0.906,0.658,0.093,0.625,0.983
116,0.902,0.594,0.073,0.54,0.981
117,0.893,0.541,0.052,0.5,0.977
118,0.884,0.5,0.037,0.516,0.968
119,0.852,0.462,0.028,0.543,0.947
120,0.842,0.438,0.021,0.618,0.903
121,0.839,0.413,0.015,0.728,0.835
122,0.837,0.395,0.009,0.805,0.83
123,0.844,0.366,0.005,0.848,0.894
124,0.86,0.336,0.004,0.877,0.949
125,0.873,0.297,0.028,0.893,0.977
126,0.873,0.252,0.091,0.907,0.989
127,0.85,0.2,0.175,0.909,0.992
128,0.784,0.146,0.258,0.891,0.992
129,0.69,0.083,0.312,0.855,0.989
130,0.706,0.043,0.313,0.807,0.98
131,0.745,0.02,0.299,0.758,0.963
132,0.81,0.008,0.298,0.701,0.943
133,0.896,0.004,0.293,0.644,0.925
134,0.945,0.004,0.264,0.61,0.9
135,0.967,0.006,0.221,0.612,0.865
136,0.979,0.019,0.209,0.6,0.84
137,0.986,0.051,0.22,0.571,0.817
138,0.987,0.117,0.248,0.539,0.791
139,0.982,0.228,0.292,0.506,0.772
140,0.973,0.393,0.305,0.472,0.754
141,0.965,0.529,0.235,0.456,0.727
142,0.955,0.655,0.262,0.47,0.692
143,0.943,0.706,0.288,0.506,0.649
144,0.931,0.765,0.31,0.538,0.611
145,0.92,0.812,0.343,0.551,0.587
146,0.907,0.858,0.36,0.532,0.575
147,0.904,0.892,0.362,0.503,0.573
148,0.917,0.918,0.333,0.49,0.566
149,0.941,0.93,0.28,0.489,0.543
150,0.961,0.94,0.23,0.516,0.507
151,0.964,0.952,0.205,0.555,0.475
152,0.968,0.957,0.217,0.56,0.458
153,0.968,0.959,0.229,0.549,0.425
154,0.967,0.961,0.253,0.457,0.389
155,0.965,0.964,0.26,0.33,0.344
156,0.96,0.962,0.253,0.246,0.272
157,0.947,0.957,0.27,0.21,0.185
158,0.926,0.947,0.284,0.195,0.108
159,0.89,0.929,0.299,0.189,0.052
160,0.867,0.899,0.321,0.21,0.021
161,0.871,0.865,0.344,0.24,0.019
162,0.882,0.787,0.331,0.251,0.027
163,0.893,0.664,0.288,0.257,0.035
164,0.9,0.549,0.246,0.265,0.038
165,0.898,0.475,0.223,0.268,0.039
166,0.881,0.432,0.218,0.23,0.04
167,0.845,0.414,0.214,0.171,0.036
168,0.797,0.42,0.203,0.128,0.033
169,0.739,0.427,0.2,0.099,0.03
170,0.692,0.418,0.183,0.07,0.027
171,0.662,0.412,0.186,0.051,0.026
172,0.652,0.409,0.21,0.05,0.027
173,0.649,0.373,0.258,0.053,0.038
174,0.637,0.344,0.319,0.058,0.061
175,0.597,0.336,0.376,0.063,0.081
176,0.518,0.345,0.42,0.064,0.081
177,0.406,0.317,0.448,0.038,0.067
178,0.313,0.274,0.454,0.015,0.057
179,0.234,0.274,0.47,0.008,0.057
180,0.169,0.319,0.515,0.004,0.062
181,0.124,0.416,0.572,0.002,0.071
182,0.097,0.525,0.631,0.003,0.085
183,0.087,0.594,0.672,0.006,0.104
184,0.076,0.652,0.685,0.006,0.136
185,0.059,0.745,0.678,0.006,0.152
