Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.2,0.618,0.518,0.087658073,0.216
2,0.17,0.6,0.504,0.096854935,0.162
3,0.133,0.564,0.485,0.08527785,0.097
4,0.107,0.562,0.439,0.07532989,0.051
5,0.09,0.542,0.386,0.066946368,0.033
6,0.076,0.506,0.354,0.060059652,0.025
7,0.059,0.501,0.325,0.054586867,0.018
8,0.031,0.475,0.305,0.050402795,0.006
9,0.009,0.47,0.266,0.040892178,0.005
10,0.008,0.457,0.26,0.033079575,0.005
11,0.034,0.445,0.264,0.026827534,0.005
12,0.073,0.454,0.266,0.022084668,0.005
13,0.122,0.461,0.269,0.018723949,0.006
14,0.168,0.465,0.271,0.018606193,0.01
15,0.21,0.461,0.267,0.014216376,0.013
16,0.209,0.431,0.262,0.009920242,0.012
17,0.179,0.361,0.236,0.009099643,0.015
18,0.153,0.267,0.212,0.008786288,0.02
19,0.132,0.175,0.201,0.009266361,0.049
20,0.122,0.113,0.214,0.011671545,0.152
21,0.122,0.095,0.243,0.016379798,0.28
22,0.138,0.115,0.288,0.024652951,0.402
23,0.165,0.148,0.314,0.037447181,0.51
24,0.203,0.179,0.317,0.055431875,0.551
25,0.266,0.226,0.295,0.078956924,0.556
26,0.322,0.315,0.269,0.110165475,0.549
27,0.357,0.448,0.246,0.103379632,0.524
28,0.375,0.557,0.236,0.100417237,0.485
29,0.376,0.594,0.238,0.101215005,0.454
30,0.363,0.607,0.245,0.105806234,0.449
31,0.351,0.625,0.249,0.1142951,0.448
32,0.327,0.625,0.231,0.126830851,0.447
33,0.325,0.588,0.186,0.13419777,0.454
34,0.341,0.504,0.141,0.143441098,0.489
35,0.386,0.423,0.115,0.154741773,0.548
36,0.456,0.348,0.11,0.168179546,0.598
37,0.54,0.336,0.125,0.183750504,0.632
38,0.595,0.348,0.151,0.201388489,0.648
39,0.606,0.34,0.176,0.146343887,0.65
40,0.603,0.392,0.207,0.101651507,0.618
41,0.576,0.436,0.226,0.06774608,0.563
42,0.537,0.45,0.228,0.044343771,0.516
43,0.506,0.444,0.225,0.030232524,0.475
44,0.495,0.434,0.221,0.023205493,0.425
45,0.504,0.435,0.2,0.022432084,0.367
46,0.514,0.431,0.177,0.022490258,0.285
47,0.524,0.44,0.155,0.023265214,0.202
48,0.524,0.45,0.142,0.024622542,0.13
49,0.51,0.48,0.14,0.017152242,0.062
50,0.488,0.511,0.146,0.017925285,0.02
51,0.467,0.549,0.158,0.011473071,0.005
52,0.444,0.575,0.173,0.014782647,0.003
53,0.407,0.594,0.186,0.011234137,0.003
54,0.373,0.582,0.193,0.010441097,0.003
55,0.338,0.582,0.193,0.010149885,0.005
56,0.301,0.597,0.185,0.013798602,0.006
57,0.315,0.625,0.17,0.011481157,0.021
58,0.322,0.645,0.15,0.011037797,0.034
59,0.337,0.616,0.127,0.012610901,0.044
60,0.341,0.662,0.107,0.017018339,0.044
61,0.341,0.702,0.098,0.027759961,0.034
62,0.351,0.708,0.103,0.04314022,0.029
63,0.355,0.727,0.122,0.031235602,0.035
64,0.335,0.732,0.148,0.021935917,0.027
65,0.295,0.744,0.184,0.015277079,0.019
66,0.255,0.759,0.231,0.01125399,0.015
67,0.215,0.76,0.294,0.009802417,0.011
68,0.2,0.77,0.373,0.010366224,0.007
69,0.202,0.777,0.425,0.009891355,0.006
70,0.226,0.794,0.457,0.008666072,0.006
71,0.239,0.806,0.48,0.011548863,0.006
72,0.241,0.815,0.494,0.01865209,0.005
73,0.271,0.818,0.526,0.025391158,0.005
74,0.305,0.824,0.587,0.034329071,0.004
75,0.329,0.835,0.648,0.044120349,0.006
76,0.321,0.844,0.701,0.058917773,0.008
77,0.289,0.867,0.753,0.07929741,0.013
78,0.265,0.883,0.801,0.10555586,0.023
79,0.26,0.872,0.839,0.137746039,0.041
80,0.258,0.858,0.862,0.175722411,0.053
81,0.314,0.849,0.877,0.187040718,0.107
82,0.416,0.845,0.89,0.199190707,0.165
83,0.522,0.88,0.903,0.212153961,0.212
84,0.597,0.911,0.91,0.225922119,0.242
85,0.617,0.92,0.913,0.240484918,0.241
86,0.597,0.918,0.919,0.255830048,0.251
87,0.583,0.906,0.924,0.245803072,0.289
88,0.575,0.889,0.925,0.237108619,0.34
89,0.549,0.855,0.927,0.229743321,0.377
90,0.534,0.783,0.927,0.223703116,0.392
91,0.511,0.75,0.929,0.218983109,0.412
92,0.467,0.689,0.928,0.215578507,0.451
93,0.479,0.668,0.929,0.231551817,0.494
94,0.518,0.682,0.934,0.248891458,0.529
95,0.559,0.631,0.938,0.267555553,0.574
96,0.587,0.539,0.943,0.287495005,0.622
97,0.622,0.498,0.946,0.30865129,0.671
98,0.65,0.479,0.947,0.330957166,0.727
99,0.648,0.467,0.947,0.362742093,0.816
100,0.634,0.452,0.945,0.396113947,0.901
101,0.591,0.435,0.943,0.430806148,0.944
102,0.55,0.409,0.938,0.466555149,0.96
103,0.515,0.383,0.929,0.503089269,0.965
104,0.467,0.377,0.921,0.54013018,0.967
105,0.588,0.348,0.914,0.60802653,0.972
106,0.766,0.256,0.906,0.67682589,0.971
107,0.877,0.198,0.893,0.745392261,0.962
108,0.917,0.233,0.886,0.834240269,0.946
109,0.942,0.231,0.888,0.851803992,0.924
110,0.954,0.214,0.888,0.870359712,0.904
