Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0,0.888432752,0.025901336,0,0,0.709,0.86,0.152,0.245232578,0.151,0.2,0.144,0,0.32,0.087658073,0,0.618,0.357,0.513394149,0.028884188,0.514,0.252,0.183,0,0.511,0.518,0.824,0.834,0.033,0.216,0.2,0.618,0.518,0.087658073,0.216
2,0,0.779151203,0.027916865,0,0,0.719,0.847,0.183,0.269999484,0.167,0.17,0.113,0,0.392,0.096854935,0,0.6,0.329,0.514759941,0.02597862,0.5,0.233,0.159,0,0.521,0.504,0.802,0.854,0.027,0.162,0.17,0.6,0.504,0.096854935,0.162
3,0,0.621748092,0.0244085,0,0,0.712,0.822,0.212,0.257642094,0.193,0.133,0.09,0,0.433,0.08527785,0,0.564,0.321,0.518078938,0.024269811,0.516,0.222,0.136,0,0.524,0.485,0.82,0.842,0.024,0.097,0.133,0.564,0.485,0.08527785,0.097
4,0,0.485346574,0.022763987,0,0,0.693,0.793,0.239,0.248251869,0.21,0.107,0.077,0,0.455,0.07532989,0,0.562,0.294,0.521104602,0.026333569,0.514,0.213,0.13,0,0.6,0.439,0.819,0.819,0.021,0.051,0.107,0.562,0.439,0.07532989,0.051
5,0,0.382161651,0.022161398,0,0,0.704,0.754,0.26,0.241820934,0.214,0.09,0.074,0,0.431,0.066946368,0,0.542,0.288,0.524611372,0.032313615,0.501,0.2,0.132,0,0.622,0.386,0.813,0.816,0.02,0.033,0.09,0.542,0.386,0.066946368,0.033
6,0,0.319210857,0.023030713,0,0,0.695,0.693,0.25,0.238332257,0.223,0.076,0.076,0,0.449,0.060059652,0,0.506,0.294,0.528353739,0.043706881,0.495,0.202,0.133,0,0.583,0.354,0.793,0.794,0.02,0.025,0.076,0.506,0.354,0.060059652,0.025
7,0,0.299128901,0.001264053,0,0,0.721,0.556,0.212,0.237757833,0.231,0.059,0.079,0,0.513,0.054586867,0,0.501,0.305,0.532327028,0.062653361,0.488,0.241,0.133,0,0.45,0.325,0.76,0.798,0.021,0.018,0.059,0.501,0.325,0.054586867,0.018
8,0,0.322237595,0.000240402,0,0,0.748,0.451,0.183,0.240060744,0.22,0.031,0.081,0,0.528,0.050402795,0,0.475,0.346,0.536525972,0.090808444,0.461,0.287,0.133,0,0.276,0.305,0.724,0.795,0.019,0.006,0.031,0.475,0.305,0.050402795,0.006
9,0,0.335408387,0,0,0,0.75,0.355,0.151,0.218071854,0.208,0.009,0.076,0,0.584,0.040892178,0,0.47,0.373,0.539766087,0.089110515,0.467,0.31,0.115,0,0.183,0.266,0.685,0.804,0.003,0.005,0.009,0.47,0.266,0.040892178,0.005
10,0,0.349643346,0,0,0,0.713,0.26,0.112,0.201367227,0.185,0.008,0.051,0,0.65,0.033079575,0,0.457,0.323,0.543200039,0.094676787,0.453,0.289,0.05,0,0.246,0.26,0.664,0.818,0.006,0.005,0.008,0.457,0.26,0.033079575,0.005
