Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.377396,0.258533333,0.4705704,0.0464736,0.4535176
2,0.376672,0.2568,0.4458528,0.0462448,0.4483768
3,0.3742392,0.252933333,0.4209624,0.0452072,0.4458592
4,0.3621344,0.257333333,0.3999456,0.0452328,0.4435776
5,0.3552456,0.2628,0.3758464,0.0410944,0.4428216
6,0.3533688,0.2496,0.3588648,0.0329032,0.4382008
7,0.3519888,0.246666667,0.3421128,0.0250384,0.4333384
8,0.3488888,0.254933333,0.3332288,0.0206312,0.4284216
9,0.3416616,0.278666667,0.3196472,0.0196424,0.4250328
10,0.3313688,0.3184,0.3024288,0.0198016,0.4162648
11,0.3245296,0.32,0.2787008,0.0229024,0.410188
12,0.3226736,0.315466667,0.2635944,0.0321256,0.4099808
13,0.3092528,0.303066667,0.258796,0.0443496,0.4111864
14,0.2887968,0.330133333,0.2558296,0.055148,0.4097344
15,0.2794752,0.3808,0.2444096,0.0616216,0.40454
16,0.2939976,0.398666667,0.2221248,0.0636352,0.4043592
17,0.3159272,0.3912,0.2042888,0.0648704,0.3989408
18,0.3168888,0.396666667,0.1976824,0.0657408,0.3910328
19,0.3031744,0.407466667,0.1952544,0.065304,0.3754192
20,0.2820312,0.428133333,0.1980656,0.0665152,0.3618432
21,0.2599536,0.453866667,0.2002016,0.0713488,0.3414304
22,0.2353888,0.476266667,0.1984248,0.0798168,0.3184664
23,0.2113552,0.499066667,0.2004464,0.0848496,0.2925536
24,0.189024,0.5192,0.199652,0.0922088,0.2693192
25,0.1635056,0.532,0.1930416,0.1029096,0.2493304
26,0.1406456,0.549066667,0.1863408,0.112368,0.2326136
27,0.1206304,0.5788,0.1779736,0.118636,0.2215976
28,0.1050368,0.625333333,0.165132,0.1214744,0.2158592
29,0.0933728,0.637466667,0.1511864,0.1156512,0.214392
30,0.0844624,0.698533333,0.1409728,0.1118512,0.2157056
31,0.0766048,0.7016,0.1310448,0.1131416,0.2198808
32,0.0696496,0.707066667,0.1213408,0.1175928,0.2319336
33,0.062688,0.708133333,0.1144168,0.1215472,0.2479544
34,0.0568208,0.725466667,0.1110824,0.125588,0.2599672
35,0.0524232,0.719466667,0.1034264,0.1393752,0.2619864
36,0.057484,0.7168,0.0973336,0.1493568,0.2687128
37,0.0714256,0.719466667,0.1031464,0.14742,0.2787312
38,0.0894192,0.721333333,0.111896,0.1360296,0.2891944
39,0.1112352,0.7184,0.1171016,0.1197832,0.3048712
40,0.1518712,0.719866667,0.1188808,0.1036144,0.3261152
41,0.2011136,0.721066667,0.1285264,0.0976736,0.3471912
42,0.2368968,0.7288,0.1476664,0.0988672,0.3623576
43,0.2488288,0.7344,0.1628968,0.101796,0.3786216
44,0.2479808,0.733066667,0.1715544,0.1033744,0.388968
45,0.2398352,0.729466667,0.1762232,0.1019432,0.3923624
46,0.2287464,0.725733333,0.1789152,0.097664,0.3947048
47,0.2138648,0.730666667,0.182484,0.0905616,0.4023248
48,0.2013304,0.737333333,0.1862896,0.0822592,0.4074616
49,0.1944416,0.7396,0.1889688,0.0721576,0.4085784
50,0.1845072,0.742933333,0.1884168,0.062584,0.4074048
51,0.173288,0.745066667,0.184452,0.053956,0.409092
52,0.1688504,0.73,0.1789168,0.0457608,0.4107264
53,0.1657864,0.701466667,0.1672176,0.0387136,0.4094136
54,0.174524,0.6552,0.1575008,0.0343344,0.412376
55,0.1982328,0.615733333,0.150576,0.0327304,0.427228
56,0.2323968,0.612533333,0.1464016,0.033964,0.4500032
57,0.2710824,0.6236,0.1452248,0.0393808,0.471664
58,0.2935448,0.635333333,0.1441304,0.0433864,0.4876456
59,0.3123648,0.648933333,0.1369792,0.044228,0.5090664
60,0.3466976,0.647866667,0.1277144,0.0436296,0.533436
61,0.3881624,0.644133333,0.1200216,0.0446376,0.5577928
62,0.4117152,0.6364,0.1142504,0.048036,0.583952
63,0.42528,0.625066667,0.1092192,0.0524176,0.6074344
64,0.4520344,0.6076,0.1051312,0.0564832,0.6308832
65,0.4883008,0.582533333,0.1085424,0.0585608,0.6453384
66,0.5255144,0.5772,0.1153784,0.060692,0.6560032
67,0.541476,0.536266667,0.120556,0.0617184,0.6631744
68,0.5603632,0.5028,0.1236824,0.0629112,0.668512
69,0.5690064,0.4904,0.1257848,0.065784,0.670172
70,0.58396,0.479066667,0.1292112,0.0692128,0.6692608
71,0.5850368,0.4808,0.1333848,0.0764888,0.6628016
72,0.5939568,0.474533333,0.135724,0.0859712,0.6522408
73,0.5986696,0.5056,0.1346312,0.0951168,0.6400504
74,0.6105768,0.557866667,0.1305656,0.1047288,0.627996
75,0.6140096,0.5964,0.1251424,0.1130384,0.6151312
76,0.624452,0.601466667,0.1207056,0.1188704,0.6001952
77,0.62924,0.59,0.1209008,0.116,0.5944936
78,0.6375256,0.559466667,0.122592,0.1095312,0.588416
79,0.6308776,0.522,0.1217528,0.105224,0.5718864
80,0.6250136,0.497333333,0.1207072,0.1021984,0.5525768
81,0.6129216,0.4916,0.1222712,0.1001728,0.530948
82,0.607712,0.489733333,0.1248456,0.098372,0.5107432
83,0.6001456,0.5488,0.1118344,0.1006112,0.481316
84,0.6080968,0.5784,0.0966496,0.10966,0.4543144
85,0.6184216,0.576666667,0.0892288,0.1222712,0.4267008
86,0.630012,0.568133333,0.0829536,0.135976,0.3992704
87,0.6291896,0.555733333,0.0733272,0.1472464,0.3718696
88,0.61954,0.537466667,0.0660768,0.1520136,0.3500224
89,0.6016112,0.493333333,0.0736688,0.1560304,0.3332584
90,0.5744608,0.450666667,0.08648,0.1646912,0.3190296
91,0.5429016,0.407466667,0.0943952,0.17232,0.3083008
92,0.5373632,0.346,0.0991112,0.1797904,0.3044672
93,0.5656088,0.293066667,0.1012984,0.191068,0.3005408
94,0.6163968,0.283066667,0.101148,0.2013776,0.2977112
95,0.6586552,0.266133333,0.095536,0.1979648,0.28606
96,0.686668,0.2856,0.08958,0.1914864,0.2788128
97,0.70246,0.292133333,0.0857752,0.1865536,0.2755032
98,0.7097968,0.3364,0.0822464,0.1816048,0.2750384
99,0.708672,0.345466667,0.0785336,0.1769872,0.278544
100,0.7061408,0.347333333,0.0749864,0.1784336,0.2910144
101,0.6941648,0.363866667,0.0748544,0.1797808,0.2986408
102,0.6834592,0.3836,0.07628,0.1788816,0.304132
103,0.6653832,0.420266667,0.0796256,0.1782688,0.3087728
104,0.65272,0.438133333,0.084936,0.1829352,0.3151912
105,0.6320528,0.4688,0.0908744,0.1918008,0.3133352
106,0.6191328,0.502666667,0.0954528,0.2022248,0.3096504
107,0.608012,0.4576,0.0929016,0.2141904,0.3058032
108,0.6128992,0.41,0.0928368,0.2334536,0.3060976
109,0.6194672,0.348933333,0.0943688,0.2538144,0.3061272
110,0.6323,0.315733333,0.0934504,0.2628176,0.2970536
111,0.6484712,0.259466667,0.0894792,0.2633032,0.2847088
112,0.6617784,0.207333333,0.0833328,0.2624264,0.2696592
113,0.6638624,0.144266667,0.0822744,0.2676328,0.2529432
114,0.6576928,0.1088,0.0850288,0.2758056,0.2258216
115,0.6365896,0.086,0.0858072,0.2798336,0.1909936
116,0.6022336,0.061333333,0.0847848,0.2816944,0.1582088
117,0.5538984,0.040933333,0.0843432,0.2834792,0.1312744
118,0.5034288,0.028133333,0.0848376,0.2838488,0.1143752
119,0.4639728,0.0168,0.0866656,0.2983344,0.1007352
120,0.4358424,0.009066667,0.0903528,0.3206336,0.0929168
121,0.4239384,0.007066667,0.0944824,0.3360608,0.092812
122,0.4287296,0.0108,0.0969824,0.3402064,0.0977104
123,0.4356736,0.020133333,0.0968112,0.3342696,0.1043896
124,0.4435272,0.034933333,0.0954608,0.3249472,0.1094784
125,0.442164,0.0556,0.092532,0.3197248,0.111836
126,0.4263368,0.0828,0.0872776,0.313048,0.1107048
127,0.3911504,0.112266667,0.0809032,0.3050056,0.1071232
128,0.3429944,0.134933333,0.0754528,0.2952128,0.1050792
129,0.2820224,0.135466667,0.0711664,0.2824824,0.1022808
130,0.2180208,0.145066667,0.0665928,0.2669264,0.0940888
131,0.1862824,0.169733333,0.0611864,0.2497488,0.0857064
132,0.1918408,0.2016,0.0583904,0.2326776,0.0874104
133,0.20068,0.228933333,0.0588496,0.2193128,0.0980352
134,0.215948,0.221066667,0.0588488,0.2073288,0.1098016
135,0.258516,0.2724,0.0566208,0.1951952,0.1189664
136,0.3403888,0.339466667,0.0534352,0.1818608,0.1275144
137,0.438184,0.330933333,0.0538856,0.1806328,0.1405304
138,0.5177912,0.347333333,0.0579352,0.1837056,0.153384
139,0.5714856,0.396,0.062708,0.1827384,0.1606296
140,0.6049448,0.406133333,0.0663736,0.1808216,0.1611768
141,0.6217568,0.404933333,0.0681808,0.1776888,0.1580712
142,0.6248064,0.3988,0.0672384,0.1728648,0.1508568
