Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
1,0.377396,0.5537544,0.0333552,0.4180528,0.3565016,0.258533333,0.5469,0.3140136,0.3164952,0.4705704,0.1489944,0.0240984,0.3423984,0.3699648,0.0464736,0.6003992,0.5355624,0.2994232,0.4535176,0.2371328,0.0341192,0.4014832,0,0.174345979,0.4193552,0.4496872,0.49378,0.5473144,0.182597318,0.186243
2,0.376672,0.4938576,0.0321648,0.416804,0.3511552,0.2568,0.4855056,0.2976848,0.3209464,0.4458528,0.1516496,0.024912,0.3423544,0.3805024,0.0462448,0.5945912,0.4619216,0.2837408,0.4483768,0.2179816,0.0329552,0.4008608,0,0.186002132,0.4092368,0.485156,0.487096,0.5526576,0.182362251,0.189562
3,0.3742392,0.4339592,0.033188,0.4107472,0.3504424,0.252933333,0.4242192,0.282568,0.3355536,0.4209624,0.1579896,0.026052,0.3362656,0.3877872,0.0452072,0.5855616,0.38422,0.2706456,0.4458592,0.206968,0.0323312,0.39924,0,0.17953341,0.4077384,0.5223584,0.4951536,0.5673264,0.180882323,0.197487
4,0.3621344,0.3807856,0.0328792,0.406644,0.3498,0.257333333,0.3693416,0.2682904,0.3455464,0.3999456,0.1665264,0.0276176,0.3202264,0.3824024,0.0452328,0.579068,0.310748,0.263512,0.4435776,0.198336,0.0301168,0.39244,0,0.174529428,0.4117472,0.546536,0.5014944,0.575236,0.180880221,0.208158
5,0.3552456,0.3314648,0.0295432,0.4080104,0.3475648,0.2628,0.3249512,0.2711096,0.3622648,0.3758464,0.1723768,0.0294088,0.3072304,0.3733304,0.0410944,0.5669224,0.2476664,0.259296,0.4428216,0.1945368,0.0280888,0.3812712,0,0.171032346,0.4183168,0.562332,0.5035096,0.577104,0.183798135,0.215471
6,0.3533688,0.3046712,0.023952,0.4188376,0.345212,0.2496,0.2838736,0.2763712,0.3703992,0.3588648,0.1794448,0.0324816,0.3057032,0.3642168,0.0329032,0.5703744,0.2040152,0.2599504,0.4382008,0.19438,0.027928,0.3613624,0,0.16907353,0.429936,0.5614336,0.5001688,0.5738136,0.189629341,0.224306
7,0.3519888,0.2850224,0.0175144,0.4284328,0.3500864,0.246666667,0.2474848,0.2771664,0.3834104,0.3421128,0.1870304,0.0372456,0.3049944,0.359856,0.0250384,0.5578992,0.1780008,0.2640712,0.4333384,0.19286,0.0286056,0.3401424,0.119892967,0.168671853,0.4462752,0.5673776,0.498464,0.5730672,0.198356081,0.233788
8,0.3488888,0.2843176,0.0122512,0.4429256,0.3567696,0.254933333,0.221924,0.2743376,0.390012,0.3332288,0.1926048,0.0434448,0.30194,0.3618992,0.0206312,0.5525504,0.1713808,0.2711848,0.4284216,0.1923608,0.0309672,0.314036,0.135595777,0.169832249,0.4555512,0.564564,0.496324,0.5643608,0.209480877,0.240756
9,0.3416616,0.2869072,0.007564,0.4524832,0.3586472,0.278666667,0.2041048,0.2691928,0.4009696,0.3196472,0.192748,0.0489648,0.296812,0.3650704,0.0196424,0.5211976,0.1781544,0.2764872,0.4250328,0.1874048,0.033032,0.2907384,0.121833614,0.190065099,0.4598472,0.5726384,0.4938024,0.5533856,0.211315794,0.240935
10,0.3313688,0.2937464,0.0056848,0.4547744,0.3486568,0.3184,0.1915264,0.2582728,0.3978512,0.3024288,0.18242,0.051256,0.2965792,0.3623344,0.0198016,0.4856696,0.1954424,0.277808,0.4162648,0.1672344,0.0291024,0.2639392,0.120015586,0.210940171,0.4656048,0.5675376,0.4846024,0.5328096,0.214320619,0.228025
