Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.283047,0.1939,0.3529278,0.0348552,0.3401382
2,0.282504,0.1926,0.3343896,0.0346836,0.3362826
3,0.2806794,0.1897,0.3157218,0.0339054,0.3343944
4,0.2716008,0.193,0.2999592,0.0339246,0.3326832
5,0.2664342,0.1971,0.2818848,0.0308208,0.3321162
6,0.2650266,0.1872,0.2691486,0.0246774,0.3286506
7,0.2639916,0.185,0.2565846,0.0187788,0.3250038
8,0.2616666,0.1912,0.2499216,0.0154734,0.3213162
9,0.2562462,0.209,0.2397354,0.0147318,0.3187746
10,0.2485266,0.2388,0.2268216,0.0148512,0.3121986
11,0.2433972,0.24,0.2090256,0.0171768,0.307641
12,0.2420052,0.2366,0.1976958,0.0240942,0.3074856
13,0.2319396,0.2273,0.194097,0.0332622,0.3083898
14,0.2165976,0.2476,0.1918722,0.041361,0.3073008
15,0.2096064,0.2856,0.1833072,0.0462162,0.303405
16,0.2204982,0.299,0.1665936,0.0477264,0.3032694
17,0.2369454,0.2934,0.1532166,0.0486528,0.2992056
18,0.2376666,0.2975,0.1482618,0.0493056,0.2932746
19,0.2273808,0.3056,0.1464408,0.048978,0.2815644
20,0.2115234,0.3211,0.1485492,0.0498864,0.2713824
21,0.1949652,0.3404,0.1501512,0.0535116,0.2560728
22,0.1765416,0.3572,0.1488186,0.0598626,0.2388498
23,0.1585164,0.3743,0.1503348,0.0636372,0.2194152
24,0.141768,0.3894,0.149739,0.0691566,0.2019894
25,0.1226292,0.399,0.1447812,0.0771822,0.1869978
26,0.1054842,0.4118,0.1397556,0.084276,0.1744602
27,0.0904728,0.4341,0.1334802,0.088977,0.1661982
28,0.0787776,0.469,0.123849,0.0911058,0.1618944
29,0.0700296,0.4781,0.1133898,0.0867384,0.160794
30,0.0633468,0.5239,0.1057296,0.0838884,0.1617792
31,0.0574536,0.5262,0.0982836,0.0848562,0.1649106
32,0.0522372,0.5303,0.0910056,0.0881946,0.1739502
33,0.047016,0.5311,0.0858126,0.0911604,0.1859658
34,0.0426156,0.5441,0.0833118,0.094191,0.1949754
35,0.0393174,0.5396,0.0775698,0.1045314,0.1964898
36,0.043113,0.5376,0.0730002,0.1120176,0.2015346
37,0.0535692,0.5396,0.0773598,0.110565,0.2090484
38,0.0670644,0.541,0.083922,0.1020222,0.2168958
39,0.0834264,0.5388,0.0878262,0.0898374,0.2286534
40,0.1139034,0.5399,0.0891606,0.0777108,0.2445864
41,0.1508352,0.5408,0.0963948,0.0732552,0.2603934
42,0.1776726,0.5466,0.1107498,0.0741504,0.2717682
43,0.1866216,0.5508,0.1221726,0.076347,0.2839662
44,0.1859856,0.5498,0.1286658,0.0775308,0.291726
45,0.1798764,0.5471,0.1321674,0.0764574,0.2942718
46,0.1715598,0.5443,0.1341864,0.073248,0.2960286
47,0.1603986,0.548,0.136863,0.0679212,0.3017436
48,0.1509978,0.553,0.1397172,0.0616944,0.3055962
49,0.1458312,0.5547,0.1417266,0.0541182,0.3064338
50,0.1383804,0.5572,0.1413126,0.046938,0.3055536
51,0.129966,0.5588,0.138339,0.040467,0.306819
52,0.1266378,0.5475,0.1341876,0.0343206,0.3080448
53,0.1243398,0.5261,0.1254132,0.0290352,0.3070602
54,0.130893,0.4914,0.1181256,0.0257508,0.309282
55,0.1486746,0.4618,0.112932,0.0245478,0.320421
56,0.1742976,0.4594,0.1098012,0.025473,0.3375024
57,0.2033118,0.4677,0.1089186,0.0295356,0.353748
58,0.2201586,0.4765,0.1080978,0.0325398,0.3657342
59,0.2342736,0.4867,0.1027344,0.033171,0.3817998
60,0.2600232,0.4859,0.0957858,0.0327222,0.400077
61,0.2911218,0.4831,0.0900162,0.0334782,0.4183446
62,0.3087864,0.4773,0.0856878,0.036027,0.437964
63,0.31896,0.4688,0.0819144,0.0393132,0.4555758
64,0.3390258,0.4557,0.0788484,0.0423624,0.4731624
65,0.3662256,0.4369,0.0814068,0.0439206,0.4840038
66,0.3941358,0.4329,0.0865338,0.045519,0.4920024
67,0.406107,0.4022,0.090417,0.0462888,0.4973808
68,0.4202724,0.3771,0.0927618,0.0471834,0.501384
69,0.4267548,0.3678,0.0943386,0.049338,0.502629
70,0.43797,0.3593,0.0969084,0.0519096,0.5019456
71,0.4387776,0.3606,0.1000386,0.0573666,0.4971012
72,0.4454676,0.3559,0.101793,0.0644784,0.4891806
73,0.4490022,0.3792,0.1009734,0.0713376,0.4800378
74,0.4579326,0.4184,0.0979242,0.0785466,0.470997
75,0.4605072,0.4473,0.0938568,0.0847788,0.4613484
76,0.468339,0.4511,0.0905292,0.0891528,0.4501464
77,0.47193,0.4425,0.0906756,0.087,0.4458702
78,0.4781442,0.4196,0.091944,0.0821484,0.441312
79,0.4731582,0.3915,0.0913146,0.078918,0.4289148
80,0.4687602,0.373,0.0905304,0.0766488,0.4144326
81,0.4596912,0.3687,0.0917034,0.0751296,0.398211
82,0.455784,0.3673,0.0936342,0.073779,0.3830574
83,0.4501092,0.4116,0.0838758,0.0754584,0.360987
84,0.4560726,0.4338,0.0724872,0.082245,0.3407358
85,0.4638162,0.4325,0.0669216,0.0917034,0.3200256
86,0.472509,0.4261,0.0622152,0.101982,0.2994528
87,0.4718922,0.4168,0.0549954,0.1104348,0.2789022
88,0.464655,0.4031,0.0495576,0.1140102,0.2625168
89,0.4512084,0.37,0.0552516,0.1170228,0.2499438
90,0.4308456,0.338,0.06486,0.1235184,0.2392722
91,0.4071762,0.3056,0.0707964,0.12924,0.2312256
92,0.4030224,0.2595,0.0743334,0.1348428,0.2283504
93,0.4242066,0.2198,0.0759738,0.143301,0.2254056
94,0.4622976,0.2123,0.075861,0.1510332,0.2232834
95,0.4939914,0.1996,0.071652,0.1484736,0.214545
96,0.515001,0.2142,0.067185,0.1436148,0.2091096
97,0.526845,0.2191,0.0643314,0.1399152,0.2066274
98,0.5323476,0.2523,0.0616848,0.1362036,0.2062788
99,0.531504,0.2591,0.0589002,0.1327404,0.208908
