Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
1,0.283047,0.4153158,0.0250164,0.3135396,0.2673762,0.1939,0.410175,0.2355102,0.2373714,0.3529278,0.1117458,0.0180738,0.2567988,0.2774736,0.0348552,0.4502994,0.4016718,0.2245674,0.3401382,0.1778496,0.0255894,0.3011124,0,0.130759484,0.3145164,0.3372654,0.370335,0.4104858,0.207,0.122
2,0.282504,0.3703932,0.0241236,0.312603,0.2633664,0.1926,0.3641292,0.2232636,0.2407098,0.3343896,0.1137372,0.018684,0.2567658,0.2853768,0.0346836,0.4459434,0.3464412,0.2128056,0.3362826,0.1634862,0.0247164,0.3006456,0,0.139501599,0.3069276,0.363867,0.365322,0.4144932,0.213,0.128
3,0.2806794,0.3254694,0.024891,0.3080604,0.2628318,0.1897,0.3181644,0.211926,0.2516652,0.3157218,0.1184922,0.019539,0.2521992,0.2908404,0.0339054,0.4391712,0.288165,0.2029842,0.3343944,0.155226,0.0242484,0.29943,0,0.134650057,0.3058038,0.3917688,0.3713652,0.4254948,0.216,0.115
4,0.2716008,0.2855892,0.0246594,0.304983,0.26235,0.193,0.2770062,0.2012178,0.2591598,0.2999592,0.1248948,0.0207132,0.2401698,0.2868018,0.0339246,0.434301,0.233061,0.197634,0.3326832,0.148752,0.0225876,0.29433,0,0.130897071,0.3088104,0.409902,0.3761208,0.431427,0.222,0.09
5,0.2664342,0.2485986,0.0221574,0.3060078,0.2606736,0.1971,0.2437134,0.2033322,0.2716986,0.2818848,0.1292826,0.0220566,0.2304228,0.2799978,0.0308208,0.4251918,0.1857498,0.194472,0.3321162,0.1459026,0.0210666,0.2859534,0,0.128274259,0.3137376,0.421749,0.3776322,0.432828,0.24,0.072
6,0.2650266,0.2285034,0.017964,0.3141282,0.258909,0.1872,0.2129052,0.2072784,0.2777994,0.2691486,0.1345836,0.0243612,0.2292774,0.2731626,0.0246774,0.4277808,0.1530114,0.1949628,0.3286506,0.145785,0.020946,0.2710218,0,0.126805147,0.322452,0.4210752,0.3751266,0.4303602,0.264,0.061
7,0.2639916,0.2137668,0.0131358,0.3213246,0.2625648,0.185,0.1856136,0.2078748,0.2875578,0.2565846,0.1402728,0.0279342,0.2287458,0.269892,0.0187788,0.4184244,0.1335006,0.1980534,0.3250038,0.144645,0.0214542,0.2551068,0.089919725,0.12650389,0.3347064,0.4255332,0.373848,0.4298004,0.288,0.043
8,0.2616666,0.2132382,0.0091884,0.3321942,0.2675772,0.1912,0.166443,0.2057532,0.292509,0.2499216,0.1444536,0.0325836,0.226455,0.2714244,0.0154734,0.4144128,0.1285356,0.2033886,0.3213162,0.1442706,0.0232254,0.235527,0.101696833,0.127374187,0.3416634,0.423423,0.372243,0.4232706,0.264,0.009
9,0.2562462,0.2151804,0.005673,0.3393624,0.2689854,0.209,0.1530786,0.2018946,0.3007272,0.2397354,0.144561,0.0367236,0.222609,0.2738028,0.0147318,0.3908982,0.1336158,0.2073654,0.3187746,0.1405536,0.024774,0.2180538,0.09137521,0.142548824,0.3448854,0.4294788,0.3703518,0.4150392,0.209,0.003
10,0.2485266,0.2203098,0.0042636,0.3410808,0.2614926,0.2388,0.1436448,0.1937046,0.2983884,0.2268216,0.136815,0.038442,0.2224344,0.2717508,0.0148512,0.3642522,0.1465818,0.208356,0.3121986,0.1254258,0.0218268,0.1979544,0.09001169,0.158205128,0.3492036,0.4256532,0.3634518,0.3996072,0.187,0.004
11,0.2433972,0.222375,0.0068526,0.3336294,0.252414,0.24,0.1367202,0.1748388,0.2982414,0.2090256,0.1190634,0.0385596,0.2182524,0.266331,0.0171768,0.3299166,0.158781,0.2021934,0.307641,0.0958536,0.0191244,0.1794726,0.090966488,0.174248955,0.3485358,0.4342416,0.3626028,0.389388,0.219,0.005
12,0.2420052,0.227388,0.0117408,0.3193128,0.2559696,0.2366,0.13431,0.169833,0.2871,0.1976958,0.0975858,0.0419658,0.2084418,0.2621526,0.0240942,0.308319,0.1693206,0.195144,0.3074856,0.074466,0.0245634,0.1609248,0.09068031,0.190596999,0.349125,0.4305072,0.3577944,0.3721296,0.251,0.005
13,0.2319396,0.2352882,0.015135,0.3011862,0.2593338,0.2273,0.1364238,0.1736466,0.2781228,0.194097,0.0785628,0.042171,0.1938102,0.2564334,0.0332622,0.2978076,0.1831338,0.1880568,0.3083898,0.0649542,0.0284832,0.1455456,0.091541499,0.207174519,0.3544464,0.4269912,0.3535872,0.3549606,0.274,0.004
14,0.2165976,0.2471538,0.0163566,0.2759928,0.2668974,0.2476,0.1443072,0.1773222,0.2614866,0.1918722,0.064695,0.0396816,0.1794204,0.251274,0.041361,0.2974218,0.2031042,0.1782618,0.3073008,0.0610278,0.0291168,0.1298826,0.099933652,0.223913649,0.3633042,0.4083288,0.3471816,0.3334734,0.297,0.005
15,0.2096064,0.2475174,0.0182298,0.2398164,0.2761968,0.2856,0.157305,0.1801668,0.2485614,0.1833072,0.055164,0.0364308,0.1754478,0.239643,0.0462162,0.2913804,0.2208684,0.168042,0.303405,0.0659454,0.0323652,0.120057,0.095627845,0.176728311,0.3636078,0.3952392,0.3449118,0.3180954,0.371,0.012
16,0.2204982,0.2375022,0.0237492,0.2084484,0.2923518,0.299,0.171411,0.1711782,0.2297952,0.1665936,0.052164,0.0360672,0.1906332,0.2231004,0.0477264,0.2838762,0.2276094,0.160029,0.3032694,0.0768198,0.043095,0.1165524,0.093093819,0.131550068,0.358518,0.3724086,0.339825,0.3006906,0.483,0.03
17,0.2369454,0.2250984,0.0294546,0.173625,0.2989434,0.2934,0.1811076,0.1443822,0.2142612,0.1532166,0.0513498,0.0395208,0.2121384,0.2068548,0.0486528,0.2541726,0.2295702,0.1519944,0.2992056,0.0901488,0.0554226,0.117714,0.091769797,0.090328256,0.3504414,0.3535626,0.3276702,0.2798976,0.592,0.066
18,0.2376666,0.2226852,0.036144,0.1407864,0.2948172,0.2975,0.180651,0.1288164,0.1944,0.1482618,0.048828,0.0428814,0.2204124,0.186942,0.0493056,0.2188098,0.2327652,0.1367688,0.2932746,0.096696,0.0704982,0.1181238,0.091167834,0.055835257,0.3417696,0.3242292,0.3157734,0.2607768,0.639,0.1
