Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.471745,0.323166667,0.588213,0.058092,0.566897
2,0.47084,0.321,0.557316,0.057806,0.560471
3,0.467799,0.316166667,0.526203,0.056509,0.557324
4,0.452668,0.321666667,0.499932,0.056541,0.554472
5,0.444057,0.3285,0.469808,0.051368,0.553527
6,0.441711,0.312,0.448581,0.041129,0.547751
7,0.439986,0.308333333,0.427641,0.031298,0.541673
8,0.436111,0.318666667,0.416536,0.025789,0.535527
9,0.427077,0.348333333,0.399559,0.024553,0.531291
10,0.414211,0.398,0.378036,0.024752,0.520331
11,0.405662,0.4,0.348376,0.028628,0.512735
12,0.403342,0.394333333,0.329493,0.040157,0.512476
13,0.386566,0.378833333,0.323495,0.055437,0.513983
14,0.360996,0.412666667,0.319787,0.068935,0.512168
15,0.349344,0.476,0.305512,0.077027,0.505675
16,0.367497,0.498333333,0.277656,0.079544,0.505449
17,0.394909,0.489,0.255361,0.081088,0.498676
18,0.396111,0.495833333,0.247103,0.082176,0.488791
19,0.378968,0.509333333,0.244068,0.08163,0.469274
20,0.352539,0.535166667,0.247582,0.083144,0.452304
21,0.324942,0.567333333,0.250252,0.089186,0.426788
22,0.294236,0.595333333,0.248031,0.099771,0.398083
23,0.264194,0.623833333,0.250558,0.106062,0.365692
24,0.23628,0.649,0.249565,0.115261,0.336649
25,0.204382,0.665,0.241302,0.128637,0.311663
26,0.175807,0.686333333,0.232926,0.14046,0.290767
27,0.150788,0.7235,0.222467,0.148295,0.276997
28,0.131296,0.781666667,0.206415,0.151843,0.269824
29,0.116716,0.796833333,0.188983,0.144564,0.26799
30,0.105578,0.873166667,0.176216,0.139814,0.269632
31,0.095756,0.877,0.163806,0.141427,0.274851
32,0.087062,0.883833333,0.151676,0.146991,0.289917
33,0.07836,0.885166667,0.143021,0.151934,0.309943
34,0.071026,0.906833333,0.138853,0.156985,0.324959
35,0.065529,0.899333333,0.129283,0.174219,0.327483
36,0.071855,0.896,0.121667,0.186696,0.335891
37,0.089282,0.899333333,0.128933,0.184275,0.348414
38,0.111774,0.901666667,0.13987,0.170037,0.361493
39,0.139044,0.898,0.146377,0.149729,0.381089
40,0.189839,0.899833333,0.148601,0.129518,0.407644
41,0.251392,0.901333333,0.160658,0.122092,0.433989
42,0.296121,0.911,0.184583,0.123584,0.452947
43,0.311036,0.918,0.203621,0.127245,0.473277
44,0.309976,0.916333333,0.214443,0.129218,0.48621
45,0.299794,0.911833333,0.220279,0.127429,0.490453
46,0.285933,0.907166667,0.223644,0.12208,0.493381
47,0.267331,0.913333333,0.228105,0.113202,0.502906
48,0.251663,0.921666667,0.232862,0.102824,0.509327
49,0.243052,0.9245,0.236211,0.090197,0.510723
50,0.230634,0.928666667,0.235521,0.07823,0.509256
51,0.21661,0.931333333,0.230565,0.067445,0.511365
52,0.211063,0.9125,0.223646,0.057201,0.513408
53,0.207233,0.876833333,0.209022,0.048392,0.511767
54,0.218155,0.819,0.196876,0.042918,0.51547
55,0.247791,0.769666667,0.18822,0.040913,0.534035
56,0.290496,0.765666667,0.183002,0.042455,0.562504
57,0.338853,0.7795,0.181531,0.049226,0.58958
58,0.366931,0.794166667,0.180163,0.054233,0.609557
59,0.390456,0.811166667,0.171224,0.055285,0.636333
60,0.433372,0.809833333,0.159643,0.054537,0.666795
61,0.485203,0.805166667,0.150027,0.055797,0.697241
62,0.514644,0.7955,0.142813,0.060045,0.72994
63,0.5316,0.781333333,0.136524,0.065522,0.759293
64,0.565043,0.7595,0.131414,0.070604,0.788604
65,0.610376,0.728166667,0.135678,0.073201,0.806673
66,0.656893,0.7215,0.144223,0.075865,0.820004
67,0.676845,0.670333333,0.150695,0.077148,0.828968
68,0.700454,0.6285,0.154603,0.078639,0.83564
69,0.711258,0.613,0.157231,0.08223,0.837715
70,0.72995,0.598833333,0.161514,0.086516,0.836576
71,0.731296,0.601,0.166731,0.095611,0.828502
72,0.742446,0.593166667,0.169655,0.107464,0.815301
73,0.748337,0.632,0.168289,0.118896,0.800063
74,0.763221,0.697333333,0.163207,0.130911,0.784995
75,0.767512,0.7455,0.156428,0.141298,0.768914
76,0.780565,0.751833333,0.150882,0.148588,0.750244
77,0.78655,0.7375,0.151126,0.145,0.743117
78,0.796907,0.699333333,0.15324,0.136914,0.73552
79,0.788597,0.6525,0.152191,0.13153,0.714858
80,0.781267,0.621666667,0.150884,0.127748,0.690721
81,0.766152,0.6145,0.152839,0.125216,0.663685
82,0.75964,0.612166667,0.156057,0.122965,0.638429
83,0.750182,0.686,0.139793,0.125764,0.601645
84,0.760121,0.723,0.120812,0.137075,0.567893
85,0.773027,0.720833333,0.111536,0.152839,0.533376
86,0.787515,0.710166667,0.103692,0.16997,0.499088
87,0.786487,0.694666667,0.091659,0.184058,0.464837
88,0.774425,0.671833333,0.082596,0.190017,0.437528
89,0.752014,0.616666667,0.092086,0.195038,0.416573
90,0.718076,0.563333333,0.1081,0.205864,0.398787
91,0.678627,0.509333333,0.117994,0.2154,0.385376
92,0.671704,0.4325,0.123889,0.224738,0.380584
93,0.707011,0.366333333,0.126623,0.238835,0.375676
94,0.770496,0.353833333,0.126435,0.251722,0.372139
95,0.823319,0.332666667,0.11942,0.247456,0.357575
96,0.858335,0.357,0.111975,0.239358,0.348516
97,0.878075,0.365166667,0.107219,0.233192,0.344379
98,0.887246,0.4205,0.102808,0.227006,0.343798
99,0.88584,0.431833333,0.098167,0.221234,0.34818
100,0.882676,0.434166667,0.093733,0.223042,0.363768
101,0.867706,0.454833333,0.093568,0.224726,0.373301
102,0.854324,0.4795,0.09535,0.223602,0.380165
103,0.831729,0.525333333,0.099532,0.222836,0.385966
104,0.8159,0.547666667,0.10617,0.228669,0.393989
105,0.790066,0.586,0.113593,0.239751,0.391669
106,0.773916,0.628333333,0.119316,0.252781,0.387063
107,0.760015,0.572,0.116127,0.267738,0.382254
108,0.766124,0.5125,0.116046,0.291817,0.382622
109,0.774334,0.436166667,0.117961,0.317268,0.382659
110,0.790375,0.394666667,0.116813,0.328522,0.371317
111,0.810589,0.324333333,0.111849,0.329129,0.355886
112,0.827223,0.259166667,0.104166,0.328033,0.337074
113,0.829828,0.180333333,0.102843,0.334541,0.316179
114,0.822116,0.136,0.106286,0.344757,0.282277
115,0.795737,0.1075,0.107259,0.349792,0.238742
116,0.752792,0.076666667,0.105981,0.352118,0.197761
117,0.692373,0.051166667,0.105429,0.354349,0.164093
118,0.629286,0.035166667,0.106047,0.354811,0.142969
119,0.579966,0.021,0.108332,0.372918,0.125919
120,0.544803,0.011333333,0.112941,0.400792,0.116146
121,0.529923,0.008833333,0.118103,0.420076,0.116015
122,0.535912,0.0135,0.121228,0.425258,0.122138
123,0.544592,0.025166667,0.121014,0.417837,0.130487
124,0.554409,0.043666667,0.119326,0.406184,0.136848
125,0.552705,0.0695,0.115665,0.399656,0.139795
126,0.532921,0.1035,0.109097,0.39131,0.138381
127,0.488938,0.140333333,0.101129,0.381257,0.133904
128,0.428743,0.168666667,0.094316,0.369016,0.131349
129,0.352528,0.169333333,0.088958,0.353103,0.127851
130,0.272526,0.181333333,0.083241,0.333658,0.117611
131,0.232853,0.212166667,0.076483,0.312186,0.107133
132,0.239801,0.252,0.072988,0.290847,0.109263
133,0.25085,0.286166667,0.073562,0.274141,0.122544
134,0.269935,0.276333333,0.073561,0.259161,0.137252
135,0.323145,0.3405,0.070776,0.243994,0.148708
136,0.425486,0.424333333,0.066794,0.227326,0.159393
137,0.54773,0.413666667,0.067357,0.225791,0.175663
138,0.647239,0.434166667,0.072419,0.229632,0.19173
