Old,New
HLR_Biomass,HB_Biomass
HLR_Convert_DH,HB_Convert_DH
HLR_Direct_Electric,HB_Direct_Electric
HLR_Gas_Boiler,HB_Gas_Boiler
HLR_Geothermal,HB_Geothermal
HLR_H2_Boiler,HB_H2_Boiler
HLR_Hardcoal,HB_Hardcoal
HLR_Heatpump_Aerial,HB_Heatpump_Aerial
HLR_Heatpump_Ground,HB_Heatpump_Ground
HLR_Lignite,HB_Lignite
HLR_Oil_Boiler,HB_Oil_Boiler
HLR_Solar_Thermal,HB_Solar_Thermal
RES_CSP,P_CSP
RES_Geothermal,P_Geothermal
RES_Hydro_Large,P_Hydro_Large
RES_Hydro_Small,P_Hydro_Small
RES_Ocean,P_Ocean
RES_PV_Rooftop_Commercial,P_PV_Rooftop_Commercial
RES_PV_Rooftop_Residential,P_PV_Rooftop_Residential
RES_PV_Utility_Avg,P_PV_Utility_Avg
RES_PV_Utility_Inf,P_PV_Utility_Inf
RES_PV_Utility_Opt,P_PV_Utility_Opt
RES_PV_Utility_Tracking,P_PV_Utility_Tracking
RES_Wind_Offshore_Deep,P_Wind_Offshore_Deep
RES_Wind_Offshore_Shallow,P_Wind_Offshore_Shallow
RES_Wind_Offshore_Transitional,P_Wind_Offshore_Transitional
RES_Wind_Onshore_Avg,P_Wind_Onshore_Avg
RES_Wind_Onshore_Inf,P_Wind_Onshore_Inf
RES_Wind_Onshore_Opt,P_Wind_Onshore_Opt
RES_Biogas,R_Biogas
RES_Grass,R_Grass
RES_Paper_Cardboard,R_Paper_Cardboard
RES_Residues,R_Residues
RES_Roundwood,R_Roundwood
RES_Wood,R_Wood
D_Heat_HLR,D_Heat_HB
S_Heat_HLR,S_Heat_HB
Heat_Low_Residential,Heat_Buildings
P_Hydro_Large,P_Hydro_Reservoir
P_Hydro_Small,P_Hydro_RoR
