Region,Region2,Fuel,Year,Value,Unnamed: 5,Unit,Source,Updated at,Updated by
AL,AL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,AT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,BA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,BE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,BG,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,CH,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,CZ,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,DE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,DK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,ES,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,FI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,FR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,GR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,HR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,HU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,IE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,IT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,LU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,ME,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,MK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,NL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,NO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,PL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,PT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,RO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,RS,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,SE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,SI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,SK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,UK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,EE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,LT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,LV,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,UA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,RU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,BY,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,NONEU_Balkan,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,TR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,AL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,AT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,BA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,BE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,BG,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,CH,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,CZ,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,DE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,DK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,ES,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,FI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,FR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,GR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,HR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,HU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,IE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
