Region,Technology,Year,Value,,Source,Updated at,Updated by
AL,D_PHS,2018,1.66,,,,
AL,P_Biomass,2018,0,,,,
AL,P_Coal_Hardcoal,2018,0,,,,
AL,P_Coal_Lignite,2018,0,,,,
AL,P_Nuclear,2018,0,,,,
AL,P_Oil,2018,0,,,,
AL,RES_PV_Utility_Avg,2018,0,,,,
AL,RES_Wind_Offshore_Transitional,2018,0,,,,
AL,RES_Wind_Onshore_Avg,2018,0,,,,
AT,CHP_Biomass_Solid,2018,1.169411473,,,,
AT,CHP_Coal_Hardcoal,2018,0.217848967,,,,
AT,CHP_Gas_CCGT_Natural,2018,2.100781829,,,,
AT,CHP_Oil,2018,0.211351956,,,,
AT,D_PHS,2018,3.175,,,,
AT,HHI_BF_BOF,2018,7.6782,,,,
AT,HHI_DRI_EAF,2018,0.8143,,,,
AT,HHI_Scrap_EAF,2018,0.1832,,,,
AT,HLI_Biomass,2018,0.9035,,,,
AT,HLI_Direct_Electric,2018,0.0439,,,,
AT,HLI_Gas_Boiler,2018,6.0147,,,,
AT,HLI_Hardcoal,2018,0.0553,,,,
AT,HLI_Oil_Boiler,2018,0.2818,,,,
AT,HLR_Biomass,2018,2.0737,,,,
AT,HLR_Direct_Electric,2018,0.5925,,,,
AT,HLR_Gas_Boiler,2018,21.8238,,,,
AT,HLR_Gas_CHP,2018,2,,,,
AT,HLR_Hardcoal,2018,0.0194,,,,
AT,HLR_Oil_Boiler,2018,1.4987,,,,
AT,HMI_Biomass,2018,0.9128,,,,
AT,HMI_Gas,2018,17.0363,,,,
AT,HMI_HardCoal,2018,0.1309,,,,
AT,HMI_Oil,2018,0.1732,,,,
AT,HMI_Steam_Electric,2018,0.0111,,,,
AT,P_Biomass,2018,1.758,,,,
AT,P_Coal_Hardcoal,2018,0.8144648,,,,
AT,P_Coal_Lignite,2018,0,,,,
AT,P_Gas,2018,5.119113,,,,
AT,P_Gas_CCGT,2018,3.28991,,,,
AT,P_Gas_Engines,2018,0.256,,,,
AT,P_Gas_OCGT,2018,0.491532,,,,
