Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
AL,D_PHS,2018,1.66,,PJ,,,
AL,P_Biomass,2018,0,,PJ,,,
AL,P_Coal_Hardcoal,2018,0,,PJ,,,
AL,P_Coal_Lignite,2018,0,,PJ,,,
AL,P_Nuclear,2018,0,,PJ,,,
AL,P_Oil,2018,0,,PJ,,,
AL,RES_PV_Utility_Avg,2018,0,,PJ,,,
AL,RES_Wind_Offshore_Transitional,2018,0,,PJ,,,
AL,RES_Wind_Onshore_Avg,2018,0,,PJ,,,
AT,CHP_Biomass_Solid,2018,1.169411473,,PJ,,,
AT,CHP_Coal_Hardcoal,2018,0.217848967,,PJ,,,
AT,CHP_Gas_CCGT_Natural,2018,2.100781829,,PJ,,,
AT,CHP_Oil,2018,0.211351956,,PJ,,,
AT,D_PHS,2018,3.175,,PJ,,,
AT,HHI_BF_BOF,2018,7.6782,,PJ,,,
AT,HHI_DRI_EAF,2018,0.8143,,PJ,,,
AT,HHI_Scrap_EAF,2018,0.1832,,PJ,,,
AT,HLI_Biomass,2018,0.9035,,PJ,,,
AT,HLI_Direct_Electric,2018,0.0439,,PJ,,,
AT,HLI_Gas_Boiler,2018,6.0147,,PJ,,,
AT,HLI_Hardcoal,2018,0.0553,,PJ,,,
AT,HLI_Oil_Boiler,2018,0.2818,,PJ,,,
AT,HLR_Biomass,2018,2.0737,,PJ,,,
AT,HLR_Direct_Electric,2018,0.5925,,PJ,,,
AT,HLR_Gas_Boiler,2018,21.8238,,PJ,,,
AT,HLR_Gas_CHP,2018,2,,PJ,,,
AT,HLR_Hardcoal,2018,0.0194,,PJ,,,
AT,HLR_Oil_Boiler,2018,1.4987,,PJ,,,
AT,HMI_Biomass,2018,0.9128,,PJ,,,
AT,HMI_Gas,2018,17.0363,,PJ,,,
AT,HMI_HardCoal,2018,0.1309,,PJ,,,
AT,HMI_Oil,2018,0.1732,,PJ,,,
AT,HMI_Steam_Electric,2018,0.0111,,PJ,,,
AT,P_Biomass,2018,1.758,,PJ,,,
AT,P_Coal_Hardcoal,2018,0.8144648,,PJ,,,
AT,P_Coal_Lignite,2018,0,,PJ,,,
AT,P_Gas,2018,5.119113,,PJ,,,
AT,P_Gas_CCGT,2018,3.28991,,PJ,,,
AT,P_Gas_Engines,2018,0.256,,PJ,,,
AT,P_Gas_OCGT,2018,0.491532,,PJ,,,
AT,P_Nuclear,2018,0,,PJ,,,
AT,P_Oil,2018,1.187576,,PJ,,,
AT,RES_Hydro_Large,2018,7.846,,PJ,,,
AT,RES_Hydro_Large_Base,2018,4.671,,PJ,,,
AT,RES_Hydro_Small,2018,6.014,,PJ,,,
AT,RES_PV_Utility_Avg,2018,1.438,,PJ,,,
AT,RES_Wind_Offshore_Transitional,2018,0,,PJ,,,
AT,RES_Wind_Onshore_Avg,2018,3.045,,PJ,,,
BA,D_PHS,2018,0.933,,PJ,,,
BA,P_Biomass,2018,0,,PJ,,,
BA,P_Coal_Hardcoal,2018,0,,PJ,,,
BA,P_Coal_Lignite,2018,1.83,,PJ,,,
BA,P_Nuclear,2018,0,,PJ,,,
BA,P_Oil,2018,0,,PJ,,,
BA,RES_PV_Utility_Avg,2018,0,,PJ,,,
BA,RES_Wind_Offshore_Transitional,2018,0,,PJ,,,
BA,RES_Wind_Onshore_Avg,2018,0.19,,PJ,,,
BE,CHP_Biomass_Solid,2018,0.431191203,,PJ,,,
BE,CHP_Coal_Hardcoal,2018,0.032280067,,PJ,,,
