Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
AL,D_PHS,2018,1.66,,GW,,,
AL,P_Biomass,2018,0,,GW,,,
AL,P_Coal_Hardcoal,2018,0,,GW,,,
AL,P_Coal_Lignite,2018,0,,GW,,,
AL,P_Nuclear,2018,0,,GW,,,
AL,P_Oil,2018,0,,GW,,,
AL,RES_PV_Utility_Avg,2018,0,,GW,,,
AL,RES_Wind_Offshore_Transitional,2018,0,,GW,,,
AL,RES_Wind_Onshore_Avg,2018,0,,GW,,,
AT,CHP_Biomass_Solid,2018,1.169411473,,GW,,,
AT,CHP_Coal_Hardcoal,2018,0.217848967,,GW,,,
AT,CHP_Gas_CCGT_Natural,2018,2.100781829,,GW,,,
AT,CHP_Oil,2018,0.211351956,,GW,,,
AT,D_PHS,2018,3.175,,GW,,,
AT,HHI_BF_BOF,2018,7.6782,,GW,,,
AT,HHI_DRI_EAF,2018,0.8143,,GW,,,
AT,HHI_Scrap_EAF,2018,0.1832,,GW,,,
AT,HLI_Biomass,2018,0.9035,,GW,,,
AT,HLI_Direct_Electric,2018,0.0439,,GW,,,
AT,HLI_Gas_Boiler,2018,6.0147,,GW,,,
AT,HLI_Hardcoal,2018,0.0553,,GW,,,
AT,HLI_Oil_Boiler,2018,0.2818,,GW,,,
AT,HLR_Biomass,2018,2.0737,,GW,,,
AT,HLR_Direct_Electric,2018,0.5925,,GW,,,
AT,HLR_Gas_Boiler,2018,21.8238,,GW,,,
AT,HLR_Gas_CHP,2018,2,,GW,,,
AT,HLR_Hardcoal,2018,0.0194,,GW,,,
AT,HLR_Oil_Boiler,2018,1.4987,,GW,,,
AT,HMI_Biomass,2018,0.9128,,GW,,,
AT,HMI_Gas,2018,17.0363,,GW,,,
AT,HMI_HardCoal,2018,0.1309,,GW,,,
AT,HMI_Oil,2018,0.1732,,GW,,,
AT,HMI_Steam_Electric,2018,0.0111,,GW,,,
AT,P_Biomass,2018,1.758,,GW,,,
AT,P_Coal_Hardcoal,2018,0.8144648,,GW,,,
AT,P_Coal_Lignite,2018,0,,GW,,,
AT,P_Gas,2018,5.119113,,GW,,,
AT,P_Gas_CCGT,2018,3.28991,,GW,,,
AT,P_Gas_Engines,2018,0.256,,GW,,,
AT,P_Gas_OCGT,2018,0.491532,,GW,,,
AT,P_Nuclear,2018,0,,GW,,,
AT,P_Oil,2018,1.187576,,GW,,,
AT,RES_Hydro_Large,2018,7.846,,GW,,,
AT,RES_Hydro_Large_Base,2018,4.671,,GW,,,
AT,RES_Hydro_Small,2018,6.014,,GW,,,
AT,RES_PV_Utility_Avg,2018,1.438,,GW,,,
AT,RES_Wind_Offshore_Transitional,2018,0,,GW,,,
AT,RES_Wind_Onshore_Avg,2018,3.045,,GW,,,
BA,D_PHS,2018,0.933,,GW,,,
BA,P_Biomass,2018,0,,GW,,,
BA,P_Coal_Hardcoal,2018,0,,GW,,,
BA,P_Coal_Lignite,2018,1.83,,GW,,,
BA,P_Nuclear,2018,0,,GW,,,
BA,P_Oil,2018,0,,GW,,,
BA,RES_PV_Utility_Avg,2018,0,,GW,,,
BA,RES_Wind_Offshore_Transitional,2018,0,,GW,,,
BA,RES_Wind_Onshore_Avg,2018,0.19,,GW,,,
BE,CHP_Biomass_Solid,2018,0.431191203,,GW,,,
BE,CHP_Coal_Hardcoal,2018,0.032280067,,GW,,,
BE,CHP_Gas_CCGT_Natural,2018,2.535029695,,GW,,,
BE,CHP_Oil,2018,0.022380887,,GW,,,
BE,D_PHS,2018,1.308000333,,GW,,,
BE,HHI_BF_BOF,2018,6.5448,,GW,,,
BE,HHI_DRI_EAF,2018,1.3725,,GW,,,
BE,HHI_Scrap_EAF,2018,0.5565,,GW,,,
BE,HLI_Biomass,2018,0.525,,GW,,,
BE,HLI_Direct_Electric,2018,0.0331,,GW,,,
BE,HLI_Gas_Boiler,2018,6.3286,,GW,,,
BE,HLI_Hardcoal,2018,0.0523,,GW,,,
BE,HLI_Oil_Boiler,2018,0.1387,,GW,,,
BE,HLR_Biomass,2018,0.7245,,GW,,,
BE,HLR_Direct_Electric,2018,0.793,,GW,,,
BE,HLR_Gas_Boiler,2018,31.2782,,GW,,,
BE,HLR_Hardcoal,2018,0.128,,GW,,,
BE,HLR_Oil_Boiler,2018,4.8631,,GW,,,
BE,HMI_Biomass,2018,0.1314,,GW,,,
BE,HMI_Gas,2018,37.6829,,GW,,,
BE,HMI_HardCoal,2018,0.0752,,GW,,,
BE,HMI_Oil,2018,6.263,,GW,,,
BE,HMI_Steam_Electric,2018,0.0676,,GW,,,
BE,P_Biomass,2018,1.178,,GW,,,
BE,P_Coal_Hardcoal,2018,2.09,,GW,,,
BE,P_Coal_Lignite,2018,0,,GW,,,
BE,P_Gas,2018,5.439,,GW,,,
BE,P_Gas_CCGT,2018,2.4423,,GW,,,
BE,P_Gas_OCGT,2018,2.1403,,GW,,,
BE,P_Nuclear,2018,5.06,,GW,,,
BE,P_Oil,2018,1.82,,GW,,,
BE,RES_Hydro_Large,2018,1.308000333,,GW,,,
BE,RES_Hydro_Small,2018,0.119166667,,GW,,,
BE,RES_PV_Utility_Avg,2018,4.075,,GW,,,
BE,RES_Wind_Offshore_Transitional,2018,3.4,,GW,,,
BE,RES_Wind_Onshore_Avg,2018,2.2,,GW,,,
BE,X_Gasifier,2018,9,,GW,,,
BG,CHP_Biomass_Solid,2018,0.21217125,,GW,,,
BG,CHP_Coal_Hardcoal,2018,0.318203787,,GW,,,
BG,CHP_Gas_CCGT_Natural,2018,0.839047612,,GW,,,
BG,CHP_Oil,2018,0.012050761,,GW,,,
BG,D_PHS,2018,0.864,,GW,,,
BG,HHI_BF_BOF,2018,0.5096,,GW,,,
BG,HHI_DRI_EAF,2018,0.1625,,GW,,,
BG,HHI_Scrap_EAF,2018,0.1228,,GW,,,
BG,HLI_Biomass,2018,0.191,,GW,,,
BG,HLI_Direct_Electric,2018,0.0141,,GW,,,
BG,HLI_Gas_Boiler,2018,1.3523,,GW,,,
BG,HLI_Hardcoal,2018,0.0043,,GW,,,
BG,HLI_Lignite,2018,0.001,,GW,,,
BG,HLI_Oil_Boiler,2018,0.043,,GW,,,
BG,HLR_Biomass,2018,0.9866,,GW,,,
BG,HLR_Direct_Electric,2018,0.4434,,GW,,,
BG,HLR_Gas_Boiler,2018,7.1873,,GW,,,
BG,HLR_Hardcoal,2018,0.1589,,GW,,,
BG,HLR_Oil_Boiler,2018,0.0452,,GW,,,
BG,HMI_Biomass,2018,0.1205,,GW,,,
BG,HMI_Gas,2018,9.4671,,GW,,,
BG,HMI_HardCoal,2018,0.7286,,GW,,,
BG,HMI_Oil,2018,0.0389,,GW,,,
BG,HMI_Steam_Electric,2018,0.0109,,GW,,,
BG,P_Biomass,2018,0.28165,,GW,,,
BG,P_Coal_Hardcoal,2018,0.71,,GW,,,
BG,P_Coal_Lignite,2018,4.2,,GW,,,
BG,P_Gas,2018,0.99,,GW,,,
BG,P_Gas_CCGT,2018,0.102,,GW,,,
BG,P_Gas_OCGT,2018,0,,GW,,,
BG,P_Nuclear,2018,2.2,,GW,,,
BG,P_Oil,2018,0.6,,GW,,,
BG,RES_Hydro_Large,2018,0.864,,GW,,,
BG,RES_Hydro_Small,2018,2.333,,GW,,,
BG,RES_PV_Utility_Avg,2018,1.188,,GW,,,
BG,RES_Wind_Offshore_Transitional,2018,0,,GW,,,
BG,RES_Wind_Onshore_Avg,2018,0.8184,,GW,,,
CH,CHP_Gas_CCGT_Natural,2018,0.506,,GW,,,
CH,D_PHS,2018,0,,GW,,,
CH,HHI_BF_BOF,2018,0.9664,,GW,,,
CH,HHI_DRI_EAF,2018,0.2017,,GW,,,
CH,HHI_Scrap_EAF,2018,0.2598,,GW,,,
CH,HLI_Biomass,2018,0.0714,,GW,,,
CH,HLI_Direct_Electric,2018,0.0081,,GW,,,
CH,HLI_Gas_Boiler,2018,1.5198,,GW,,,
CH,HLI_Hardcoal,2018,0.0007,,GW,,,
CH,HLI_Oil_Boiler,2018,0.0972,,GW,,,
CH,HLR_Biomass,2018,0.9688,,GW,,,
CH,HLR_Gas_Boiler,2018,23.4589,,GW,,,
CH,HLR_Oil_Boiler,2018,3.6431,,GW,,,
CH,HMI_Biomass,2018,0.2211,,GW,,,
CH,HMI_Gas,2018,3.2398,,GW,,,
CH,HMI_HardCoal,2018,0.0006,,GW,,,
CH,HMI_Oil,2018,0.0845,,GW,,,
CH,HMI_Steam_Electric,2018,0.0268,,GW,,,
CH,P_Biomass,2018,0.39,,GW,,,
CH,P_Coal_Hardcoal,2018,0,,GW,,,
CH,P_Coal_Lignite,2018,0,,GW,,,
CH,P_Gas,2018,0.35,,GW,,,
CH,P_Gas_CCGT,2018,0.132,,GW,,,
CH,P_Nuclear,2018,3.278,,GW,,,
CH,P_Oil,2018,0.66,,GW,,,
CH,RES_Hydro_Large,2018,10.39,,GW,,,
CH,RES_Hydro_Large_Base,2018,10.39,,GW,,,
CH,RES_Hydro_Small,2018,3.854,,GW,,,
CH,RES_PV_Utility_Avg,2018,1.086,,GW,,,
CH,RES_Wind_Offshore_Transitional,2018,0,,GW,,,
