Technology,Value,,Unit,Source,Updated at,Updated by
A_Rooftop_Commercial,1,,PJ/GW-YR,no source needed,26.09.2023,Nikita (nim@wip.tu-berlin.de)
A_Rooftop_Residential,1,,PJ/GW-YR,no source needed,27.09.2023,Nikita (nim@wip.tu-berlin.de)
D_Battery_Li-Ion,31.536,,PJ/GW-YR,no source needed,28.09.2023,Nikita (nim@wip.tu-berlin.de)
D_Battery_Redox,31.536,,PJ/GW-YR,no source needed,29.09.2023,Nikita (nim@wip.tu-berlin.de)
D_Gas_H2,31.536,,PJ/GW-YR,no source needed,30.09.2023,Nikita (nim@wip.tu-berlin.de)
D_Gas_Methane,31.536,,PJ/GW-YR,no source needed,01.10.2023,Nikita (nim@wip.tu-berlin.de)
D_Heat_HLR,31.536,,PJ/GW-YR,no source needed,02.10.2023,Nikita (nim@wip.tu-berlin.de)
D_Heat_HLI,31.536,,PJ/GW-YR,no source needed,03.10.2023,Nikita (nim@wip.tu-berlin.de)
D_PHS,31.536,,PJ/GW-YR,no source needed,04.10.2023,Nikita (nim@wip.tu-berlin.de)
D_PHS_Residual,31.536,,PJ/GW-YR,no source needed,05.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Rail_Conv,1,,PJ/GW-YR,no source needed,06.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Rail_Electric,1,,PJ/GW-YR,no source needed,07.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Road_BEV,1,,PJ/GW-YR,no source needed,08.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Road_H2,1,,PJ/GW-YR,no source needed,09.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Road_ICE,1,,PJ/GW-YR,no source needed,10.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Road_PHEV,1,,PJ/GW-YR,no source needed,11.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Road_OH,1,,PJ/GW-YR,no source needed,12.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Ship_Bio,1,,PJ/GW-YR,no source needed,13.10.2023,Nikita (nim@wip.tu-berlin.de)
FRT_Ship_Conv,1,,PJ/GW-YR,no source needed,14.10.2023,Nikita (nim@wip.tu-berlin.de)
P_Biomass,31.536,,PJ/GW-YR,no source needed,15.10.2023,Nikita (nim@wip.tu-berlin.de)
P_Coal_Hardcoal,31.536,,PJ/GW-YR,no source needed,16.10.2023,Nikita (nim@wip.tu-berlin.de)
P_Coal_Lignite,31.536,,PJ/GW-YR,no source needed,17.10.2023,Nikita (nim@wip.tu-berlin.de)
P_Gas,31.536,,PJ/GW-YR,no source needed,18.10.2023,Nikita (nim@wip.tu-berlin.de)
P_Nuclear,31.536,,PJ/GW-YR,no source needed,19.10.2023,Nikita (nim@wip.tu-berlin.de)
P_Oil,31.536,,PJ/GW-YR,no source needed,20.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Air_Bio,1,,PJ/GW-YR,no source needed,21.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Air_Conv,1,,PJ/GW-YR,no source needed,22.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Air_H2,1,,PJ/GW-YR,no source needed,23.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Rail_Conv,1,,PJ/GW-YR,no source needed,24.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Rail_Electric,1,,PJ/GW-YR,no source needed,25.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Road_BEV,1,,PJ/GW-YR,no source needed,26.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Road_H2,1,,PJ/GW-YR,no source needed,27.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Road_ICE,1,,PJ/GW-YR,no source needed,28.10.2023,Nikita (nim@wip.tu-berlin.de)
PSNG_Road_PHEV,1,,PJ/GW-YR,no source needed,29.10.2023,Nikita (nim@wip.tu-berlin.de)
R_Coal_Hardcoal,31.536,,PJ/GW-YR,no source needed,30.10.2023,Nikita (nim@wip.tu-berlin.de)
R_Coal_Lignite,31.536,,PJ/GW-YR,no source needed,31.10.2023,Nikita (nim@wip.tu-berlin.de)
R_Gas,31.536,,PJ/GW-YR,no source needed,01.11.2023,Nikita (nim@wip.tu-berlin.de)
R_Nuclear,31.536,,PJ/GW-YR,no source needed,02.11.2023,Nikita (nim@wip.tu-berlin.de)
R_Oil,31.536,,PJ/GW-YR,no source needed,03.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Biomass,0,,PJ/GW-YR,no source needed,04.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_CSP,31.536,,PJ/GW-YR,no source needed,05.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Geothermal,31.536,,PJ/GW-YR,no source needed,06.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Hydro_Large,31.536,,PJ/GW-YR,no source needed,07.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Hydro_Small,31.536,,PJ/GW-YR,no source needed,08.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Ocean,31.536,,PJ/GW-YR,no source needed,09.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_PV_Rooftop_Commercial,31.536,,PJ/GW-YR,no source needed,10.11.2023,Nikita (nim@wip.tu-berlin.de)
