Region,Emission,Year,Value,,Unit,Source,Updated at,Updated by
AT,CO2,2018,15.06,,M€/Megatonnes,,,
BE,CO2,2018,15.06,,M€/Megatonnes,,,
BG,CO2,2018,15.06,,M€/Megatonnes,,,
CH,CO2,2018,15.06,,M€/Megatonnes,,,
CZ,CO2,2018,15.06,,M€/Megatonnes,,,
DE,CO2,2018,15.06,,M€/Megatonnes,,,
DK,CO2,2018,15.06,,M€/Megatonnes,,,
EE,CO2,2018,15.06,,M€/Megatonnes,,,
ES,CO2,2018,15.06,,M€/Megatonnes,,,
FI,CO2,2018,15.06,,M€/Megatonnes,,,
FR,CO2,2018,15.06,,M€/Megatonnes,,,
GR,CO2,2018,15.06,,M€/Megatonnes,,,
HR,CO2,2018,15.06,,M€/Megatonnes,,,
HU,CO2,2018,15.06,,M€/Megatonnes,,,
IE,CO2,2018,15.06,,M€/Megatonnes,,,
IT,CO2,2018,15.06,,M€/Megatonnes,,,
LT,CO2,2018,15.06,,M€/Megatonnes,,,
LU,CO2,2018,15.06,,M€/Megatonnes,,,
LV,CO2,2018,15.06,,M€/Megatonnes,,,
NL,CO2,2018,15.06,,M€/Megatonnes,,,
NO,CO2,2018,15.06,,M€/Megatonnes,,,
PL,CO2,2018,15.06,,M€/Megatonnes,,,
PT,CO2,2018,15.06,,M€/Megatonnes,,,
RO,CO2,2018,15.06,,M€/Megatonnes,,,
SE,CO2,2018,15.06,,M€/Megatonnes,,,
SI,CO2,2018,15.06,,M€/Megatonnes,,,
SK,CO2,2018,15.06,,M€/Megatonnes,,,
TR,CO2,2018,15.06,,M€/Megatonnes,,,
UK,CO2,2018,15.06,,M€/Megatonnes,,,
NONEU_Balkan,CO2,2018,15.06,,M€/Megatonnes,,,
AT,CO2,2020,30,,M€/Megatonnes,,,
BE,CO2,2020,30,,M€/Megatonnes,,,
BG,CO2,2020,30,,M€/Megatonnes,,,
CH,CO2,2020,30,,M€/Megatonnes,,,
CZ,CO2,2020,30,,M€/Megatonnes,,,
