Storage,Value,,Unit,Source,Updated at,Updated by
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Redox,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Redox,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Redox,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Redox,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Redox,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Redox,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Redox,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Redox,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_CAES,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_CAES,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_CAES,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_CAES,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_CAES,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_CAES,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_CAES,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_CAES,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLI,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLI,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLI,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLI,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLI,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLI,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLI,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLI,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLR,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLR,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLR,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLR,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLR,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLR,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLR,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Heat_HLR,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS_Residual,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS_Residual,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS_Residual,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS_Residual,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS_Residual,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS_Residual,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS_Residual,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_PHS_Residual,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
