Technology,Year,Value,,Unit,Source,Updated at,Updated by
P_Biomass,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2015,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2015,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas,2015,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,2015,55.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large,2015,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
