Technology,Year,Value,,Unit,Source,Updated at,Updated by
P_Biomass,2015,0.04,,Factor,,,
P_Coal_Hardcoal,2015,0.02,,Factor,,,
P_Coal_Lignite,2015,0.02,,Factor,,,
P_Gas,2015,0.2,,Factor,,,
P_Nuclear,2015,0.01,,Factor,,,
P_Oil,2015,0.04,,Factor,,,
RES_Hydro_Large,2015,0.25,,Factor,,,
P_Biomass_CCS,2015,0.04,,Factor,,,
HLR_Biomass_CHP,2015,0.1,,Factor,,,
HLR_Hardcoal_CHP,2015,0.1,,Factor,,,
HLR_Lignite_CHP,2015,0.1,,Factor,,,
HLR_Oil_Boiler,2015,0.1,,Factor,,,
HLI_Biomass_CHP,2015,0.1,,Factor,,,
HLI_Hardcoal_CHP,2015,0.1,,Factor,,,
HLI_Lignite_CHP,2015,0.1,,Factor,,,
HLI_Oil_Boiler,2015,0.1,,Factor,,,
HLI_Oil_CHP,2015,0.1,,Factor,,,
HHI_BF_BOF_CCS,2015,0.1,,Factor,,,
HHI_DRI_EAF_CCS,2015,0.1,,Factor,,,
HLI_Hardcoal_CHP_CCS,2015,0.1,,Factor,,,
HLI_Lignite_CHP_CCS,2015,0.1,,Factor,,,
HLR_Hardcoal_CHP_CCS,2015,0.1,,Factor,,,
HLR_Lignite_CHP_CCS,2015,0.1,,Factor,,,
P_Coal_Hardcoal_CCS,2015,0.02,,Factor,,,
P_Coal_Lignite_CCS,2015,0.02,,Factor,,,
P_Gas_CCS,2015,0.2,,Factor,,,
P_Biomass,2020,0.04,,Factor,,,
P_Coal_Hardcoal,2020,0.02,,Factor,,,
P_Coal_Lignite,2020,0.02,,Factor,,,
P_Gas,2020,0.2,,Factor,,,
P_Nuclear,2020,0.01,,Factor,,,
P_Oil,2020,0.04,,Factor,,,
RES_Hydro_Large,2020,0.25,,Factor,,,
P_Biomass_CCS,2020,0.04,,Factor,,,
HLR_Biomass_CHP,2020,0.1,,Factor,,,
HLR_Hardcoal_CHP,2020,0.1,,Factor,,,
HLR_Lignite_CHP,2020,0.1,,Factor,,,
HLR_Oil_Boiler,2020,0.1,,Factor,,,
HLI_Biomass_CHP,2020,0.1,,Factor,,,
HLI_Hardcoal_CHP,2020,0.1,,Factor,,,
HLI_Lignite_CHP,2020,0.1,,Factor,,,
HLI_Oil_Boiler,2020,0.1,,Factor,,,
HLI_Oil_CHP,2020,0.1,,Factor,,,
HHI_BF_BOF_CCS,2020,0.1,,Factor,,,
HHI_DRI_EAF_CCS,2020,0.1,,Factor,,,
HLI_Hardcoal_CHP_CCS,2020,0.1,,Factor,,,
HLI_Lignite_CHP_CCS,2020,0.1,,Factor,,,
HLR_Hardcoal_CHP_CCS,2020,0.1,,Factor,,,
HLR_Lignite_CHP_CCS,2020,0.1,,Factor,,,
P_Coal_Hardcoal_CCS,2020,0.02,,Factor,,,
P_Coal_Lignite_CCS,2020,0.02,,Factor,,,
P_Gas_CCS,2020,0.2,,Factor,,,
P_Biomass,2025,0.04,,Factor,,,
P_Coal_Hardcoal,2025,0.02,,Factor,,,
P_Coal_Lignite,2025,0.02,,Factor,,,
P_Gas,2025,0.2,,Factor,,,
P_Nuclear,2025,0.01,,Factor,,,
P_Oil,2025,0.04,,Factor,,,
RES_Hydro_Large,2025,0.25,,Factor,,,
P_Biomass_CCS,2025,0.04,,Factor,,,
HLR_Biomass_CHP,2025,0.1,,Factor,,,
HLR_Hardcoal_CHP,2025,0.1,,Factor,,,
HLR_Lignite_CHP,2025,0.1,,Factor,,,
HLR_Oil_Boiler,2025,0.1,,Factor,,,
HLI_Biomass_CHP,2025,0.1,,Factor,,,
HLI_Hardcoal_CHP,2025,0.1,,Factor,,,
HLI_Lignite_CHP,2025,0.1,,Factor,,,
HLI_Oil_Boiler,2025,0.1,,Factor,,,
HLI_Oil_CHP,2025,0.1,,Factor,,,
HHI_BF_BOF_CCS,2025,0.1,,Factor,,,
HHI_DRI_EAF_CCS,2025,0.1,,Factor,,,
HLI_Hardcoal_CHP_CCS,2025,0.1,,Factor,,,
HLI_Lignite_CHP_CCS,2025,0.1,,Factor,,,
HLR_Hardcoal_CHP_CCS,2025,0.1,,Factor,,,
HLR_Lignite_CHP_CCS,2025,0.1,,Factor,,,
P_Coal_Hardcoal_CCS,2025,0.02,,Factor,,,
P_Coal_Lignite_CCS,2025,0.02,,Factor,,,
P_Gas_CCS,2025,0.2,,Factor,,,
P_Biomass,2030,0.04,,Factor,,,
P_Coal_Hardcoal,2030,0.02,,Factor,,,
P_Coal_Lignite,2030,0.02,,Factor,,,
P_Gas,2030,0.2,,Factor,,,
P_Nuclear,2030,0.01,,Factor,,,
P_Oil,2030,0.04,,Factor,,,
RES_Hydro_Large,2030,0.25,,Factor,,,
P_Biomass_CCS,2030,0.04,,Factor,,,
HLR_Biomass_CHP,2030,0.1,,Factor,,,
HLR_Hardcoal_CHP,2030,0.1,,Factor,,,
HLR_Lignite_CHP,2030,0.1,,Factor,,,
HLR_Oil_Boiler,2030,0.1,,Factor,,,
HLI_Biomass_CHP,2030,0.1,,Factor,,,
HLI_Hardcoal_CHP,2030,0.1,,Factor,,,
HLI_Lignite_CHP,2030,0.1,,Factor,,,
HLI_Oil_Boiler,2030,0.1,,Factor,,,
HLI_Oil_CHP,2030,0.1,,Factor,,,
HHI_BF_BOF_CCS,2030,0.1,,Factor,,,
HHI_DRI_EAF_CCS,2030,0.1,,Factor,,,
HLI_Hardcoal_CHP_CCS,2030,0.1,,Factor,,,
HLI_Lignite_CHP_CCS,2030,0.1,,Factor,,,
HLR_Hardcoal_CHP_CCS,2030,0.1,,Factor,,,
HLR_Lignite_CHP_CCS,2030,0.1,,Factor,,,
P_Coal_Hardcoal_CCS,2030,0.02,,Factor,,,
P_Coal_Lignite_CCS,2030,0.02,,Factor,,,
P_Gas_CCS,2030,0.2,,Factor,,,
P_Biomass,2035,0.04,,Factor,,,
P_Coal_Hardcoal,2035,0.02,,Factor,,,
P_Coal_Lignite,2035,0.02,,Factor,,,
P_Gas,2035,0.2,,Factor,,,
