Technology	Year	Value		Unit	Source	Updated at	Updated by
P_Biomass	2015	0.04		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal	2015	0.02		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite	2015	0.02		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas	2015	0.2		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear	2015	0.01		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil	2015	0.04		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large	2015	0.25		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS	2015	0.04		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS	2015	0.1		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS	2015	0.02		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS	2015	0.02		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS	2015	0.2		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass	2020	0.04		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal	2020	0.02		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite	2020	0.02		Factor	Needs Update 	08.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
