Region,Technology,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AT,HLR_Biomass,Heat_Low_Residential,2018,71.694,,PJ,,,
AT,HLR_Hardcoal,Heat_Low_Residential,2018,2.794,,PJ,,,
AT,HLR_Oil_Boiler,Heat_Low_Residential,2018,57.279,,PJ,,,
AT,HLI_Biomass,Heat_Low_Industrial,2018,2.659,,PJ,,,
AT,HLI_Hardcoal,Heat_Low_Industrial,2018,0.275,,PJ,,,
AT,HLI_Direct_Electric,Heat_Low_Industrial,2018,0.026,,PJ,,,
AT,HLI_Oil_Boiler,Heat_Low_Industrial,2018,1.072,,PJ,,,
AT,*HLI_Gas_Boiler,Heat_Low_Industrial,2018,0,,PJ,,,
AT,*HLI_Convert_DH,Heat_Low_Industrial,2018,4.627,,PJ,,,
AT,HMI_Biomass,Heat_Medium_Industrial,2018,32.977,,PJ,,,
AT,HMI_HardCoal,Heat_Medium_Industrial,2018,3.083,,PJ,,,
AT,HMI_Steam_Electric,Heat_Medium_Industrial,2018,0.26,,PJ,,,
AT,HMI_Oil,Heat_Medium_Industrial,2018,15.055,,PJ,,,
AT,*HHI_BF_BOF,Heat_High_Industrial,2018,28.904,,PJ,,,
AT,HHI_Bio_BF_BOF,Heat_High_Industrial,2018,4.398,,PJ,,,
AT,HHI_Scrap_EAF,Heat_High_Industrial,2018,1.755,,PJ,,,
AT,HHI_DRI_EAF,Heat_High_Industrial,2018,33.349,,PJ,,,
AT,P_Gas_CCGT,Power,2018,19.582,,PJ,,,
AT,P_Gas_Engines,Power,2018,0.995,,PJ,,,
AT,P_Biomass,Power,2018,15.478,,PJ,,,
AT,P_Coal_Hardcoal,Power,2018,4.663,,PJ,,,
AT,HLR_Heatpump_Ground,Heat_Low_Residential,2018,0.361,,PJ,,,
AT,HLR_Direct_Electric,Heat_Low_Residential,2018,13.863,,PJ,,,
AT,CHP_Coal_Hardcoal,Power,2018,2.597,,PJ,,,
AT,CHP_Oil,Power,2018,2.52,,PJ,,,
AT,CHP_Gas_CCGT_Natural,Power,2018,13.123,,PJ,,,
AT,CHP_Biomass_Solid,Power,2018,13.941,,PJ,,,
AT,CHP_Coal_Hardcoal,Heat_District,2018,8.481,,PJ,,,
AT,CHP_Oil,Heat_District,2018,8.228,,PJ,,,
AT,CHP_Gas_CCGT_Natural,Heat_District,2018,42.855,,PJ,,,
AT,CHP_Biomass_Solid,Heat_District,2018,45.527,,PJ,,,
AT,P_Gas_OCGT,Power,2018,2,,PJ,,,
BE,HLR_Biomass,Heat_Low_Residential,2018,22.24,,PJ,,,
BE,HLR_Hardcoal,Heat_Low_Residential,2018,6.291,,PJ,,,
BE,HLR_Oil_Boiler,Heat_Low_Residential,2018,121.225,,PJ,,,
BE,HLI_Biomass,Heat_Low_Industrial,2018,2.003,,PJ,,,
BE,HLI_Hardcoal,Heat_Low_Industrial,2018,0.231,,PJ,,,
BE,HLI_Direct_Electric,Heat_Low_Industrial,2018,0.121,,PJ,,,
BE,HLI_Oil_Boiler,Heat_Low_Industrial,2018,0.359,,PJ,,,
BE,*HLI_Gas_Boiler,Heat_Low_Industrial,2018,4.949,,PJ,,,
BE,*HLI_Convert_DH,Heat_Low_Industrial,2018,13.591,,PJ,,,
BE,HMI_Biomass,Heat_Medium_Industrial,2018,14.66,,PJ,,,
BE,HMI_HardCoal,Heat_Medium_Industrial,2018,3.764,,PJ,,,
BE,HMI_Steam_Electric,Heat_Medium_Industrial,2018,1.644,,PJ,,,
BE,HMI_Oil,Heat_Medium_Industrial,2018,9.533,,PJ,,,
BE,*HHI_BF_BOF,Heat_High_Industrial,2018,35.707,,PJ,,,
BE,HHI_Bio_BF_BOF,Heat_High_Industrial,2018,3.105,,PJ,,,
BE,HHI_Scrap_EAF,Heat_High_Industrial,2018,5.501,,PJ,,,
BE,HHI_DRI_EAF,Heat_High_Industrial,2018,58.685,,PJ,,,
BE,P_Gas_CCGT,Power,2018,24.018,,PJ,,,
BE,P_Gas_OCGT,Power,2018,35.109,,PJ,,,
BE,P_Biomass,Power,2018,11.615,,PJ,,,
BE,P_Oil,Power,2018,0.321,,PJ,,,
BE,P_Nuclear,Power,2018,102.949,,PJ,,,
BE,HLR_Heatpump_Aerial,Heat_Low_Residential,2018,1.074,,PJ,,,
BE,HLR_Heatpump_Ground,Heat_Low_Residential,2018,0.057,,PJ,,,
BE,HLR_Direct_Electric,Heat_Low_Residential,2018,10.483,,PJ,,,
BE,CHP_Coal_Hardcoal,Power,2018,0.573,,PJ,,,
BE,CHP_Oil,Power,2018,0.397,,PJ,,,
BE,CHP_Gas_CCGT_Natural,Power,2018,27.237,,PJ,,,
BE,CHP_Biomass_Solid,Power,2018,7.651,,PJ,,,
BE,CHP_Coal_Hardcoal,Heat_District,2018,1.252,,PJ,,,
BE,CHP_Oil,Heat_District,2018,0.868,,PJ,,,
BE,CHP_Gas_CCGT_Natural,Heat_District,2018,59.556,,PJ,,,
BE,CHP_Biomass_Solid,Heat_District,2018,16.729,,PJ,,,
BE,P_Coal_Hardcoal,Power,2018,7.869,,PJ,,,
BE,RES_Wind_Offshore_Transitional,Power,2018,17,,PJ,,,
BE,RES_Wind_Onshore_Avg,Power,2018,10,,PJ,,,
BG,HLR_Biomass,Heat_Low_Residential,2018,33.666,,PJ,,,
BG,HLR_Hardcoal,Heat_Low_Residential,2018,11.86,,PJ,,,
BG,HLR_Oil_Boiler,Heat_Low_Residential,2018,2.097,,PJ,,,
BG,HLI_Biomass,Heat_Low_Industrial,2018,0.606,,PJ,,,
BG,HLI_Hardcoal,Heat_Low_Industrial,2018,0.295,,PJ,,,
BG,HLI_Direct_Electric,Heat_Low_Industrial,2018,0.003,,PJ,,,
BG,HLI_Oil_Boiler,Heat_Low_Industrial,2018,0.24,,PJ,,,
BG,*HLI_Gas_Boiler,Heat_Low_Industrial,2018,0.738,,PJ,,,
BG,*HLI_Convert_DH,Heat_Low_Industrial,2018,13.883,,PJ,,,
BG,HMI_Biomass,Heat_Medium_Industrial,2018,5.678,,PJ,,,
BG,HMI_HardCoal,Heat_Medium_Industrial,2018,1.591,,PJ,,,
BG,HMI_Steam_Electric,Heat_Medium_Industrial,2018,0.276,,PJ,,,
BG,HMI_Oil,Heat_Medium_Industrial,2018,1.851,,PJ,,,
BG,*HHI_BF_BOF,Heat_High_Industrial,2018,3.596,,PJ,,,
BG,HHI_Bio_BF_BOF,Heat_High_Industrial,2018,0.227,,PJ,,,
BG,HHI_Scrap_EAF,Heat_High_Industrial,2018,1.27,,PJ,,,
BG,HHI_DRI_EAF,Heat_High_Industrial,2018,11.746,,PJ,,,
BG,P_Biomass,Power,2018,3.426,,PJ,,,
BG,P_Coal_Hardcoal,Power,2018,0.223,,PJ,,,
BG,P_Oil,Power,2018,0.973,,PJ,,,
BG,P_Nuclear,Power,2018,58.05,,PJ,,,
BG,P_Coal_Lignite,Power,2018,63.241,,PJ,,,
BG,HLR_Heatpump_Aerial,Heat_Low_Residential,2018,4.775,,PJ,,,
BG,HLR_Heatpump_Ground,Heat_Low_Residential,2018,0.251,,PJ,,,
BG,HLR_Direct_Electric,Heat_Low_Residential,2018,9.939,,PJ,,,
BG,CHP_Coal_Hardcoal,Power,2018,3.655,,PJ,,,
BG,CHP_Oil,Power,2018,0.138,,PJ,,,
BG,CHP_Gas_CCGT_Natural,Power,2018,5.044,,PJ,,,
BG,CHP_Biomass_Solid,Power,2018,2.437,,PJ,,,
BG,CHP_Coal_Hardcoal,Heat_District,2018,11.187,,PJ,,,
BG,CHP_Oil,Heat_District,2018,0.424,,PJ,,,
BG,CHP_Gas_CCGT_Natural,Heat_District,2018,15.436,,PJ,,,
BG,CHP_Biomass_Solid,Heat_District,2018,7.459,,PJ,,,
CH,HLR_Biomass,Heat_Low_Residential,2018,16.787,,PJ,,,
CH,HLR_Hardcoal,Heat_Low_Residential,2018,0.356,,PJ,,,
CH,HLR_Oil_Boiler,Heat_Low_Residential,2018,119.826,,PJ,,,
CH,HLI_Biomass,Heat_Low_Industrial,2018,0.275,,PJ,,,
CH,HLI_Hardcoal,Heat_Low_Industrial,2018,0.089,,PJ,,,
CH,HLI_Direct_Electric,Heat_Low_Industrial,2018,0.076,,PJ,,,
CH,HLI_Oil_Boiler,Heat_Low_Industrial,2018,0.86,,PJ,,,
CH,*HLI_Gas_Boiler,Heat_Low_Industrial,2018,4.119,,PJ,,,
CH,*HLI_Convert_DH,Heat_Low_Industrial,2018,2.012,,PJ,,,
CH,HMI_Biomass,Heat_Medium_Industrial,2018,2.715,,PJ,,,
CH,HMI_HardCoal,Heat_Medium_Industrial,2018,0.82,,PJ,,,
CH,HMI_Steam_Electric,Heat_Medium_Industrial,2018,0.625,,PJ,,,
CH,HMI_Oil,Heat_Medium_Industrial,2018,6.243,,PJ,,,
CH,*HHI_BF_BOF,Heat_High_Industrial,2018,3.052,,PJ,,,
CH,HHI_Bio_BF_BOF,Heat_High_Industrial,2018,0.508,,PJ,,,
CH,HHI_Scrap_EAF,Heat_High_Industrial,2018,2.473,,PJ,,,
CH,HHI_DRI_EAF,Heat_High_Industrial,2018,11.82,,PJ,,,
CH,CHP_Gas_CCGT_Natural,Power,2018,5.251,,PJ,,,
CH,P_Gas_CCGT,Power,2018,0.01,,PJ,,,
CH,P_Nuclear,Power,2018,91.847,,PJ,,,
CH,HLR_Heatpump_Aerial,Heat_Low_Residential,2018,10.007,,PJ,,,
CH,HLR_Heatpump_Ground,Heat_Low_Residential,2018,0.527,,PJ,,,
CH,HLR_Direct_Electric,Heat_Low_Residential,2018,16.088,,PJ,,,
CH,P_Oil,Power,2018,0.086,,PJ,,,
CZ,HLR_Biomass,Heat_Low_Residential,2018,49.501,,PJ,,,
CZ,HLR_Hardcoal,Heat_Low_Residential,2018,30.227,,PJ,,,
CZ,HLR_Oil_Boiler,Heat_Low_Residential,2018,2.482,,PJ,,,
CZ,HLI_Biomass,Heat_Low_Industrial,2018,0.75,,PJ,,,
