Region	Year	Value		Unit	Source	Updated at	Updated by
World	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
AL	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
AT	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
BA	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
BE	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
BG	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
CH	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
CZ	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
DE	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
DK	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
ES	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
FI	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
FR	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
GR	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HR	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HU	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
IE	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
IT	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
LU	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
ME	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
MK	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
NL	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
NO	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
PL	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
PT	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
RO	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
RS	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
SE	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
SI	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
SK	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
UK	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
EE	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
LT	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
LV	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
UA	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
RU	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
BY	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
TR	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
NONEU_Balkan	2018	0.1		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
World	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
AL	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
AT	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
BA	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
BE	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
BG	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
CH	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
CZ	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
DE	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
DK	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
ES	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
FI	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
FR	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
GR	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HR	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
HU	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
IE	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
IT	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
LU	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
ME	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
MK	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
NL	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
NO	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
PL	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
PT	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
RO	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
RS	2020	0.105		Ratio	assumption	07.09.2023	Jonathan Hanto <joh@wip.tu-berlin.de>
