Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
AT,RES_Biomass,2018,152.797266,,PJ,,,
BE,RES_Biomass,2018,93.198168,,PJ,,,
BG,RES_Biomass,2018,102.325392,,PJ,,,
CH,RES_Biomass,2018,152.797266,,PJ,,,
CZ,RES_Biomass,2018,144.381798,,PJ,,,
DE,RES_Biomass,2018,716.88483,,PJ,,,
DK,RES_Biomass,2018,71.845488,,PJ,,,
ES,RES_Biomass,2018,468.230778,,PJ,,,
FI,RES_Biomass,2018,295.441542,,PJ,,,
FR,RES_Biomass,2018,663.440328,,PJ,,,
GR,RES_Biomass,2018,96.149862,,PJ,,,
HR,RES_Biomass,2018,54.6,,PJ,,,
HU,RES_Biomass,2018,150.850404,,PJ,,,
IE,RES_Biomass,2018,31.71501,,PJ,,,
IT,RES_Biomass,2018,359.43678,,PJ,,,
LU,RES_Biomass,2018,2.114334,,PJ,,,
NL,RES_Biomass,2018,63.032274,,PJ,,,
NO,RES_Biomass,2018,377.54,,PJ,,,
PL,RES_Biomass,2018,376.058376,,PJ,,,
PT,RES_Biomass,2018,127.027512,,PJ,,,
RO,RES_Biomass,2018,220.602492,,PJ,,,
SE,RES_Biomass,2018,334.31598,,PJ,,,
SI,RES_Biomass,2018,20.954934,,PJ,,,
SK,RES_Biomass,2018,68.119236,,PJ,,,
UK,RES_Biomass,2018,424.394982,,PJ,,,
EE,RES_Biomass,2018,35.127252,,PJ,,,
LT,RES_Biomass,2018,43.01937,,PJ,,,
LV,RES_Biomass,2018,45.196506,,PJ,,,
TR,RES_Biomass,2018,360.0648,,PJ,,,
NONEU_Balkan,RES_Biomass,2018,47.725392,,PJ,,,
AL,RES_Wood,2018,0,,PJ,,,
AT,RES_Wood,2018,4.58391798,,PJ,,,
BA,RES_Wood,2018,0,,PJ,,,
BE,RES_Wood,2018,2.79594504,,PJ,,,
BG,RES_Wood,2018,3.06976176,,PJ,,,
CH,RES_Wood,2018,4.58391798,,PJ,,,
CZ,RES_Wood,2018,4.33145394,,PJ,,,
DE,RES_Wood,2018,21.5065449,,PJ,,,
DK,RES_Wood,2018,2.15536464,,PJ,,,
ES,RES_Wood,2018,14.04692334,,PJ,,,
FI,RES_Wood,2018,8.86324626,,PJ,,,
FR,RES_Wood,2018,19.90320984,,PJ,,,
GR,RES_Wood,2018,2.88449586,,PJ,,,
HR,RES_Wood,2018,1.638,,PJ,,,
HU,RES_Wood,2018,4.52551212,,PJ,,,
IE,RES_Wood,2018,0.9514503,,PJ,,,
IT,RES_Wood,2018,10.7831034,,PJ,,,
LU,RES_Wood,2018,0.06343002,,PJ,,,
ME,RES_Wood,2018,0,,PJ,,,
MK,RES_Wood,2018,0,,PJ,,,
NL,RES_Wood,2018,1.89096822,,PJ,,,
NO,RES_Wood,2018,11.3262,,PJ,,,
PL,RES_Wood,2018,11.28175128,,PJ,,,
PT,RES_Wood,2018,3.81082536,,PJ,,,
RO,RES_Wood,2018,6.61807476,,PJ,,,
RS,RES_Wood,2018,0,,PJ,,,
SE,RES_Wood,2018,10.0294794,,PJ,,,
SI,RES_Wood,2018,0.62864802,,PJ,,,
SK,RES_Wood,2018,2.04357708,,PJ,,,
UA,RES_Wood,2018,0,,PJ,,,
UK,RES_Wood,2018,12.73184946,,PJ,,,
EE,RES_Wood,2018,1.05381756,,PJ,,,
LT,RES_Wood,2018,1.2905811,,PJ,,,
LV,RES_Wood,2018,1.35589518,,PJ,,,
RU,RES_Wood,2018,0,,PJ,,,
BY,RES_Wood,2018,0,,PJ,,,
TR,RES_Wood,2018,10.801944,,PJ,,,
NONEU_Balkan,RES_Wood,2018,1.43176176,,PJ,,,
AL,RES_Roundwood,2018,0,,PJ,,,
AT,RES_Roundwood,2018,42.78323448,,PJ,,,
BA,RES_Roundwood,2018,0,,PJ,,,
BE,RES_Roundwood,2018,26.09548704,,PJ,,,
BG,RES_Roundwood,2018,28.65110976,,PJ,,,
CH,RES_Roundwood,2018,42.78323448,,PJ,,,
CZ,RES_Roundwood,2018,40.42690344,,PJ,,,
DE,RES_Roundwood,2018,200.7277524,,PJ,,,
DK,RES_Roundwood,2018,20.11673664,,PJ,,,
ES,RES_Roundwood,2018,131.1046178,,PJ,,,
FI,RES_Roundwood,2018,82.72363176,,PJ,,,
FR,RES_Roundwood,2018,185.7632918,,PJ,,,
GR,RES_Roundwood,2018,26.92196136,,PJ,,,
HR,RES_Roundwood,2018,15.288,,PJ,,,
HU,RES_Roundwood,2018,42.23811312,,PJ,,,
IE,RES_Roundwood,2018,8.8802028,,PJ,,,
IT,RES_Roundwood,2018,100.6422984,,PJ,,,
LU,RES_Roundwood,2018,0.59201352,,PJ,,,
ME,RES_Roundwood,2018,0,,PJ,,,
MK,RES_Roundwood,2018,0,,PJ,,,
NL,RES_Roundwood,2018,17.64903672,,PJ,,,
NO,RES_Roundwood,2018,105.7112,,PJ,,,
PL,RES_Roundwood,2018,105.2963453,,PJ,,,
PT,RES_Roundwood,2018,35.56770336,,PJ,,,
RO,RES_Roundwood,2018,61.76869776,,PJ,,,
RS,RES_Roundwood,2018,0,,PJ,,,
SE,RES_Roundwood,2018,93.6084744,,PJ,,,
SI,RES_Roundwood,2018,5.86738152,,PJ,,,
SK,RES_Roundwood,2018,19.07338608,,PJ,,,
UA,RES_Roundwood,2018,0,,PJ,,,
UK,RES_Roundwood,2018,118.830595,,PJ,,,
EE,RES_Roundwood,2018,9.83563056,,PJ,,,
LT,RES_Roundwood,2018,12.0454236,,PJ,,,
LV,RES_Roundwood,2018,12.65502168,,PJ,,,
