Region;Technology;Year;Value;;Unit;Source;Updated at;Updated by
DE;A_Air;2018;999999;;GW;;;
DE;A_CCS_Capacity;2018;999999;;GW;;;
AL;D_PHS;2018;1.375;;GW;;;
AT;D_PHS;2018;13.25;;GW;;;
BA;D_PHS;2018;0;;GW;;;
BE;D_PHS;2018;0.625;;GW;;;
BG;D_PHS;2018;0;;GW;;;
CH;D_PHS;2018;5.25;;GW;;;
CZ;D_PHS;2018;0.625;;GW;;;
DE;D_PHS;2018;0.125;;GW;;;
DK;D_PHS;2018;0;;GW;;;
ES;D_PHS;2018;37.75;;GW;;;
FI;D_PHS;2018;0;;GW;;;
FR;D_PHS;2018;7.25;;GW;;;
GR;D_PHS;2018;0.125;;GW;;;
HR;D_PHS;2018;0.75;;GW;;;
HU;D_PHS;2018;0;;GW;;;
IE;D_PHS;2018;0;;GW;;;
IT;D_PHS;2018;28;;GW;;;
LU;D_PHS;2018;0;;GW;;;
ME;D_PHS;2018;0;;GW;;;
MK;D_PHS;2018;0;;GW;;;
NL;D_PHS;2018;0;;GW;;;
NO;D_PHS;2018;5.75;;GW;;;
PL;D_PHS;2018;0;;GW;;;
PT;D_PHS;2018;0.875;;GW;;;
RO;D_PHS;2018;0;;GW;;;
RS;D_PHS;2018;0.125;;GW;;;
SE;D_PHS;2018;16;;GW;;;
SI;D_PHS;2018;0;;GW;;;
SK;D_PHS;2018;0;;GW;;;
UA;D_PHS;2018;0;;GW;;;
UK;D_PHS;2018;3.25;;GW;;;
EE;D_PHS;2018;0;;GW;;;
LT;D_PHS;2018;0;;GW;;;
LV;D_PHS;2018;0;;GW;;;
RU;D_PHS;2018;0;;GW;;;
BY;D_PHS;2018;0;;GW;;;
AL;RES_Wind_Onshore_Avg;2018;5.421458599;;GW;;;
AT;RES_Wind_Onshore_Avg;2018;19.84666667;;GW;;;
BA;RES_Wind_Onshore_Avg;2018;8.732153849;;GW;;;
BE;RES_Wind_Onshore_Avg;2018;7.67;;GW;;;
BG;RES_Wind_Onshore_Avg;2018;29.68333333;;GW;;;
CH;RES_Wind_Onshore_Avg;2018;9.013333333;;GW;;;
CZ;RES_Wind_Onshore_Avg;2018;24.31;;GW;;;
DE;RES_Wind_Onshore_Avg;2018;96.46;;GW;;;
DK;RES_Wind_Onshore_Avg;2018;14.12666667;;GW;;;
ES;RES_Wind_Onshore_Avg;2018;158.99;;GW;;;
FI;RES_Wind_Onshore_Avg;2018;31.11333333;;GW;;;
FR;RES_Wind_Onshore_Avg;2018;165.4033333;;GW;;;
GR;RES_Wind_Onshore_Avg;2018;45.76;;GW;;;
HR;RES_Wind_Onshore_Avg;2018;8.58;;GW;;;
HU;RES_Wind_Onshore_Avg;2018;29.55333333;;GW;;;
IE;RES_Wind_Onshore_Avg;2018;24.39666667;;GW;;;
IT;RES_Wind_Onshore_Avg;2018;82.42;;GW;;;
LU;RES_Wind_Onshore_Avg;2018;0.736666667;;GW;;;
ME;RES_Wind_Onshore_Avg;2018;3.779852522;;GW;;;
MK;RES_Wind_Onshore_Avg;2018;7.98348172;;GW;;;
NL;RES_Wind_Onshore_Avg;2018;10.22666667;;GW;;;
NO;RES_Wind_Onshore_Avg;2018;13.95333333;;GW;;;
PL;RES_Wind_Onshore_Avg;2018;84.02333333;;GW;;;
PT;RES_Wind_Onshore_Avg;2018;22.1;;GW;;;
RO;RES_Wind_Onshore_Avg;2018;79.3;;GW;;;
RS;RES_Wind_Onshore_Avg;2018;32.45305331;;GW;;;
SE;RES_Wind_Onshore_Avg;2018;40.47333333;;GW;;;
SI;RES_Wind_Onshore_Avg;2018;3.596666667;;GW;;;
SK;RES_Wind_Onshore_Avg;2018;11.78666667;;GW;;;
UA;RES_Wind_Onshore_Avg;2018;0;;GW;;;
UK;RES_Wind_Onshore_Avg;2018;92.08333333;;GW;;;
EE;RES_Wind_Onshore_Avg;2018;6.846666667;;GW;;;
LT;RES_Wind_Onshore_Avg;2018;16.29333333;;GW;;;
LV;RES_Wind_Onshore_Avg;2018;12.30666667;;GW;;;
