Region,Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AT,AT,Power,2018,0,,GW,,,
CH,AT,Power,2018,1.2,,GW,,,
CZ,AT,Power,2018,0.8,,GW,,,
DE,AT,Power,2018,2.2,,GW,,,
HU,AT,Power,2018,0.8,,GW,,,
IT,AT,Power,2018,0.1,,GW,,,
SI,AT,Power,2018,0.95,,GW,,,
DE,AT,gas_natural,2018,517.0417972,,PJ,,,
IT,AT,gas_natural,2018,1633.041966,,PJ,,,
SI,AT,gas_natural,2018,0,,PJ,,,
SK,AT,gas_natural,2018,2196.000922,,PJ,,,
BE,BE,Power,2018,0,,GW,,,
FR,BE,Power,2018,2.6,,GW,,,
NL,BE,Power,2018,1.426,,GW,,,
FR,BE,gas_natural,2018,0,,PJ,,,
DE,BE,gas_natural,2018,502.4892963,,PJ,,,
NL,BE,gas_natural,2018,1138.376518,,PJ,,,
NO,BE,gas_natural,2018,616.12,,PJ,,,
UK,BE,gas_natural,2018,898.9736104,,PJ,,,
BG,BG,Power,2018,0,,GW,,,
GR,BG,Power,2018,0.5,,GW,,,
NONEU_Balkan,BG,Power,2018,0.35,,GW,,,
RO,BG,Power,2018,0.6,,GW,,,
TR,BG,Power,2018,1,,GW,,,
RO,BG,gas_natural,2018,0,,PJ,,,
AT,CH,Power,2018,0.43425,,GW,,,
CH,CH,Power,2018,0,,GW,,,
DE,CH,Power,2018,3.5,,GW,,,
FR,CH,Power,2018,3.2,,GW,,,
IT,CH,Power,2018,1.91,,GW,,,
FR,CH,gas_natural,2018,371.516788,,PJ,,,
DE,CH,gas_natural,2018,830.3343144,,PJ,,,
IT,CH,gas_natural,2018,0,,PJ,,,
AT,CZ,Power,2018,0.9,,GW,,,
CZ,CZ,Power,2018,0,,GW,,,
DE,CZ,Power,2018,1.1,,GW,,,
PL,CZ,Power,2018,0.1,,GW,,,
SK,CZ,Power,2018,1.2,,GW,,,
DE,CZ,gas_natural,2018,2641.12055,,PJ,,,
SK,CZ,gas_natural,2018,741.8922035,,PJ,,,
AT,DE,Power,2018,2,,GW,,,
CH,DE,Power,2018,3.5,,GW,,,
CZ,DE,Power,2018,1.775,,GW,,,
DE,DE,Power,2018,0,,GW,,,
DK,DE,Power,2018,3.1,,GW,,,
FR,DE,Power,2018,1.8,,GW,,,
LU,DE,Power,2018,0.98,,GW,,,
NL,DE,Power,2018,2.4,,GW,,,
NO,DE,Power,2018,1.444,,GW,,,
PL,DE,Power,2018,0.225,,GW,,,
SE,DE,Power,2018,0.61,,GW,,,
FR,DE,gas_natural,2018,0,,PJ,,,
AT,DE,gas_natural,2018,568.6889083,,PJ,,,
BE,DE,gas_natural,2018,446.6692127,,PJ,,,
CZ,DE,gas_natural,2018,1575.664917,,PJ,,,
DK,DE,gas_natural,2018,129.8710836,,PJ,,,
NL,DE,gas_natural,2018,2629.827737,,PJ,,,
NO,DE,gas_natural,2018,2354.98,,PJ,,,
PL,DE,gas_natural,2018,1328.329456,,PJ,,,
