Region,Region2,Fuel,Value,,Unit,Source,Updated at,Updated by
AL,AL,Power,5.51,,M€/GW,,,
AT,AL,Power,5.51,,M€/GW,,,
BA,AL,Power,5.51,,M€/GW,,,
BE,AL,Power,5.51,,M€/GW,,,
BG,AL,Power,5.51,,M€/GW,,,
CH,AL,Power,5.51,,M€/GW,,,
CZ,AL,Power,5.51,,M€/GW,,,
DE,AL,Power,5.51,,M€/GW,,,
DK,AL,Power,5.51,,M€/GW,,,
ES,AL,Power,5.51,,M€/GW,,,
FI,AL,Power,5.51,,M€/GW,,,
FR,AL,Power,5.51,,M€/GW,,,
GR,AL,Power,5.51,,M€/GW,,,
HR,AL,Power,5.51,,M€/GW,,,
HU,AL,Power,5.51,,M€/GW,,,
IE,AL,Power,5.51,,M€/GW,,,
IT,AL,Power,5.51,,M€/GW,,,
LU,AL,Power,5.51,,M€/GW,,,
ME,AL,Power,5.51,,M€/GW,,,
MK,AL,Power,5.51,,M€/GW,,,
NL,AL,Power,5.51,,M€/GW,,,
NO,AL,Power,5.51,,M€/GW,,,
PL,AL,Power,5.51,,M€/GW,,,
PT,AL,Power,5.51,,M€/GW,,,
RO,AL,Power,5.51,,M€/GW,,,
RS,AL,Power,5.51,,M€/GW,,,
SE,AL,Power,5.51,,M€/GW,,,
SI,AL,Power,5.51,,M€/GW,,,
SK,AL,Power,5.51,,M€/GW,,,
UK,AL,Power,5.51,,M€/GW,,,
EE,AL,Power,5.51,,M€/GW,,,
LT,AL,Power,5.51,,M€/GW,,,
LV,AL,Power,5.51,,M€/GW,,,
UA,AL,Power,5.51,,M€/GW,,,
RU,AL,Power,5.51,,M€/GW,,,
BY,AL,Power,5.51,,M€/GW,,,
NONEU_Balkan,AL,Power,5.51,,M€/GW,,,
TR,AL,Power,5.51,,M€/GW,,,
AL,AT,Power,5.51,,M€/GW,,,
AT,AT,Power,5.51,,M€/GW,,,
BA,AT,Power,5.51,,M€/GW,,,
BE,AT,Power,5.51,,M€/GW,,,
BG,AT,Power,5.51,,M€/GW,,,
CH,AT,Power,5.51,,M€/GW,,,
CZ,AT,Power,5.51,,M€/GW,,,
DE,AT,Power,5.51,,M€/GW,,,
DK,AT,Power,5.51,,M€/GW,,,
ES,AT,Power,5.51,,M€/GW,,,
FI,AT,Power,5.51,,M€/GW,,,
FR,AT,Power,5.51,,M€/GW,,,
GR,AT,Power,5.51,,M€/GW,,,
HR,AT,Power,5.51,,M€/GW,,,
HU,AT,Power,5.51,,M€/GW,,,
IE,AT,Power,5.51,,M€/GW,,,
IT,AT,Power,5.51,,M€/GW,,,
LU,AT,Power,5.51,,M€/GW,,,
ME,AT,Power,5.51,,M€/GW,,,
MK,AT,Power,5.51,,M€/GW,,,
NL,AT,Power,5.51,,M€/GW,,,
NO,AT,Power,5.51,,M€/GW,,,
PL,AT,Power,5.51,,M€/GW,,,
PT,AT,Power,5.51,,M€/GW,,,
RO,AT,Power,5.51,,M€/GW,,,
RS,AT,Power,5.51,,M€/GW,,,
SE,AT,Power,5.51,,M€/GW,,,
SI,AT,Power,5.51,,M€/GW,,,
SK,AT,Power,5.51,,M€/GW,,,
UK,AT,Power,5.51,,M€/GW,,,
EE,AT,Power,5.51,,M€/GW,,,
LT,AT,Power,5.51,,M€/GW,,,
LV,AT,Power,5.51,,M€/GW,,,
UA,AT,Power,5.51,,M€/GW,,,
RU,AT,Power,5.51,,M€/GW,,,
BY,AT,Power,5.51,,M€/GW,,,
NONEU_Balkan,AT,Power,5.51,,M€/GW,,,
TR,AT,Power,5.51,,M€/GW,,,
AL,BA,Power,5.51,,M€/GW,,,
AT,BA,Power,5.51,,M€/GW,,,
BA,BA,Power,5.51,,M€/GW,,,
BE,BA,Power,5.51,,M€/GW,,,
BG,BA,Power,5.51,,M€/GW,,,
CH,BA,Power,5.51,,M€/GW,,,
CZ,BA,Power,5.51,,M€/GW,,,
DE,BA,Power,5.51,,M€/GW,,,
DK,BA,Power,5.51,,M€/GW,,,
ES,BA,Power,5.51,,M€/GW,,,
FI,BA,Power,5.51,,M€/GW,,,
FR,BA,Power,5.51,,M€/GW,,,
GR,BA,Power,5.51,,M€/GW,,,
HR,BA,Power,5.51,,M€/GW,,,
HU,BA,Power,5.51,,M€/GW,,,
IE,BA,Power,5.51,,M€/GW,,,
IT,BA,Power,5.51,,M€/GW,,,
LU,BA,Power,5.51,,M€/GW,,,
ME,BA,Power,5.51,,M€/GW,,,
MK,BA,Power,5.51,,M€/GW,,,
NL,BA,Power,5.51,,M€/GW,,,
NO,BA,Power,5.51,,M€/GW,,,
PL,BA,Power,5.51,,M€/GW,,,
PT,BA,Power,5.51,,M€/GW,,,
RO,BA,Power,5.51,,M€/GW,,,
RS,BA,Power,5.51,,M€/GW,,,
SE,BA,Power,5.51,,M€/GW,,,
SI,BA,Power,5.51,,M€/GW,,,
SK,BA,Power,5.51,,M€/GW,,,
UK,BA,Power,5.51,,M€/GW,,,
EE,BA,Power,5.51,,M€/GW,,,
LT,BA,Power,5.51,,M€/GW,,,
LV,BA,Power,5.51,,M€/GW,,,
UA,BA,Power,5.51,,M€/GW,,,
RU,BA,Power,5.51,,M€/GW,,,
BY,BA,Power,5.51,,M€/GW,,,
NONEU_Balkan,BA,Power,5.51,,M€/GW,,,
TR,BA,Power,5.51,,M€/GW,,,
AL,BE,Power,5.51,,M€/GW,,,
AT,BE,Power,5.51,,M€/GW,,,
BA,BE,Power,5.51,,M€/GW,,,
BE,BE,Power,5.51,,M€/GW,,,
BG,BE,Power,5.51,,M€/GW,,,
CH,BE,Power,5.51,,M€/GW,,,
CZ,BE,Power,5.51,,M€/GW,,,
DE,BE,Power,5.51,,M€/GW,,,
DK,BE,Power,5.51,,M€/GW,,,
ES,BE,Power,5.51,,M€/GW,,,
FI,BE,Power,5.51,,M€/GW,,,
FR,BE,Power,5.51,,M€/GW,,,
GR,BE,Power,5.51,,M€/GW,,,
HR,BE,Power,5.51,,M€/GW,,,
HU,BE,Power,5.51,,M€/GW,,,
IE,BE,Power,5.51,,M€/GW,,,
IT,BE,Power,5.51,,M€/GW,,,
LU,BE,Power,5.51,,M€/GW,,,
ME,BE,Power,5.51,,M€/GW,,,
MK,BE,Power,5.51,,M€/GW,,,
NL,BE,Power,5.51,,M€/GW,,,
NO,BE,Power,5.51,,M€/GW,,,
PL,BE,Power,5.51,,M€/GW,,,
PT,BE,Power,5.51,,M€/GW,,,
RO,BE,Power,5.51,,M€/GW,,,
RS,BE,Power,5.51,,M€/GW,,,
SE,BE,Power,5.51,,M€/GW,,,
SI,BE,Power,5.51,,M€/GW,,,
SK,BE,Power,5.51,,M€/GW,,,
UK,BE,Power,5.51,,M€/GW,,,
EE,BE,Power,5.51,,M€/GW,,,
LT,BE,Power,5.51,,M€/GW,,,
LV,BE,Power,5.51,,M€/GW,,,
UA,BE,Power,5.51,,M€/GW,,,
RU,BE,Power,5.51,,M€/GW,,,
BY,BE,Power,5.51,,M€/GW,,,
NONEU_Balkan,BE,Power,5.51,,M€/GW,,,
TR,BE,Power,5.51,,M€/GW,,,
AL,BG,Power,5.51,,M€/GW,,,
AT,BG,Power,5.51,,M€/GW,,,
BA,BG,Power,5.51,,M€/GW,,,
BE,BG,Power,5.51,,M€/GW,,,
BG,BG,Power,5.51,,M€/GW,,,
CH,BG,Power,5.51,,M€/GW,,,
CZ,BG,Power,5.51,,M€/GW,,,
DE,BG,Power,5.51,,M€/GW,,,
DK,BG,Power,5.51,,M€/GW,,,
ES,BG,Power,5.51,,M€/GW,,,
FI,BG,Power,5.51,,M€/GW,,,
FR,BG,Power,5.51,,M€/GW,,,
GR,BG,Power,5.51,,M€/GW,,,
HR,BG,Power,5.51,,M€/GW,,,
HU,BG,Power,5.51,,M€/GW,,,
IE,BG,Power,5.51,,M€/GW,,,
IT,BG,Power,5.51,,M€/GW,,,
LU,BG,Power,5.51,,M€/GW,,,
ME,BG,Power,5.51,,M€/GW,,,
MK,BG,Power,5.51,,M€/GW,,,
NL,BG,Power,5.51,,M€/GW,,,
NO,BG,Power,5.51,,M€/GW,,,
PL,BG,Power,5.51,,M€/GW,,,
PT,BG,Power,5.51,,M€/GW,,,
RO,BG,Power,5.51,,M€/GW,,,
RS,BG,Power,5.51,,M€/GW,,,
SE,BG,Power,5.51,,M€/GW,,,
SI,BG,Power,5.51,,M€/GW,,,
SK,BG,Power,5.51,,M€/GW,,,
UK,BG,Power,5.51,,M€/GW,,,
EE,BG,Power,5.51,,M€/GW,,,
LT,BG,Power,5.51,,M€/GW,,,
LV,BG,Power,5.51,,M€/GW,,,
UA,BG,Power,5.51,,M€/GW,,,
RU,BG,Power,5.51,,M€/GW,,,
BY,BG,Power,5.51,,M€/GW,,,
NONEU_Balkan,BG,Power,5.51,,M€/GW,,,
TR,BG,Power,5.51,,M€/GW,,,
AL,CH,Power,5.51,,M€/GW,,,
AT,CH,Power,5.51,,M€/GW,,,
BA,CH,Power,5.51,,M€/GW,,,
