Region,Technology,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
DE,A_Air,1,2018,0.5,,MEUR/PJ,,,
DE,A_Air,1,2020,0.425,,MEUR/PJ,,,
DE,A_Air,1,2025,0.425,,MEUR/PJ,,,
DE,A_Air,1,2030,0.425,,MEUR/PJ,,,
DE,A_Air,1,2035,0.425,,MEUR/PJ,,,
DE,A_Air,1,2040,0.425,,MEUR/PJ,,,
DE,A_Air,1,2045,0.425,,MEUR/PJ,,,
DE,A_Air,1,2050,0.425,,MEUR/PJ,,,
DE,A_CCS_Capacity,1,2018,0.5,,MEUR/PJ,,,
DE,A_CCS_Capacity,1,2020,0.425,,MEUR/PJ,,,
DE,A_CCS_Capacity,1,2025,0.425,,MEUR/PJ,,,
DE,A_CCS_Capacity,1,2030,0.425,,MEUR/PJ,,,
DE,A_CCS_Capacity,1,2035,0.425,,MEUR/PJ,,,
DE,A_CCS_Capacity,1,2040,0.425,,MEUR/PJ,,,
DE,A_CCS_Capacity,1,2045,0.425,,MEUR/PJ,,,
DE,A_CCS_Capacity,1,2050,0.425,,MEUR/PJ,,,
World,A_CCS_Capacity,1,2018,0.5,,MEUR/PJ,,,
World,A_CCS_Capacity,1,2020,0.5,,MEUR/PJ,,,
World,A_CCS_Capacity,1,2025,0.5,,MEUR/PJ,,,
World,A_CCS_Capacity,1,2030,0.5,,MEUR/PJ,,,
World,A_CCS_Capacity,1,2035,0.5,,MEUR/PJ,,,
World,A_CCS_Capacity,1,2040,0.5,,MEUR/PJ,,,
World,A_CCS_Capacity,1,2045,0.5,,MEUR/PJ,,,
World,A_CCS_Capacity,1,2050,0.5,,MEUR/PJ,,,
World,CHP_Biomass,1,2018,1.06,,MEUR/PJ,CHP Biomass Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Biomass,1,2020,1.06,,MEUR/PJ,CHP Biomass Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Biomass,1,2025,1.06,,MEUR/PJ,CHP Biomass Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Biomass,1,2030,1.05,,MEUR/PJ,CHP Biomass Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Biomass,1,2035,1.05,,MEUR/PJ,CHP Biomass Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Biomass,1,2040,1.06,,MEUR/PJ,CHP Biomass Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Biomass,1,2045,1.06,,MEUR/PJ,CHP Biomass Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Biomass,1,2050,1.06,,MEUR/PJ,CHP Biomass Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
DE,CHP_Biomass_CCS,1,2018,0.556,,MEUR/PJ,,,
DE,CHP_Biomass_CCS,1,2020,0.4726,,MEUR/PJ,,,
DE,CHP_Biomass_CCS,1,2025,0.4726,,MEUR/PJ,,,
DE,CHP_Biomass_CCS,1,2030,0.4726,,MEUR/PJ,,,
DE,CHP_Biomass_CCS,1,2035,0.4726,,MEUR/PJ,,,
DE,CHP_Biomass_CCS,1,2040,0.4726,,MEUR/PJ,,,
DE,CHP_Biomass_CCS,1,2045,0.4726,,MEUR/PJ,,,
DE,CHP_Biomass_CCS,1,2050,0.4726,,MEUR/PJ,,,
World,CHP_Biomass_CCS,1,2018,0.556,,MEUR/PJ,,,
World,CHP_Biomass_CCS,1,2020,0.556,,MEUR/PJ,,,
World,CHP_Biomass_CCS,1,2025,0.556,,MEUR/PJ,,,
World,CHP_Biomass_CCS,1,2030,0.556,,MEUR/PJ,,,
World,CHP_Biomass_CCS,1,2035,0.556,,MEUR/PJ,,,
World,CHP_Biomass_CCS,1,2040,0.556,,MEUR/PJ,,,
World,CHP_Biomass_CCS,1,2045,0.556,,MEUR/PJ,,,
World,CHP_Biomass_CCS,1,2050,0.556,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2018,1.416666667,,MEUR/PJ,CHP Coal Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Coal_Hardcoal,1,2020,1.416666667,,MEUR/PJ,CHP Coal Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
World,CHP_Coal_Hardcoal,1,2025,1.416666667,,MEUR/PJ,CHP Coal Table 1.7 High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>
