Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
1,0.714989231,0.627897432,0.841673965,0.882755012,0.830314598,0.520932631,0.566481637,0.569893842,0.729717526,0.454255079,0.58881188,0.841673965,0.560784133,0.501254668,0.66352807,0.627897432,0.705370604,0.729717526,0.754232928,0.675363212,0.560784133,0.729717526,0.841673965,0.560784133,0.501254668,0.569893842,0.569893842,0.569893842,0.841673965,0.58881188
2,0.714876887,0.62787325,0.841625558,0.88251874,0.830192575,0.521021326,0.566430539,0.569883904,0.729759647,0.454243788,0.588753375,0.841625558,0.560725913,0.501220903,0.663247206,0.62787325,0.705327589,0.729759647,0.75439111,0.675359068,0.560725913,0.729759647,0.841625558,0.560725913,0.501220903,0.569883904,0.569883904,0.569883904,0.841625558,0.588753375
3,0.714803856,0.627859832,0.841625652,0.882288692,0.829999909,0.521154319,0.566396926,0.56988323,0.729782122,0.454244312,0.588694542,0.841625652,0.56064731,0.501346331,0.662956868,0.627859832,0.705280924,0.729782122,0.754470172,0.675363635,0.56064731,0.729782122,0.841625652,0.56064731,0.501346331,0.56988323,0.56988323,0.56988323,0.841625652,0.588694542
4,0.714807205,0.627855438,0.841529931,0.882130965,0.829791992,0.521325171,0.566370424,0.56989321,0.729782782,0.454247614,0.588645307,0.841529931,0.560581847,0.501304595,0.662661852,0.627855438,0.705233658,0.729782782,0.754557824,0.675385623,0.560581847,0.729782782,0.841529931,0.560581847,0.501304595,0.56989321,0.56989321,0.56989321,0.841529931,0.588645307
5,0.714835636,0.627861179,0.841703448,0.882042101,0.829513922,0.521520341,0.566345103,0.569894305,0.729732446,0.454252053,0.588597311,0.841703448,0.560542131,0.501263112,0.662356827,0.627861179,0.705186763,0.729732446,0.754650202,0.675409734,0.560542131,0.729732446,0.841703448,0.560542131,0.501263112,0.569894305,0.569894305,0.569894305,0.841703448,0.588597311
6,0.714911117,0.627890012,0.841899828,0.882047865,0.829285201,0.521671477,0.566318684,0.569880848,0.729733709,0.454255611,0.588544531,0.841899828,0.560524382,0.501217883,0.662618096,0.627890012,0.705132205,0.729733709,0.754721195,0.67541553,0.560524382,0.729733709,0.841899828,0.560524382,0.501217883,0.569880848,0.569880848,0.569880848,0.841899828,0.588544531
7,0.714995063,0.627916169,0.841935038,0.882072108,0.829063506,0.521775705,0.566300002,0.56985805,0.729714723,0.454258207,0.588473785,0.841935038,0.560516749,0.501166882,0.662613493,0.627916169,0.705070352,0.729714723,0.754790214,0.675394409,0.560516749,0.729714723,0.841935038,0.560516749,0.501166882,0.56985805,0.56985805,0.56985805,0.841935038,0.588473785
8,0.715041033,0.627924155,0.841799324,0.882051395,0.828860851,0.521854802,0.566291371,0.569839666,0.729744871,0.454254199,0.588387035,0.841799324,0.560496386,0.5011075,0.662597174,0.627924155,0.705002669,0.729744871,0.754859036,0.675368264,0.560496386,0.729744871,0.841799324,0.560496386,0.5011075,0.569839666,0.569839666,0.569839666,0.841799324,0.588387035
9,0.715048452,0.627897438,0.841659837,0.882000113,0.828683262,0.521919251,0.566276106,0.569819454,0.72981759,0.454233148,0.588275908,0.841659837,0.560441186,0.501041431,0.662569784,0.627897438,0.704927456,0.72981759,0.754956372,0.675341563,0.560441186,0.72981759,0.841659837,0.560441186,0.501041431,0.569819454,0.569819454,0.569819454,0.841659837,0.588275908
10,0.715038221,0.62784961,0.84153895,0.881829353,0.828496423,0.521968822,0.566253187,0.569776471,0.729891807,0.454199446,0.588111469,0.84153895,0.560366738,0.500988761,0.662531972,0.62784961,0.704842892,0.729891807,0.755039879,0.675316985,0.560366738,0.729891807,0.84153895,0.560366738,0.500988761,0.569776471,0.569776471,0.569776471,0.84153895,0.588111469
11,0.715019478,0.627778438,0.841434391,0.881657516,0.828306477,0.522004677,0.566231644,0.56971478,0.72996551,0.454166405,0.587896906,0.841434391,0.560088705,0.500954895,0.662482022,0.627778438,0.704766619,0.72996551,0.755080129,0.675291851,0.560088705,0.72996551,0.841434391,0.560088705,0.500954895,0.56971478,0.56971478,0.56971478,0.841434391,0.587896906
12,0.714993976,0.627654645,0.841363134,0.881670128,0.82810201,0.522020921,0.566212614,0.569614213,0.730040402,0.454137609,0.587665653,0.841363134,0.559888002,0.500962005,0.662434765,0.627654645,0.704723433,0.730040402,0.755129388,0.675269956,0.559888002,0.730040402,0.841363134,0.559888002,0.500962005,0.569614213,0.569614213,0.569614213,0.841363134,0.587665653
13,0.714961469,0.627462629,0.84128565,0.881751262,0.827979377,0.522036023,0.566207518,0.569521803,0.730075957,0.454100899,0.58741478,0.84128565,0.559850054,0.500992536,0.662389986,0.627462629,0.704713932,0.730075957,0.755145214,0.675252863,0.559850054,0.730075957,0.84128565,0.559850054,0.500992536,0.569521803,0.569521803,0.569521803,0.84128565,0.58741478
14,0.714907691,0.627217811,0.841206448,0.881839266,0.828046097,0.522259671,0.566208387,0.569423647,0.730059278,0.454048626,0.587150383,0.841206448,0.559903442,0.501034638,0.662350369,0.627217811,0.704703336,0.730059278,0.755088725,0.675237334,0.559903442,0.730059278,0.841206448,0.559903442,0.501034638,0.569423647,0.569423647,0.569423647,0.841206448,0.587150383
15,0.714852169,0.627512921,0.840850029,0.881735945,0.828211649,0.522188492,0.566201171,0.569291393,0.730019578,0.453980708,0.586888839,0.840850029,0.559763058,0.501081264,0.662311508,0.627512921,0.704662955,0.730019578,0.755016874,0.675213769,0.559763058,0.730019578,0.840850029,0.559763058,0.501081264,0.569291393,0.569291393,0.569291393,0.840850029,0.586888839
16,0.714804788,0.627514268,0.840753256,0.881610955,0.828377015,0.52211246,0.566189757,0.569119303,0.72995136,0.453899491,0.586629633,0.840753256,0.559607342,0.501137079,0.662254611,0.627514268,0.704595472,0.72995136,0.754968149,0.675170003,0.559607342,0.72995136,0.840753256,0.559607342,0.501137079,0.569119303,0.569119303,0.569119303,0.840753256,0.586629633
17,0.714768669,0.627520533,0.84087942,0.88148524,0.828483289,0.522031379,0.566169435,0.568932008,0.730519491,0.453981044,0.586364975,0.84087942,0.559413602,0.501193479,0.662191176,0.627520533,0.704522533,0.730519491,0.754902895,0.675084733,0.559413602,0.730519491,0.84087942,0.559413602,0.501193479,0.568932008,0.568932008,0.568932008,0.84087942,0.586364975
18,0.714734681,0.627551769,0.840684343,0.881362603,0.828512863,0.521944655,0.566139305,0.568734293,0.730527665,0.453919554,0.586529777,0.840684343,0.559224763,0.501272807,0.662147664,0.627551769,0.704448151,0.730527665,0.754658646,0.674974776,0.559224763,0.730527665,0.840684343,0.559224763,0.501272807,0.568734293,0.568734293,0.568734293,0.840684343,0.586529777
19,0.714695194,0.627605863,0.840339432,0.881253309,0.828466141,0.521856025,0.566096978,0.568524529,0.73055936,0.45385624,0.586515475,0.840339432,0.559163783,0.501357418,0.662150473,0.627605863,0.704367226,0.73055936,0.754358512,0.674894907,0.559163783,0.73055936,0.840339432,0.559163783,0.501357418,0.568524529,0.568524529,0.568524529,0.840339432,0.586515475
20,0.714647958,0.627656109,0.840106416,0.88115773,0.828400437,0.521764559,0.566038968,0.568304481,0.730615104,0.453787272,0.586491068,0.840106416,0.559143882,0.501458026,0.662217537,0.627656109,0.704281704,0.730615104,0.754772094,0.674844827,0.559143882,0.730615104,0.840106416,0.559143882,0.501458026,0.568304481,0.568304481,0.568304481,0.840106416,0.586491068
21,0.714608356,0.627682151,0.84012614,0.881067493,0.828300727,0.521671393,0.56597395,0.568080495,0.730673471,0.453714207,0.586458158,0.84012614,0.559113171,0.501586376,0.66230663,0.627682151,0.704196931,0.730673471,0.754788672,0.6748032,0.559113171,0.730673471,0.84012614,0.559113171,0.501586376,0.568080495,0.568080495,0.568080495,0.84012614,0.586458158
22,0.714595136,0.627687261,0.840016231,0.880974235,0.82823421,0.521579393,0.565897735,0.568218681,0.730717466,0.453639885,0.586420958,0.840016231,0.559091589,0.501722465,0.662376894,0.627687261,0.704114849,0.730717466,0.754811668,0.674771889,0.559091589,0.730717466,0.840016231,0.559091589,0.501722465,0.568218681,0.568218681,0.568218681,0.840016231,0.586420958
23,0.714589856,0.627685329,0.839975744,0.880836733,0.828714568,0.521488357,0.565811175,0.568204948,0.730730874,0.453587529,0.586385277,0.839975744,0.559070527,0.501848191,0.66241086,0.627685329,0.704023078,0.730730874,0.754836339,0.674693908,0.559070527,0.730730874,0.839975744,0.559070527,0.501848191,0.568204948,0.568204948,0.568204948,0.839975744,0.586385277
