ModelPeriodActivityMaxLimit{r in REGION, t in TECHNOLOGY}; ; 
Maximum total activity for the complete model period per region.; ; 
Unit: PJ; ; 
;;
Region;Technology;Value
CZ;R_Coal_Hardcoal;3.1987E+14
DE;R_Coal_Hardcoal;348
UK;R_Coal_Hardcoal;2,030,000,000,000,010
ES;R_Coal_Hardcoal;125,860,000,000,001
PT;R_Coal_Hardcoal;125,860,000,000,001
PL;R_Coal_Hardcoal;5,423,000,000,000,040
HU;R_Coal_Hardcoal;2,774,333,333,333,350
RO;R_Coal_Hardcoal;2,774,333,333,333,350
SK;R_Coal_Hardcoal;2,774,333,333,333,350
NONEU_Balkan;R_Coal_Hardcoal;6,415,753,424,657,570
BG;R_Coal_Hardcoal;6,415,753,424,657,570
HR;R_Coal_Hardcoal;6,415,753,424,657,570
SI;R_Coal_Hardcoal;6,415,753,424,657,570
CZ;R_Coal_Lignite;3,859,500,000,000,030
DE;R_Coal_Lignite;5,430,000,000,000,040
PL;R_Coal_Lignite;8,191,500,000,000,060
HU;R_Coal_Lignite;145,650,000,000,001
RO;R_Coal_Lignite;145,650,000,000,001
SK;R_Coal_Lignite;145,650,000,000,001
NONEU_Balkan;R_Coal_Lignite;548,100,000,000,005
BG;R_Coal_Lignite;548,100,000,000,005
HR;R_Coal_Lignite;548,100,000,000,005
SI;R_Coal_Lignite;548,100,000,000,005
GR;R_Coal_Lignite;4350
DK;R_Oil;22,943,664
UK;R_Oil;14339,79
IT;R_Oil;2,867,958
FI;R_Oil;145,309,872
SE;R_Oil;145,309,872
HU;R_Oil;11,471,832
RO;R_Oil;11,471,832
SK;R_Oil;11,471,832
UK;R_Gas;7,536,240,000,000,000
NL;R_Gas;26376,84
PL;R_Gas;3768,12
HU;R_Gas;1256,04
RO;R_Gas;1256,04
SK;R_Gas;1256,04
FI;R_Gas;22608,72
SE;R_Gas;22608,72
TR;R_Coal_Lignite;138960
NO1;R_Oil;0
NO2;R_Oil;23119,38
NO3;R_Oil;7267,68
NO4;R_Oil;8417,16
NO5;R_Oil;23119,38
NO1;R_Gas;0
NO2;R_Gas;2,565,974,323,989,890
NO3;R_Gas;1,963,980,247,979,780
NO4;R_Gas;8,239,919,040,404,220
NO5;R_Gas;2,565,974,323,989,890
