OperationalLife{r in REGION, t in TECHNOLOGY}; ; ; ; ; 
Operational lifespan of a process in years.; ; ; ; ; 
Unit: Years; ; ; ; ; 
Region;Technology;Value; ; ; 
DE;A_Rooftop_Commercial;101; ; ; 
DE;A_Rooftop_Residential;101,0; ; ; 
DE;D_Battery_Li-Ion;11,0; ; ; 
DE;D_Battery_Redox;20,0; ; ; 
DE;D_Gas_H2;40,0; ; ; 
DE;D_Gas_Methane;40,0; ; ; 
DE;D_Heat_HLI;30,0; ; ; 
DE;D_Heat_HLR;30,0; ; ; 
DE;D_PHS;40,0; ; ; 
DE;D_PHS_Residual;40,0; ; ; 
DE;D_CAES;30,0; ; ; 
DE;FRT_Rail_Conv;26,0; ; ; 
DE;FRT_Rail_Electric;31,0; ; ; 
DE;FRT_Road_BEV;21,0; ; ; 
DE;FRT_Road_H2;21,0; ; ; 
DE;FRT_Road_ICE;21,0; ; ; 
DE;FRT_Road_PHEV;26,0; ; ; 
DE;FRT_Road_ICE_Bio;21,0; ; ; 
DE;FRT_Road_PHEV_bio;26,0; ; ; 
DE;FRT_Road_OH;26,0; ; ; 
DE;FRT_Ship_Bio;31,0; ; ; 
DE;FRT_Ship_Conv;31,0; ; ; 
DE;P_Biomass;31,0; ; ; 
DE;P_Coal_Hardcoal;51,0; ; ; 
DE;P_Coal_Lignite;31,0; ; ; 
DE;P_Gas;31,0; ; ; 
DE;P_Nuclear;41,0; ; ; 
DE;P_Oil;31,0; ; ; 
DE;PSNG_Air_Bio;16,0; ; ; 
DE;PSNG_Air_Conv;16,0; ; ; 
DE;PSNG_Air_H2;16,0; ; ; 
DE;PSNG_Rail_Conv;26,0; ; ; 
DE;PSNG_Rail_Electric;31,0; ; ; 
DE;PSNG_Road_BEV;16,0; ; ; 
DE;PSNG_Road_H2;21,0; ; ; 
DE;PSNG_Road_ICE;21,0; ; ; 
DE;PSNG_Road_PHEV;21,0; ; ; 
DE;PSNG_Road_ICE_bio;21,0; ; ; 
DE;PSNG_Road_PHEV_bio;21,0; ; ; 
DE;R_Coal_Hardcoal;31,0; ; ; 
DE;R_Coal_Lignite;31,0; ; ; 
DE;R_Gas;31,0; ; ; 
DE;R_Nuclear;31,0; ; ; 
DE;R_Oil;31,0; ; ; 
DE;RES_Biomass;101,0; ; ; 
DE;RES_CSP;31,0; ; ; 
DE;RES_Geothermal;41,0; ; ; 
DE;RES_Hydro_Large;81,0; ; ; 
DE;RES_Hydro_Small;81,0; ; ; 
DE;RES_Ocean;21,0; ; ; 
DE;RES_PV_Rooftop_Commercial;21,0; ; ; 
DE;RES_PV_Rooftop_Residential;21,0; ; ; 
DE;RES_PV_Utility_Avg;21,0; ; ; 
DE;RES_PV_Utility_Inf;21,0; ; ; 
DE;RES_PV_Utility_Opt;21,0; ; ; 
DE;RES_Wind_Offshore_Transitional;21,0; ; ; 
DE;RES_Wind_Offshore_Shallow;21,0; ; ; 
DE;RES_Wind_Offshore_Deep;21,0; ; ; 
DE;RES_Wind_Onshore_Avg;21,0; ; ; 
DE;RES_Wind_Onshore_Inf;21,0; ; ; 
DE;RES_Wind_Onshore_Opt;21,0; ; ; 
DE;X_Electrolysis;31,0; ; ; 
DE;X_Fuel_Cell;31,0; ; ; 
DE;X_Methanation;31,0; ; ; 
DE;A_CCS_Capacity;101,0; ; ; 
DE;CHP_Biomass_CCS;31,0; ; ; 
DE;P_Biomass_CCS;31,0; ; ; 
DE;HLR_Gas_Boiler;26,0; ; ; 
DE;HLR_Gas_CHP;26,0; ; ; 
DE;HLR_Biomass;26,0; ; ; 
DE;HLR_Biomass_CHP;26,0; ; ; 
DE;HLR_Hardcoal;26,0; ; ; 
DE;HLR_Lignite;26,0; ; ; 
DE;HLR_Hardcoal_CHP;26,0; ; ; 
DE;HLR_Lignite_CHP;26,0; ; ; 
DE;HLR_Direct_Electric;26,0; ; ; 
DE;HLR_Solar_Thermal;26,0; ; ; 
DE;HLR_Heatpump_Aerial;21,0; ; ; 
DE;HLR_Heatpump_Ground;21,0; ; ; 
DE;HLR_Geothermal;41,0; ; ; 
DE;HLR_Oil_Boiler;26,0; ; ; 
DE;HLI_Gas_Boiler;26,0; ; ; 
DE;HLI_Gas_CHP;26,0; ; ; 
DE;HLI_Biomass;26,0; ; ; 
DE;HLI_Biomass_CHP;26,0; ; ; 
DE;HLI_Hardcoal;26,0; ; ; 
DE;HLI_Lignite;26,0; ; ; 
DE;HLI_Hardcoal_CHP;26,0; ; ; 
DE;HLI_Lignite_CHP;26,0; ; ; 
DE;HLI_Solar_Thermal;21,0; ; ; 
DE;HLI_Fuelcell;31,0; ; ; 
DE;HLI_Geothermal;41,0; ; ; 
DE;HLI_Oil_Boiler;21,0; ; ; 
DE;HLI_Oil_CHP;31,0; ; ; 
DE;HLI_Direct_Electric;26,0; ; ; 
DE;HMI_Gas;31,0; ; ; 
DE;HMI_H2;31,0; ; ; 
DE;HMI_Biomass;31,0; ; ; 
DE;HMI_HardCoal;31,0; ; ; 
DE;HMI_Steam_Electric;31,0; ; ; 
DE;HMI_Oil;31,0; ; ; 
DE;HHI_BF_BOF;26,0; ; ; 
DE;HHI_DRI_EAF;21,0; ; ; 
DE;HHI_Scrap_EAF;21,0; ; ; 
DE;HHI_H2DRI_EAF;21,0; ; ; 
DE;HHI_Molten_Electrolysis;21,0; ; ; 
DE;HHI_Bio_BF_BOF;26,0; ; ; 
DE;HHI_BF_BOF_CCS;21,0; ; ; 
DE;HHI_DRI_EAF_CCS;21,0; ; ; 
