Emission;Technology;Fuel;Year;Timeslice;Mode_of_operation;Region;Season;Daytype;Daylitimebracket;Storage;ModalType;obsolete;Sectors
CO2;A_Air;Area_Rooftop_Commercial;2018;Q1M;1;AT;1;1;1;S_PHS;MT_PSNG_ROAD;HHT_Biomass;Power
 ;A_Rooftop_Commercial;Area_Rooftop_Residential;2025;Q1P;2;BE;2; ;2;S_Gas_H2;MT_PSNG_RAIL;HHT_Coal_Hardcoal;Industry
 ;A_Rooftop_Residential;Biomass;2030;Q1A;3;BG;3; ;3;S_Battery_Li-Ion;MT_PSNG_AIR;HHT_Coal_Lignite;Buildings
 ;CHP_Biomass_Solid;Hardcoal;2035;Q1N;4;CH;4; ;4;S_Battery_Redox;MT_PSNG_ROAD_RE;HHT_Electric_Furnace;Transportation
 ;CHP_Biomass_Solid_CCS;H2;2040;Q2M; ;CZ; ; ; ;S_Heat_HLR;MT_PSNG_RAIL_RE;HHT_Gas;Resources
 ;CHP_Coal_Hardcoal;Gas_Natural;2045;Q2P; ;DE; ; ; ;S_Heat_HLI;MT_PSNG_AIR_RE;HHT_Geothermal;Storages
 ;CHP_Coal_Hardcoal_CCS;Nuclear;2050;Q2A; ;DK; ; ; ;S_CAES;MT_PSNG_ROAD_CONV;HHT_Oil;Transformation
 ;CHP_Coal_Lignite;Oil; ;Q2N; ;EE; ; ; ;S_Gas_Methane;MT_PSNG_RAIL_CONV;HHT_H2;CHP
 ;CHP_Coal_Lignite_CCS;Power; ;Q3M; ;ES; ; ; ; ;MT_PSNG_AIR_CONV;HLT_Biomass; 
 ;CHP_Gas_CCGT_Biogas;Mobility_Freight; ;Q3P; ;FI; ; ; ; ;MT_FRT_ROAD;HLT_Coal_Hardcoal; 
 ;CHP_Gas_CCGT_Biogas_CCS;Mobility_Passenger; ;Q3A; ;FR; ; ; ; ;MT_FRT_RAIL;HLT_Coal_Lignite; 
 ;CHP_Gas_CCGT_Natural;Lignite; ;Q3N; ;GR; ; ; ; ;MT_FRT_ROAD_RE;HLT_Electric_Furnace; 
 ;CHP_Gas_CCGT_Natural_CCS;Gas_Bio; ;Q4M; ;HR; ; ; ; ;MT_FRT_ROAD_CONV;HLT_Gas; 
 ;CHP_Gas_CCGT_SynGas;Gas_Synth; ;Q4P; ;HU; ; ; ; ;MT_FRT_RAIL_RE;HLT_Geothermal; 
 ;CHP_Hydrogen_FuelCell;Heat_Low_Residential; ;Q4A; ;IE; ; ; ; ;MT_FRT_RAIL_CONV;HLT_Heatpump; 
 ;CHP_Oil;Heat_Low_Industrial; ;Q4N; ;IT; ; ; ; ;MT_FRT_SHIP;HLT_Oil; 
 ;D_Battery_Li-Ion;Heat_Medium_Industrial; ; ; ;LT; ; ; ; ;MT_FRT_SHIP_CONV;HLT_Rooftop_Commercial; 
 ;D_Battery_Redox;Heat_High_Industrial; ; ; ;LU; ; ; ; ;MT_FRT_SHIP_RE;HLT_Rooftop_Residential; 
 ;D_CAES;Biofuel; ; ; ;LV; ; ; ; ; ;CHP_Nuclear; 
 ;D_Gas_H2;Powerfuel; ; ; ;NL; ; ; ; ; ;CHP_Biomass; 
 ;D_Gas_Methane;LNG; ; ; ;NONEU_Balkan; ; ; ; ; ;CHP_Coal_Hardcoal; 
 ;D_Heat_HLI;LBG; ; ; ;PL; ; ; ; ; ;CHP_Coal_Lignite; 
 ;D_Heat_HLR;LSG; ; ; ;PT; ; ; ; ; ;CHP_Gas; 
 ;D_PHS;LH2; ; ; ;RO; ; ; ; ; ; ; 
 ;D_PHS_Residual;Air; ; ; ;SE; ; ; ; ; ; ; 
 ;FRT_Rail_Conv;Powerfuel; ; ; ;SI; ; ; ; ; ; ; 
 ;FRT_Rail_Electric;DAC_Dummy; ; ; ;SK; ; ; ; ; ; ; 
 ;FRT_Road_BEV;ETS; ; ; ;TR; ; ; ; ; ; ; 
 ;FRT_Road_H2;ETS_Source; ; ; ;UK; ; ; ; ; ; ; 
 ;FRT_Road_ICE;Heat_District; ; ; ;NO1; ; ; ; ; ; ; 
 ;FRT_Road_LNG; ; ; ; ;NO2; ; ; ; ; ; ; 
 ;FRT_Road_OH; ; ; ; ;NO3; ; ; ; ; ; ; 
 ;FRT_Road_PHEV; ; ; ; ;NO4; ; ; ; ; ; ; 
 ;FRT_Ship_Bio; ; ; ; ;NO5; ; ; ; ; ; ; 
 ;FRT_Ship_Conv; ; ; ; ; ; ; ; ; ; ; ; 
 ;FRT_Ship_LNG; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Convert_DH; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Convert_DH; ; ; ; ; ; ; ; ; ; ; ; 
 ;HHI_BF_BOF; ; ; ; ; ; ; ; ; ; ; ; 
 ;HHI_BF_BOF_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;HHI_Bio_BF_BOF; ; ; ; ; ; ; ; ; ; ; ; 
 ;HHI_DRI_EAF; ; ; ; ; ; ; ; ; ; ; ; 
 ;HHI_DRI_EAF_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;HHI_H2DRI_EAF; ; ; ; ; ; ; ; ; ; ; ; 
 ;HHI_Molten_Electrolysis; ; ; ; ; ; ; ; ; ; ; ; 
 ;HHI_Scrap_EAF; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Biomass; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Direct_Electric; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Fuelcell; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Gas_Boiler; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Geothermal; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_H2_Boiler; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Hardcoal; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Lignite; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Oil_Boiler; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLI_Solar_Thermal; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Biomass; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Direct_Electric; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Gas_Boiler; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Geothermal; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_H2_Boiler; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Hardcoal; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Heatpump_Aerial; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Heatpump_Ground; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Lignite; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Oil_Boiler; ; ; ; ; ; ; ; ; ; ; ; 
 ;HLR_Solar_Thermal; ; ; ; ; ; ; ; ; ; ; ; 
 ;HMI_Biomass; ; ; ; ; ; ; ; ; ; ; ; 
 ;HMI_H2; ; ; ; ; ; ; ; ; ; ; ; 
 ;HMI_Gas; ; ; ; ; ; ; ; ; ; ; ; 
 ;HMI_Gas_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;HMI_HardCoal; ; ; ; ; ; ; ; ; ; ; ; 
 ;HMI_HardCoal_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;HMI_Oil; ; ; ; ; ; ; ; ; ; ; ; 
 ;HMI_Steam_Electric; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Biomass; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Biomass_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Coal_Hardcoal; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Coal_Hardcoal_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Coal_Lignite; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Coal_Lignite_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Gas_CCGT; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Gas_Engines; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Gas_OCGT; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Gas_CCS; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_H2_OCGT; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Nuclear; ; ; ; ; ; ; ; ; ; ; ; 
 ;P_Oil; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Air_Bio; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Air_Conv; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Air_H2; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Rail_Conv; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Rail_Electric; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Road_BEV; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Road_H2; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Road_ICE; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Road_LNG; ; ; ; ; ; ; ; ; ; ; ; 
 ;PSNG_Road_PHEV; ; ; ; ; ; ; ; ; ; ; ; 
 ;R_Coal_Hardcoal; ; ; ; ; ; ; ; ; ; ; ; 
 ;R_Coal_Lignite; ; ; ; ; ; ; ; ; ; ; ; 
 ;R_Gas; ; ; ; ; ; ; ; ; ; ; ; 
 ;R_Nuclear; ; ; ; ; ; ; ; ; ; ; ; 
 ;R_Oil; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Biogas; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_CSP; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Geothermal; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Grass; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Hydro_Large; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Hydro_Small; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Ocean; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Paper_Cardboard; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_PV_Rooftop_Commercial; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_PV_Rooftop_Residential; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_PV_Utility_Avg; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_PV_Utility_Inf; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_PV_Utility_Opt; ; ; ; ; ; ; ; ; ; ; ; 
 ;Res_PV_Utility_Tracking; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Residues; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Roundwood; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Wind_Offshore_Deep; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Wind_Offshore_Shallow; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Wind_Offshore_Transitional; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Wind_Onshore_Avg; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Wind_Onshore_Inf; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Wind_Onshore_Opt; ; ; ; ; ; ; ; ; ; ; ; 
 ;RES_Wood; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_Biofuel; ; ; ; ; ; ; ; ; ; ; ; 
 ;X_DAC_HT; ; ; ; ; ; ; ; ; ; ; ; 
