"ModalSplitByFuelAndModalType(r in REGION, f in FUEL, y in YEAR, md in MODALTYPE)", , , , , , , , , , , , , , , , , , , , 
Describes the distribution of technologies within a specific modal type., , , , , , , , , , , , , , , , , , , , 
Unit: Fraction, , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , 
Region,Fuel,Year,MT_PSNG_ROAD,MT_PSNG_RAIL,MT_PSNG_AIR,MT_FRT_ROAD,MT_FRT_RAIL,MT_FRT_SHIP,MT_PSNG_ROAD_RE,MT_PSNG_RAIL_RE,MT_PSNG_AIR_RE,MT_FRT_ROAD_RE,MT_FRT_RAIL_RE,MT_FRT_SHIP_RE,MT_PSNG_ROAD_CONV,MT_PSNG_RAIL_CONV,MT_PSNG_AIR_CONV,MT_FRT_ROAD_CONV,MT_FRT_RAIL_CONV,MT_FRT_SHIP_CONV
AT,Mobility_Freight,2018,0,0,0,"0,66","0,31","0,02",0,0,0,0,"0,22",0,0,0,0,"0,64","0,09","0,02"
AT,Mobility_Freight,2020,0,0,0,"0,65","0,31","0,02",0,0,0,0,"0,21",0,0,0,0,"0,61","0,07","0,02"
AT,Mobility_Freight,2025,0,0,0,"0,64","0,3","0,02",0,0,0,0,"0,21",0,0,0,0,"0,48",0,"0,01"
AT,Mobility_Freight,2030,0,0,0,"0,61","0,29","0,01",0,0,0,0,"0,2",0,0,0,0,"0,3",0,0
AT,Mobility_Freight,2035,0,0,0,"0,6","0,28","0,01",0,0,0,0,"0,19",0,0,0,0,"0,03",0,0
AT,Mobility_Freight,2040,0,0,0,"0,57","0,27","0,01",0,0,0,0,"0,19",0,0,0,0,0,0,0
AT,Mobility_Freight,2045,0,0,0,"0,55","0,26","0,01",0,0,0,0,"0,18",0,0,0,0,0,0,0
AT,Mobility_Freight,2050,0,0,0,"0,53","0,25","0,01",0,0,0,0,"0,17",0,0,0,0,0,0,0
BE,Mobility_Freight,2018,0,0,0,"0,73","0,1","0,16",0,0,0,0,"0,07",0,0,0,0,"0,7","0,03","0,16"
BE,Mobility_Freight,2020,0,0,0,"0,72","0,1","0,16",0,0,0,0,"0,07",0,0,0,0,"0,67","0,02","0,15"
BE,Mobility_Freight,2025,0,0,0,"0,7","0,1","0,15",0,0,0,0,"0,07",0,0,0,0,"0,52",0,"0,12"
