"RegionalBaseYearProduction{r in REGION, t in TECHNOLOGY, f in FUEL}", , , 
Describes how much of a fuel has to be produced by specific technologies in the base year per region., , , 
Unit: PJ, , , 
 , , , 
Region,Technology,Fuel,2018
AT,HLR_Biomass,Heat_Low_Residential,"71,694"
AT,HLR_Hardcoal,Heat_Low_Residential,"2,794"
AT,HLR_Oil_Boiler,Heat_Low_Residential,"57,279"
AT,HLI_Biomass,Heat_Low_Industrial,"2,659"
AT,HLI_Hardcoal,Heat_Low_Industrial,"0,275"
AT,HLI_Direct_Electric,Heat_Low_Industrial,"0,026"
AT,HLI_Oil_Boiler,Heat_Low_Industrial,"1,072"
AT,*HLI_Gas_Boiler,Heat_Low_Industrial,"0,0"
AT,*HLI_Convert_DH,Heat_Low_Industrial,"4,627"
AT,HMI_Biomass,Heat_Medium_Industrial,"32,977"
AT,HMI_HardCoal,Heat_Medium_Industrial,"3,083"
AT,HMI_Steam_Electric,Heat_Medium_Industrial,"0,26"
AT,HMI_Oil,Heat_Medium_Industrial,"15,055"
AT,*HHI_BF_BOF,Heat_High_Industrial,"28,904"
AT,HHI_Bio_BF_BOF,Heat_High_Industrial,"4,398"
AT,HHI_Scrap_EAF,Heat_High_Industrial,"1,755"
AT,HHI_DRI_EAF,Heat_High_Industrial,"33,349"
AT,P_Gas_CCGT,Power,"19,582"
AT,P_Gas_Engines,Power,"0,995"
AT,P_Biomass,Power,"15,478"
AT,P_Coal_Hardcoal,Power,"4,663"
AT,HLR_Heatpump_Ground,Heat_Low_Residential,"0,361"
AT,HLR_Direct_Electric,Heat_Low_Residential,"13,863"
AT,CHP_Coal_Hardcoal,Power,"2,597"
AT,CHP_Oil,Power,"2,52"
AT,CHP_Gas_CCGT_Natural,Power,"13,123"
AT,CHP_Biomass_Solid,Power,"13,941"
AT,CHP_Coal_Hardcoal,Heat_District,"8,481"
AT,CHP_Oil,Heat_District,"8,228"
AT,CHP_Gas_CCGT_Natural,Heat_District,"42,855"
AT,CHP_Biomass_Solid,Heat_District,"45,527"
AT,P_Gas_OCGT,Power,"2,0"
BE,HLR_Biomass,Heat_Low_Residential,"22,24"
BE,HLR_Hardcoal,Heat_Low_Residential,"6,291"
BE,HLR_Oil_Boiler,Heat_Low_Residential,"121,225"
BE,HLI_Biomass,Heat_Low_Industrial,"2,003"
BE,HLI_Hardcoal,Heat_Low_Industrial,"0,231"
BE,HLI_Direct_Electric,Heat_Low_Industrial,"0,121"
BE,HLI_Oil_Boiler,Heat_Low_Industrial,"0,359"
BE,*HLI_Gas_Boiler,Heat_Low_Industrial,"4,949"
BE,*HLI_Convert_DH,Heat_Low_Industrial,"13,591"
BE,HMI_Biomass,Heat_Medium_Industrial,"14,66"
BE,HMI_HardCoal,Heat_Medium_Industrial,"3,764"
BE,HMI_Steam_Electric,Heat_Medium_Industrial,"1,644"
BE,HMI_Oil,Heat_Medium_Industrial,"9,533"
BE,*HHI_BF_BOF,Heat_High_Industrial,"35,707"
BE,HHI_Bio_BF_BOF,Heat_High_Industrial,"3,105"
BE,HHI_Scrap_EAF,Heat_High_Industrial,"5,501"
BE,HHI_DRI_EAF,Heat_High_Industrial,"58,685"
BE,P_Gas_CCGT,Power,"24,01800000000001"
BE,P_Gas_OCGT,Power,"35,109"
BE,P_Biomass,Power,"11,615"
BE,P_Oil,Power,"0,321"
BE,P_Nuclear,Power,"102,949"
BE,HLR_Heatpump_Aerial,Heat_Low_Residential,"1,074"
BE,HLR_Heatpump_Ground,Heat_Low_Residential,"0,057"
BE,HLR_Direct_Electric,Heat_Low_Residential,"10,483"
BE,CHP_Coal_Hardcoal,Power,"0,573"
BE,CHP_Oil,Power,"0,397"
BE,CHP_Gas_CCGT_Natural,Power,"27,237"
BE,CHP_Biomass_Solid,Power,"7,651"
BE,CHP_Coal_Hardcoal,Heat_District,"1,252"
BE,CHP_Oil,Heat_District,"0,868"
BE,CHP_Gas_CCGT_Natural,Heat_District,"59,556"
BE,CHP_Biomass_Solid,Heat_District,"16,729"
BE,P_Coal_Hardcoal,Power,"7,869"
BE,RES_Wind_Offshore_Transitional,Power,"17,0"
BE,RES_Wind_Onshore_Avg,Power,"10,0"
BG,HLR_Biomass,Heat_Low_Residential,"33,666"
BG,HLR_Hardcoal,Heat_Low_Residential,"11,86"
BG,HLR_Oil_Boiler,Heat_Low_Residential,"2,097"
BG,HLI_Biomass,Heat_Low_Industrial,"0,606"
BG,HLI_Hardcoal,Heat_Low_Industrial,"0,295"
BG,HLI_Direct_Electric,Heat_Low_Industrial,"0,003"
BG,HLI_Oil_Boiler,Heat_Low_Industrial,"0,24"
BG,*HLI_Gas_Boiler,Heat_Low_Industrial,"0,738"
BG,*HLI_Convert_DH,Heat_Low_Industrial,"13,883"
BG,HMI_Biomass,Heat_Medium_Industrial,"5,678"
BG,HMI_HardCoal,Heat_Medium_Industrial,"1,591"
BG,HMI_Steam_Electric,Heat_Medium_Industrial,"0,276"
BG,HMI_Oil,Heat_Medium_Industrial,"1,851"
BG,*HHI_BF_BOF,Heat_High_Industrial,"3,596"
BG,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,227"
BG,HHI_Scrap_EAF,Heat_High_Industrial,"1,27"
BG,HHI_DRI_EAF,Heat_High_Industrial,"11,746"
BG,P_Biomass,Power,"3,426"
BG,P_Coal_Hardcoal,Power,"0,223"
BG,P_Oil,Power,"0,973"
BG,P_Nuclear,Power,"58,05"
BG,P_Coal_Lignite,Power,"63,241"
BG,HLR_Heatpump_Aerial,Heat_Low_Residential,"4,775"
BG,HLR_Heatpump_Ground,Heat_Low_Residential,"0,251"
BG,HLR_Direct_Electric,Heat_Low_Residential,"9,939"
BG,CHP_Coal_Hardcoal,Power,"3,655"
BG,CHP_Oil,Power,"0,138"
BG,CHP_Gas_CCGT_Natural,Power,"5,044"
BG,CHP_Biomass_Solid,Power,"2,437"
BG,CHP_Coal_Hardcoal,Heat_District,"11,187"
BG,CHP_Oil,Heat_District,"0,424"
BG,CHP_Gas_CCGT_Natural,Heat_District,"15,436"
BG,CHP_Biomass_Solid,Heat_District,"7,459"
CH,HLR_Biomass,Heat_Low_Residential,"16,787"
CH,HLR_Hardcoal,Heat_Low_Residential,"0,356"
CH,HLR_Oil_Boiler,Heat_Low_Residential,"119,826"
CH,HLI_Biomass,Heat_Low_Industrial,"0,275"
CH,HLI_Hardcoal,Heat_Low_Industrial,"0,089"
CH,HLI_Direct_Electric,Heat_Low_Industrial,"0,076"
CH,HLI_Oil_Boiler,Heat_Low_Industrial,"0,86"
CH,*HLI_Gas_Boiler,Heat_Low_Industrial,"4,119"
CH,*HLI_Convert_DH,Heat_Low_Industrial,"2,012"
CH,HMI_Biomass,Heat_Medium_Industrial,"2,715"
CH,HMI_HardCoal,Heat_Medium_Industrial,"0,82"
CH,HMI_Steam_Electric,Heat_Medium_Industrial,"0,625"
CH,HMI_Oil,Heat_Medium_Industrial,"6,243"
CH,*HHI_BF_BOF,Heat_High_Industrial,"3,052"
CH,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,508"
CH,HHI_Scrap_EAF,Heat_High_Industrial,"2,473"
CH,HHI_DRI_EAF,Heat_High_Industrial,"11,82"
CH,CHP_Gas_CCGT_Natural,Power,"5,251"
CH,P_Gas_CCGT,Power,"0,01"
CH,P_Nuclear,Power,"91,847"
CH,HLR_Heatpump_Aerial,Heat_Low_Residential,"10,007"
CH,HLR_Heatpump_Ground,Heat_Low_Residential,"0,527"
CH,HLR_Direct_Electric,Heat_Low_Residential,"16,088"
CH,P_Oil,Power,"0,086"
CZ,HLR_Biomass,Heat_Low_Residential,"49,501"
CZ,HLR_Hardcoal,Heat_Low_Residential,"30,227"
CZ,HLR_Oil_Boiler,Heat_Low_Residential,"2,482"
CZ,HLI_Biomass,Heat_Low_Industrial,"0,75"
CZ,HLI_Hardcoal,Heat_Low_Industrial,"1,305"
CZ,HLI_Direct_Electric,Heat_Low_Industrial,"0,048"
CZ,HLI_Oil_Boiler,Heat_Low_Industrial,"0,167"
CZ,*HLI_Gas_Boiler,Heat_Low_Industrial,"0,971"
CZ,*HLI_Convert_DH,Heat_Low_Industrial,"13,749"
CZ,HMI_Biomass,Heat_Medium_Industrial,"12,375"
CZ,HMI_HardCoal,Heat_Medium_Industrial,"6,158"
CZ,HMI_Steam_Electric,Heat_Medium_Industrial,"0,372"
CZ,HMI_Oil,Heat_Medium_Industrial,"4,018"
CZ,*HHI_BF_BOF,Heat_High_Industrial,"43,179"
CZ,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,214"
CZ,HHI_Scrap_EAF,Heat_High_Industrial,"0,806"
CZ,HHI_DRI_EAF,Heat_High_Industrial,"22,257"
CZ,P_Gas_CCGT,Power,"7,237000000000001"
CZ,P_Gas_Engines,Power,"0,831"
CZ,P_Gas_OCGT,Power,"0,914"
CZ,P_Biomass,Power,"13,646"
CZ,P_Coal_Hardcoal,Power,"10,483"
CZ,P_Nuclear,Power,"102,047"
CZ,P_Coal_Lignite,Power,"116,598"
CZ,HLR_Heatpump_Aerial,Heat_Low_Residential,"3,404"
CZ,HLR_Heatpump_Ground,Heat_Low_Residential,"0,179"
CZ,HLR_Direct_Electric,Heat_Low_Residential,"12,458"
CZ,CHP_Coal_Hardcoal,Power,"3,844"
CZ,CHP_Coal_Lignite,Power,"18,016"
CZ,CHP_Oil,Power,"0,307"
CZ,CHP_Gas_CCGT_Natural,Power,"4,518"
CZ,CHP_Biomass_Solid,Power,"8,538"
CZ,CHP_Coal_Hardcoal,Heat_District,"10,876"
CZ,CHP_Coal_Lignite,Heat_District,"50,974"
CZ,CHP_Oil,Heat_District,"0,87"
CZ,CHP_Gas_CCGT_Natural,Heat_District,"12,783"
CZ,CHP_Biomass_Solid,Heat_District,"24,157"
DE,HLR_Biomass,Heat_Low_Residential,"251,332"
DE,HLR_Hardcoal,Heat_Low_Residential,"45,728"
DE,HLR_Oil_Boiler,Heat_Low_Residential,"681,617"
DE,HLI_Biomass,Heat_Low_Industrial,"5,19"
DE,HLI_Hardcoal,Heat_Low_Industrial,"5,076"
